"","country","date","load","holiday","max_temp_f","max_temp","wday","sunday"
"1","AT",2015-01-03,0.5240236,"0",39.2,4,7,0
"2","AT",2015-01-04,0.4978244,"0",38.3,3.5,1,1
"3","AT",2015-01-05,0.6521536,"0",37.4,3,2,0
"4","AT",2015-01-06,0.5693212,"1",37.4,3,3,0
"5","AT",2015-01-07,0.6958268,"0",32.9,0.5,4,0
"6","AT",2015-01-08,0.718104,"0",32,0,5,0
"7","AT",2015-01-09,0.6153836,"0",50,10,6,0
"8","AT",2015-01-10,0.5530464,"0",62.6,17,7,0
"9","AT",2015-01-11,0.5399928,"0",44.6,7,1,1
"10","AT",2015-01-12,0.686656,"0",44.6,7,2,0
"11","AT",2015-01-13,0.730036,"0",47.3,8.5,3,0
"12","AT",2015-01-14,0.748688,"0",43.7,6.5,4,0
"13","AT",2015-01-15,0.79017,"0",41.9,5.5,5,0
"14","AT",2015-01-16,0.7672204,"0",48.2,9,6,0
"15","AT",2015-01-17,0.6784016,"0",49.1,9.5,7,0
"16","AT",2015-01-18,0.6684904,"0",39.2,4,1,1
"17","AT",2015-01-19,0.6683936,"0",37.4,3,2,0
"18","AT",2015-01-20,0.7383792,"0",36.5,2.5,3,0
"19","AT",2015-01-21,0.6397992,"0",37.4,3,4,0
"20","AT",2015-01-22,0.6577592,"0",41.9,5.5,5,0
"21","AT",2015-01-23,0.677964,"0",36.5,2.5,6,0
"22","AT",2015-01-24,0.6203908,"0",37.4,3,7,0
"23","AT",2015-01-25,0.603986,"0",35.6,2,1,1
"24","AT",2015-01-26,0.7181884,"0",37.4,3,2,0
"25","AT",2015-01-27,0.7008472,"0",35.6,2,3,0
"26","AT",2015-01-28,0.7307232,"0",39.2,4,4,0
"27","AT",2015-01-29,0.7229852,"0",36.5,2.5,5,0
"28","AT",2015-01-30,0.6417572,"0",36.5,2.5,6,0
"29","AT",2015-01-31,0.5975884,"0",39.2,4,7,0
"30","AT",2015-02-01,0.6669956,"0",35.6,2,1,1
"31","AT",2015-02-02,0.8129856,"0",34.7,1.5,2,0
"32","AT",2015-02-03,0.8068492,"0",34.7,1.5,3,0
"33","AT",2015-02-04,0.7992616,"0",32,0,4,0
"34","AT",2015-02-05,0.7412964,"0",31.1,-0.5,5,0
"35","AT",2015-02-06,0.7548008,"0",32,0,6,0
"36","AT",2015-02-07,0.7174152,"0",33.8,1,7,0
"37","AT",2015-02-08,0.665806,"0",33.8,1,1,1
"38","AT",2015-02-09,0.8125388,"0",34.7,1.5,2,0
"39","AT",2015-02-10,0.8016208,"0",41,5,3,0
"40","AT",2015-02-11,0.8303776,"0",39.2,4,4,0
"41","AT",2015-02-12,0.7953596,"0",36.5,2.5,5,0
"42","AT",2015-02-13,0.7647828,"0",38.3,3.5,6,0
"43","AT",2015-02-14,0.6836952,"0",41.9,5.5,7,0
"44","AT",2015-02-15,0.6448616,"0",42.8,6,1,1
"45","AT",2015-02-16,0.7595076,"0",44.6,7,2,0
