"","date","cons","country","holiday","temp","max_temp","wday","weekend"
"1",2015-01-01,603.961474,"ES","1",6.6,13.89,5,0
"2",2015-01-02,715.038679,"ES","0",6.93,14.75,6,0
"3",2015-01-03,698.648512,"ES","0",8.39,16.18,7,0
"4",2015-01-04,663.533254,"ES","0",9.53,16.25,1,1
"5",2015-01-05,714.784323,"ES","0",7.82,13.89,2,0
"6",2015-01-06,640.50259,"ES","1",7.47,12.5,3,0
"7",2015-01-07,797.756388,"ES","0",7.26,13.71,4,0
"8",2015-01-08,825.171274,"ES","0",7.55,13.71,5,0
"9",2015-01-09,814.974325,"ES","0",8.68,16.25,6,0
"10",2015-01-10,730.111554,"ES","0",8.87,15.86,7,0
"11",2015-01-11,677.864576,"ES","0",9.46,15.79,1,1
"12",2015-01-12,798.385956,"ES","0",9.03,15.36,2,0
"13",2015-01-13,808.843601,"ES","0",10.12,15.25,3,0
"14",2015-01-14,808.917954,"ES","0",9.8,14.61,4,0
"15",2015-01-15,805.49397,"ES","0",10.34,14.71,5,0
"16",2015-01-16,806.81956,"ES","0",8.62,11.86,6,0
"17",2015-01-17,737.370835,"ES","0",6.66,10.93,7,0
"18",2015-01-18,705.750634,"ES","0",6.72,9.57,1,1
"19",2015-01-19,832.362441,"ES","0",6.83,9.5,2,0
"20",2015-01-20,854.993657,"ES","0",5.47,8.75,3,0
"21",2015-01-21,858.827193,"ES","0",6.28,9.64,4,0
"22",2015-01-22,852.352418,"ES","0",7.31,10.86,5,0
"23",2015-01-23,840.300824,"ES","0",7.38,11.93,6,0
"24",2015-01-24,755.029505,"ES","0",7.64,12.79,7,0
"25",2015-01-25,691.396043,"ES","0",8.95,13.96,1,1
"26",2015-01-26,820.201525,"ES","0",7.73,12.75,2,0
"27",2015-01-27,828.540004,"ES","0",9.01,14.11,3,0
"28",2015-01-28,822.819394,"ES","0",8.96,13.68,4,0
"29",2015-01-29,817.2683,"ES","0",10.44,14.75,5,0
"30",2015-01-30,800.560346,"ES","0",12.58,15.39,6,0
"31",2015-01-31,722.197352,"ES","0",9.53,12.89,7,0
"32",2015-02-01,683.673435,"ES","0",6.81,10.18,1,1
"33",2015-02-02,828.262167,"ES","0",7.18,10.46,2,0
"34",2015-02-03,846.036506,"ES","0",7.89,10.36,3,0
"35",2015-02-04,864.074151,"ES","0",5.03,7.75,4,0
"36",2015-02-05,861.302699,"ES","0",5.02,8.71,5,0
"37",2015-02-06,865.557073,"ES","0",4.03,7.54,6,0
"38",2015-02-07,788.806462,"ES","0",4.46,7.64,7,0
"39",2015-02-08,722.720341,"ES","0",5.66,10.29,1,1
"40",2015-02-09,848.776346,"ES","0",7.05,12.32,2,0
"41",2015-02-10,855.151057,"ES","0",7.86,13,3,0
"42",2015-02-11,844.145344,"ES","0",8.06,13.11,4,0
"43",2015-02-12,837.363267,"ES","0",8.99,12.96,5,0
"44",2015-02-13,815.588837,"ES","0",9.52,14.46,6,0
"45",2015-02-14,731.921206,"ES","0",10.5,13.68,7,0
"46",2015-02-15,666.364522,"ES","0",11.4,14.43,1,1
"47",2015-02-16,781.256148,"ES","0",10.42,13.86,2,0
"48",2015-02-17,808.815061,"ES","0",9.44,12.43,3,0
"49",2015-02-18,805.298458,"ES","0",9.24,13.32,4,0
"50",2015-02-19,800.595235,"ES","0",8.82,14.25,5,0
"51",2015-02-20,800.551083,"ES","0",8.99,13.68,6,0
"52",2015-02-21,723.076713,"ES","0",9.52,13.07,7,0
"53",2015-02-22,667.165755,"ES","0",9.91,14.11,1,1
"54",2015-02-23,785.9999,"ES","0",11.3,15.68,2,0
"55",2015-02-24,804.965856,"ES","0",9.58,13.11,3,0
"56",2015-02-25,799.90696,"ES","0",10.92,14.86,4,0
"57",2015-02-26,785.077042,"ES","0",12.5,16.29,5,0
"58",2015-02-27,767.747309,"ES","0",11.23,15,6,0
"59",2015-02-28,688.925369,"ES","0",11.06,15.75,7,0
"60",2015-03-01,632.39866,"ES","0",14.08,18.89,1,1
"61",2015-03-02,740.93184,"ES","0",14.55,19,2,0
