date,time,value
"Jan 1, 2016",12:00 AM,1567.5
"Jan 1, 2016",12:15 AM,1557.5
"Jan 1, 2016",12:30 AM,1535.25
"Jan 1, 2016",12:45 AM,1518.5
"Jan 1, 2016",1:00 AM,1527.5
"Jan 1, 2016",1:15 AM,1503.5
"Jan 1, 2016",1:30 AM,1485
"Jan 1, 2016",1:45 AM,1461
"Jan 1, 2016",2:00 AM,1467.5
"Jan 1, 2016",2:15 AM,1450.25
"Jan 1, 2016",2:30 AM,1413.25
"Jan 1, 2016",2:45 AM,1396.25
"Jan 1, 2016",3:00 AM,1373.25
"Jan 1, 2016",3:15 AM,1354.75
"Jan 1, 2016",3:30 AM,1347.5
"Jan 1, 2016",3:45 AM,1331.5
"Jan 1, 2016",4:00 AM,1329
"Jan 1, 2016",4:15 AM,1330
"Jan 1, 2016",4:30 AM,1327.5
"Jan 1, 2016",4:45 AM,1328
"Jan 1, 2016",5:00 AM,1343
"Jan 1, 2016",5:15 AM,1349
"Jan 1, 2016",5:30 AM,1355.25
"Jan 1, 2016",5:45 AM,1354
"Jan 1, 2016",6:00 AM,1333
"Jan 1, 2016",6:15 AM,1350
"Jan 1, 2016",6:30 AM,1351.5
"Jan 1, 2016",6:45 AM,1371.5
"Jan 1, 2016",7:00 AM,1418.25
"Jan 1, 2016",7:15 AM,1449.5
"Jan 1, 2016",7:30 AM,1453
"Jan 1, 2016",7:45 AM,1440.5
"Jan 1, 2016",8:00 AM,1457.5
"Jan 1, 2016",8:15 AM,1478
"Jan 1, 2016",8:30 AM,1498.5
"Jan 1, 2016",8:45 AM,1520.25
"Jan 1, 2016",9:00 AM,1550
"Jan 1, 2016",9:15 AM,1570.75
"Jan 1, 2016",9:30 AM,1591.5
"Jan 1, 2016",9:45 AM,1612.75
"Jan 1, 2016",10:00 AM,1639.5
"Jan 1, 2016",10:15 AM,1657.25
"Jan 1, 2016",10:30 AM,1668.5
"Jan 1, 2016",10:45 AM,1680
"Jan 1, 2016",11:00 AM,1690
"Jan 1, 2016",11:15 AM,1705
"Jan 1, 2016",11:30 AM,1704
"Jan 1, 2016",11:45 AM,1697.75
"Jan 1, 2016",12:00 PM,1705.5
"Jan 1, 2016",12:15 PM,1688.75
"Jan 1, 2016",12:30 PM,1672.25
"Jan 1, 2016",12:45 PM,1660.5
"Jan 1, 2016",1:00 PM,1659.25
"Jan 1, 2016",1:15 PM,1652.5
"Jan 1, 2016",1:30 PM,1640.75
"Jan 1, 2016",1:45 PM,1636.5
"Jan 1, 2016",2:00 PM,1647.5
"Jan 1, 2016",2:15 PM,1640
"Jan 1, 2016",2:30 PM,1632.5
"Jan 1, 2016",2:45 PM,1632
"Jan 1, 2016",3:00 PM,1641.5
"Jan 1, 2016",3:15 PM,1644.25
"Jan 1, 2016",3:30 PM,1652.5
"Jan 1, 2016",3:45 PM,1666.25
"Jan 1, 2016",4:00 PM,1664
"Jan 1, 2016",4:15 PM,1698
"Jan 1, 2016",4:30 PM,1748.25
"Jan 1, 2016",4:45 PM,1792.5
"Jan 1, 2016",5:00 PM,1820.25
"Jan 1, 2016",5:15 PM,1843.25
"Jan 1, 2016",5:30 PM,1858.25
"Jan 1, 2016",5:45 PM,1860.75
"Jan 1, 2016",6:00 PM,1868
"Jan 1, 2016",6:15 PM,1863.25
"Jan 1, 2016",6:30 PM,1856.5
"Jan 1, 2016",6:45 PM,1850.5
"Jan 1, 2016",7:00 PM,1816.25
"Jan 1, 2016",7:15 PM,1797.75
"Jan 1, 2016",7:30 PM,1782.5
"Jan 1, 2016",7:45 PM,1766
"Jan 1, 2016",8:00 PM,1743.5
"Jan 1, 2016",8:15 PM,1715.25
"Jan 1, 2016",8:30 PM,1698
"Jan 1, 2016",8:45 PM,1674
"Jan 1, 2016",9:00 PM,1648.25
"Jan 1, 2016",9:15 PM,1622.75
"Jan 1, 2016",9:30 PM,1600
"Jan 1, 2016",9:45 PM,1589.25
"Jan 1, 2016",10:00 PM,1661
"Jan 1, 2016",10:15 PM,1657.5
"Jan 1, 2016",10:30 PM,1628
"Jan 1, 2016",10:45 PM,1605.25
"Jan 1, 2016",11:00 PM,1598
"Jan 1, 2016",11:15 PM,1567
"Jan 1, 2016",11:30 PM,1532.25
"Jan 1, 2016",11:45 PM,1517.25
"Jan 2, 2016",12:00 AM,1538
"Jan 2, 2016",12:15 AM,1506.75
"Jan 2, 2016",12:30 AM,1478.5
"Jan 2, 2016",12:45 AM,1452
"Jan 2, 2016",1:00 AM,1451.5
"Jan 2, 2016",1:15 AM,1432
"Jan 2, 2016",1:30 AM,1406.5
"Jan 2, 2016",1:45 AM,1390.25
"Jan 2, 2016",2:00 AM,1406
"Jan 2, 2016",2:15 AM,1390
"Jan 2, 2016",2:30 AM,1373
"Jan 2, 2016",2:45 AM,1362
"Jan 2, 2016",3:00 AM,1344.25
"Jan 2, 2016",3:15 AM,1346
"Jan 2, 2016",3:30 AM,1342.25
"Jan 2, 2016",3:45 AM,1346.75
"Jan 2, 2016",4:00 AM,1357.25
"Jan 2, 2016",4:15 AM,1358.5
