Date;Time of day;Total[MWh]
Jan 1, 2015;12:00 AM;1,542
Jan 1, 2015;12:15 AM;1,522
Jan 1, 2015;12:30 AM;1,515
Jan 1, 2015;12:45 AM;1,489.5
Jan 1, 2015;1:00 AM;1,504.25
Jan 1, 2015;1:15 AM;1,491.75
Jan 1, 2015;1:30 AM;1,484
Jan 1, 2015;1:45 AM;1,483.5
Jan 1, 2015;2:00 AM;1,437.75
Jan 1, 2015;2:15 AM;1,444.5
Jan 1, 2015;2:30 AM;1,436.5
Jan 1, 2015;2:45 AM;1,407.5
Jan 1, 2015;3:00 AM;1,351.75
Jan 1, 2015;3:15 AM;1,334.25
Jan 1, 2015;3:30 AM;1,322.5
Jan 1, 2015;3:45 AM;1,338.5
Jan 1, 2015;4:00 AM;1,321.25
Jan 1, 2015;4:15 AM;1,306.25
Jan 1, 2015;4:30 AM;1,307.5
Jan 1, 2015;4:45 AM;1,314
Jan 1, 2015;5:00 AM;1,320
Jan 1, 2015;5:15 AM;1,324.25
Jan 1, 2015;5:30 AM;1,327
Jan 1, 2015;5:45 AM;1,337.25
Jan 1, 2015;6:00 AM;1,355
Jan 1, 2015;6:15 AM;1,390.75
Jan 1, 2015;6:30 AM;1,401.5
Jan 1, 2015;6:45 AM;1,427.5
Jan 1, 2015;7:00 AM;1,475
Jan 1, 2015;7:15 AM;1,471
Jan 1, 2015;7:30 AM;1,483.5
Jan 1, 2015;7:45 AM;1,496
Jan 1, 2015;8:00 AM;1,546.5
Jan 1, 2015;8:15 AM;1,587.5
Jan 1, 2015;8:30 AM;1,587
Jan 1, 2015;8:45 AM;1,622
Jan 1, 2015;9:00 AM;1,668.75
Jan 1, 2015;9:15 AM;1,716.75
Jan 1, 2015;9:30 AM;1,739.75
Jan 1, 2015;9:45 AM;1,756.5
Jan 1, 2015;10:00 AM;1,725.25
Jan 1, 2015;10:15 AM;1,741
Jan 1, 2015;10:30 AM;1,744.25
Jan 1, 2015;10:45 AM;1,752.5
Jan 1, 2015;11:00 AM;1,771.5
Jan 1, 2015;11:15 AM;1,761.5
Jan 1, 2015;11:30 AM;1,770.5
Jan 1, 2015;11:45 AM;1,806.5
Jan 1, 2015;12:00 PM;1,804.5
Jan 1, 2015;12:15 PM;1,783
Jan 1, 2015;12:30 PM;1,769.5
Jan 1, 2015;12:45 PM;1,779
Jan 1, 2015;1:00 PM;1,766.5
Jan 1, 2015;1:15 PM;1,746.25
Jan 1, 2015;1:30 PM;1,744.25
Jan 1, 2015;1:45 PM;1,756.25
Jan 1, 2015;2:00 PM;1,735.25
Jan 1, 2015;2:15 PM;1,680.5
Jan 1, 2015;2:30 PM;1,672.5
Jan 1, 2015;2:45 PM;1,646.5
Jan 1, 2015;3:00 PM;1,627
Jan 1, 2015;3:15 PM;1,632
Jan 1, 2015;3:30 PM;1,651.25
Jan 1, 2015;3:45 PM;1,633
Jan 1, 2015;4:00 PM;1,664
Jan 1, 2015;4:15 PM;1,683.75
Jan 1, 2015;4:30 PM;1,635.5
Jan 1, 2015;4:45 PM;1,620
Jan 1, 2015;5:00 PM;1,700.5
Jan 1, 2015;5:15 PM;1,683
Jan 1, 2015;5:30 PM;1,661.25
Jan 1, 2015;5:45 PM;1,689.75
Jan 1, 2015;6:00 PM;1,666.25
Jan 1, 2015;6:15 PM;1,649.75
Jan 1, 2015;6:30 PM;1,660.25
Jan 1, 2015;6:45 PM;1,649.5
Jan 1, 2015;7:00 PM;1,687.25
Jan 1, 2015;7:15 PM;1,676.25
Jan 1, 2015;7:30 PM;1,694.75
Jan 1, 2015;7:45 PM;1,680.25
Jan 1, 2015;8:00 PM;1,653.25
Jan 1, 2015;8:15 PM;1,655.5
Jan 1, 2015;8:30 PM;1,681.75
Jan 1, 2015;8:45 PM;1,663.5
Jan 1, 2015;9:00 PM;1,585.5
Jan 1, 2015;9:15 PM;1,573
Jan 1, 2015;9:30 PM;1,545.5
Jan 1, 2015;9:45 PM;1,551
Jan 1, 2015;10:00 PM;1,532
Jan 1, 2015;10:15 PM;1,557
Jan 1, 2015;10:30 PM;1,561.5
Jan 1, 2015;10:45 PM;1,571
Jan 1, 2015;11:00 PM;1,526
Jan 1, 2015;11:15 PM;1,447.75
Jan 1, 2015;11:30 PM;1,446.5
Jan 1, 2015;11:45 PM;1,443.75
Jan 2, 2015;12:00 AM;1,412.75
Jan 2, 2015;12:15 AM;1,380.25
Jan 2, 2015;12:30 AM;1,356.75
Jan 2, 2015;12:45 AM;1,383.5
Jan 2, 2015;1:00 AM;1,310.25
Jan 2, 2015;1:15 AM;1,288.5
Jan 2, 2015;1:30 AM;1,300
Jan 2, 2015;1:45 AM;1,306.5
Jan 2, 2015;2:00 AM;1,244.5
Jan 2, 2015;2:15 AM;1,246
Jan 2, 2015;2:30 AM;1,251
Jan 2, 2015;2:45 AM;1,229.75
Jan 2, 2015;3:00 AM;1,190.25
Jan 2, 2015;3:15 AM;1,168.75
Jan 2, 2015;3:30 AM;1,153.75
Jan 2, 2015;3:45 AM;1,156
Jan 2, 2015;4:00 AM;1,182.25
Jan 2, 2015;4:15 AM;1,190.25
Jan 2, 2015;4:30 AM;1,184.5
Jan 2, 2015;4:45 AM;1,198.5
Jan 2, 2015;5:00 AM;1,248
Jan 2, 2015;5:15 AM;1,286.25
Jan 2, 2015;5:30 AM;1,271
Jan 2, 2015;5:45 AM;1,275.25
Jan 2, 2015;6:00 AM;1,355
Jan 2, 2015;6:15 AM;1,363.75
Jan 2, 2015;6:30 AM;1,354
Jan 2, 2015;6:45 AM;1,349
Jan 2, 2015;7:00 AM;1,461
Jan 2, 2015;7:15 AM;1,454.25
Jan 2, 2015;7:30 AM;1,445.75
Jan 2, 2015;7:45 AM;1,494.5
Jan 2, 2015;8:00 AM;1,610.25
Jan 2, 2015;8:15 AM;1,618.25
Jan 2, 2015;8:30 AM;1,587.5
Jan 2, 2015;8:45 AM;1,550
Jan 2, 2015;9:00 AM;1,594
Jan 2, 2015;9:15 AM;1,612.75
Jan 2, 2015;9:30 AM;1,606.75
Jan 2, 2015;9:45 AM;1,617.75
Jan 2, 2015;10:00 AM;1,664.5
Jan 2, 2015;10:15 AM;1,674.75
Jan 2, 2015;10:30 AM;1,668.25
Jan 2, 2015;10:45 AM;1,691.75
Jan 2, 2015;11:00 AM;1,685.75
Jan 2, 2015;11:15 AM;1,624
Jan 2, 2015;11:30 AM;1,623.75
Jan 2, 2015;11:45 AM;1,609.25
Jan 2, 2015;12:00 PM;1,574
Jan 2, 2015;12:15 PM;1,572
Jan 2, 2015;12:30 PM;1,573.75
Jan 2, 2015;12:45 PM;1,591
Jan 2, 2015;1:00 PM;1,562.5
Jan 2, 2015;1:15 PM;1,574.75
Jan 2, 2015;1:30 PM;1,558
Jan 2, 2015;1:45 PM;1,562.25
Jan 2, 2015;2:00 PM;1,569
Jan 2, 2015;2:15 PM;1,571.75
Jan 2, 2015;2:30 PM;1,582.75
Jan 2, 2015;2:45 PM;1,583.25
Jan 2, 2015;3:00 PM;1,575.25
Jan 2, 2015;3:15 PM;1,624
Jan 2, 2015;3:30 PM;1,645.5
Jan 2, 2015;3:45 PM;1,657
Jan 2, 2015;4:00 PM;1,763.75
Jan 2, 2015;4:15 PM;1,780.75
Jan 2, 2015;4:30 PM;1,713
Jan 2, 2015;4:45 PM;1,631.25
Jan 2, 2015;5:00 PM;1,541.5
Jan 2, 2015;5:15 PM;1,508.5
Jan 2, 2015;5:30 PM;1,492.5
Jan 2, 2015;5:45 PM;1,429.75
Jan 2, 2015;6:00 PM;1,529.75
Jan 2, 2015;6:15 PM;1,473.25
Jan 2, 2015;6:30 PM;1,450.5
Jan 2, 2015;6:45 PM;1,438.5
Jan 2, 2015;7:00 PM;1,429.75
Jan 2, 2015;7:15 PM;1,423.75
Jan 2, 2015;7:30 PM;1,493.75
Jan 2, 2015;7:45 PM;1,460.25
Jan 2, 2015;8:00 PM;1,313
Jan 2, 2015;8:15 PM;1,302
Jan 2, 2015;8:30 PM;1,344.25
Jan 2, 2015;8:45 PM;1,353.75
Jan 2, 2015;9:00 PM;1,330.5
Jan 2, 2015;9:15 PM;1,328.5
Jan 2, 2015;9:30 PM;1,352.5
Jan 2, 2015;9:45 PM;1,367.5
Jan 2, 2015;10:00 PM;1,325.5
Jan 2, 2015;10:15 PM;1,313.5
Jan 2, 2015;10:30 PM;1,346.5
Jan 2, 2015;10:45 PM;1,340
Jan 2, 2015;11:00 PM;1,285.25
Jan 2, 2015;11:15 PM;1,248
Jan 2, 2015;11:30 PM;1,283
Jan 2, 2015;11:45 PM;1,329
Jan 3, 2015;12:00 AM;1,382.25
Jan 3, 2015;12:15 AM;1,429.5
Jan 3, 2015;12:30 AM;1,510.75
Jan 3, 2015;12:45 AM;1,504.75
Jan 3, 2015;1:00 AM;1,482
Jan 3, 2015;1:15 AM;1,461.5
Jan 3, 2015;1:30 AM;1,408
Jan 3, 2015;1:45 AM;1,427.25
Jan 3, 2015;2:00 AM;1,390.75
Jan 3, 2015;2:15 AM;1,396.25
Jan 3, 2015;2:30 AM;1,350.25
Jan 3, 2015;2:45 AM;1,329.75
Jan 3, 2015;3:00 AM;1,308.25
Jan 3, 2015;3:15 AM;1,292
Jan 3, 2015;3:30 AM;1,315.75
