date,time,value
"Jan 1, 2016",12:00 AM,10573
"Jan 1, 2016",12:15 AM,10508
"Jan 1, 2016",12:30 AM,10446
"Jan 1, 2016",12:45 AM,10378
"Jan 1, 2016",1:00 AM,10216
"Jan 1, 2016",1:15 AM,10063
"Jan 1, 2016",1:30 AM,9959
"Jan 1, 2016",1:45 AM,9889
"Jan 1, 2016",2:00 AM,9751
"Jan 1, 2016",2:15 AM,9652
"Jan 1, 2016",2:30 AM,9565
"Jan 1, 2016",2:45 AM,9461
"Jan 1, 2016",3:00 AM,9461
"Jan 1, 2016",3:15 AM,9394
"Jan 1, 2016",3:30 AM,9344
"Jan 1, 2016",3:45 AM,9286
"Jan 1, 2016",4:00 AM,9319
"Jan 1, 2016",4:15 AM,9298
"Jan 1, 2016",4:30 AM,9270
"Jan 1, 2016",4:45 AM,9263
"Jan 1, 2016",5:00 AM,9246
"Jan 1, 2016",5:15 AM,9136
"Jan 1, 2016",5:30 AM,9061
"Jan 1, 2016",5:45 AM,8945
"Jan 1, 2016",6:00 AM,8851
"Jan 1, 2016",6:15 AM,8757
"Jan 1, 2016",6:30 AM,8765
"Jan 1, 2016",6:45 AM,8781
"Jan 1, 2016",7:00 AM,8815
"Jan 1, 2016",7:15 AM,8851
"Jan 1, 2016",7:30 AM,8876
"Jan 1, 2016",7:45 AM,8924
"Jan 1, 2016",8:00 AM,8984
"Jan 1, 2016",8:15 AM,8982
"Jan 1, 2016",8:30 AM,9066
"Jan 1, 2016",8:45 AM,9155
"Jan 1, 2016",9:00 AM,9370
"Jan 1, 2016",9:15 AM,9497
"Jan 1, 2016",9:30 AM,9602
"Jan 1, 2016",9:45 AM,9761
"Jan 1, 2016",10:00 AM,9933
"Jan 1, 2016",10:15 AM,10102
"Jan 1, 2016",10:30 AM,10286
"Jan 1, 2016",10:45 AM,10469
"Jan 1, 2016",11:00 AM,10632
"Jan 1, 2016",11:15 AM,10825
"Jan 1, 2016",11:30 AM,10962
"Jan 1, 2016",11:45 AM,11020
"Jan 1, 2016",12:00 PM,11079
"Jan 1, 2016",12:15 PM,11077
"Jan 1, 2016",12:30 PM,11057
"Jan 1, 2016",12:45 PM,11032
"Jan 1, 2016",1:00 PM,10970
"Jan 1, 2016",1:15 PM,10889
"Jan 1, 2016",1:30 PM,10877
"Jan 1, 2016",1:45 PM,10841
"Jan 1, 2016",2:00 PM,10847
"Jan 1, 2016",2:15 PM,10792
"Jan 1, 2016",2:30 PM,10768
"Jan 1, 2016",2:45 PM,10728
"Jan 1, 2016",3:00 PM,10854
"Jan 1, 2016",3:15 PM,10885
"Jan 1, 2016",3:30 PM,10919
"Jan 1, 2016",3:45 PM,10955
"Jan 1, 2016",4:00 PM,11139
"Jan 1, 2016",4:15 PM,11362
"Jan 1, 2016",4:30 PM,11661
"Jan 1, 2016",4:45 PM,11956
"Jan 1, 2016",5:00 PM,12207
"Jan 1, 2016",5:15 PM,12342
"Jan 1, 2016",5:30 PM,12452
"Jan 1, 2016",5:45 PM,12489
"Jan 1, 2016",6:00 PM,12568
"Jan 1, 2016",6:15 PM,12542
"Jan 1, 2016",6:30 PM,12551
"Jan 1, 2016",6:45 PM,12428
"Jan 1, 2016",7:00 PM,12424
"Jan 1, 2016",7:15 PM,12272
"Jan 1, 2016",7:30 PM,12178
"Jan 1, 2016",7:45 PM,12009
"Jan 1, 2016",8:00 PM,11984
"Jan 1, 2016",8:15 PM,11820
"Jan 1, 2016",8:30 PM,11627
"Jan 1, 2016",8:45 PM,11507
"Jan 1, 2016",9:00 PM,11496
