Date;Time of day;Total[MWh]
Jan 1, 2020;12:00 AM;10,696
Jan 1, 2020;12:15 AM;10,594
Jan 1, 2020;12:30 AM;10,526
Jan 1, 2020;12:45 AM;10,520
Jan 1, 2020;1:00 AM;10,434
Jan 1, 2020;1:15 AM;10,300
Jan 1, 2020;1:30 AM;10,253
Jan 1, 2020;1:45 AM;10,200
Jan 1, 2020;2:00 AM;10,162
Jan 1, 2020;2:15 AM;10,110
Jan 1, 2020;2:30 AM;10,078
Jan 1, 2020;2:45 AM;10,049
Jan 1, 2020;3:00 AM;9,836
Jan 1, 2020;3:15 AM;9,728
Jan 1, 2020;3:30 AM;9,691
Jan 1, 2020;3:45 AM;9,664
Jan 1, 2020;4:00 AM;9,777
Jan 1, 2020;4:15 AM;9,704
Jan 1, 2020;4:30 AM;9,701
Jan 1, 2020;4:45 AM;9,697
Jan 1, 2020;5:00 AM;9,869
Jan 1, 2020;5:15 AM;9,789
Jan 1, 2020;5:30 AM;9,788
Jan 1, 2020;5:45 AM;9,717
Jan 1, 2020;6:00 AM;9,415
Jan 1, 2020;6:15 AM;9,361
Jan 1, 2020;6:30 AM;9,353
Jan 1, 2020;6:45 AM;9,382
Jan 1, 2020;7:00 AM;9,451
Jan 1, 2020;7:15 AM;9,503
Jan 1, 2020;7:30 AM;9,466
Jan 1, 2020;7:45 AM;9,473
Jan 1, 2020;8:00 AM;9,552
Jan 1, 2020;8:15 AM;9,613
Jan 1, 2020;8:30 AM;9,686
Jan 1, 2020;8:45 AM;9,828
Jan 1, 2020;9:00 AM;10,020
Jan 1, 2020;9:15 AM;10,182
Jan 1, 2020;9:30 AM;10,334
Jan 1, 2020;9:45 AM;10,555
Jan 1, 2020;10:00 AM;10,618
Jan 1, 2020;10:15 AM;10,716
Jan 1, 2020;10:30 AM;10,821
Jan 1, 2020;10:45 AM;10,940
Jan 1, 2020;11:00 AM;11,136
Jan 1, 2020;11:15 AM;11,284
Jan 1, 2020;11:30 AM;11,395
Jan 1, 2020;11:45 AM;11,434
Jan 1, 2020;12:00 PM;11,607
Jan 1, 2020;12:15 PM;11,638
Jan 1, 2020;12:30 PM;11,612
Jan 1, 2020;12:45 PM;11,642
Jan 1, 2020;1:00 PM;11,612
Jan 1, 2020;1:15 PM;11,571
Jan 1, 2020;1:30 PM;11,595
Jan 1, 2020;1:45 PM;11,550
Jan 1, 2020;2:00 PM;11,387
Jan 1, 2020;2:15 PM;11,330
Jan 1, 2020;2:30 PM;11,190
Jan 1, 2020;2:45 PM;11,208
Jan 1, 2020;3:00 PM;11,305
Jan 1, 2020;3:15 PM;11,248
Jan 1, 2020;3:30 PM;11,242
Jan 1, 2020;3:45 PM;11,244
Jan 1, 2020;4:00 PM;11,427
Jan 1, 2020;4:15 PM;11,630
Jan 1, 2020;4:30 PM;11,945
Jan 1, 2020;4:45 PM;12,312
Jan 1, 2020;5:00 PM;12,659
Jan 1, 2020;5:15 PM;12,746
Jan 1, 2020;5:30 PM;12,883
Jan 1, 2020;5:45 PM;12,907
Jan 1, 2020;6:00 PM;12,988
Jan 1, 2020;6:15 PM;12,950
Jan 1, 2020;6:30 PM;12,967
Jan 1, 2020;6:45 PM;12,850
Jan 1, 2020;7:00 PM;12,892
Jan 1, 2020;7:15 PM;12,707
Jan 1, 2020;7:30 PM;12,621
Jan 1, 2020;7:45 PM;12,512
Jan 1, 2020;8:00 PM;12,368
Jan 1, 2020;8:15 PM;12,219
Jan 1, 2020;8:30 PM;12,079
Jan 1, 2020;8:45 PM;11,926
