date,cons
01/01/2015,1614195
02/01/2015,1657644
03/01/2015,1538343
04/01/2015,1415771
05/01/2015,1715017
06/01/2015,1812488
07/01/2015,1785322
08/01/2015,1720916
09/01/2015,1632620
10/01/2015,1387093
11/01/2015,1383103
12/01/2015,1645506
13/01/2015,1644285
14/01/2015,1644069
15/01/2015,1648376
16/01/2015,1638353
17/01/2015,1565579
18/01/2015,1564931
19/01/2015,1785707
20/01/2015,1848168
21/01/2015,1866448
22/01/2015,1869646
23/01/2015,1894793
24/01/2015,1749657
25/01/2015,1659569
26/01/2015,1797011
27/01/2015,1779133
28/01/2015,1786058
29/01/2015,1783889
30/01/2015,1798728
31/01/2015,1664717
,
01/02/2015,1638847
02/02/2015,1836825
03/02/2015,1901134
04/02/2015,1945617
05/02/2015,1972736
06/02/2015,2032693
07/02/2015,1834559
08/02/2015,1695719
09/02/2015,1836892
10/02/2015,1833594
11/02/2015,1792727
12/02/2015,1781532
13/02/2015,1727367
14/02/2015,1543120
15/02/2015,1477927
16/02/2015,1699942
17/02/2015,1715302
18/02/2015,1729881
19/02/2015,1731617
20/02/2015,1706904
21/02/2015,1570647
22/02/2015,1539189
23/02/2015,1680396
24/02/2015,1717504
25/02/2015,1678102
26/02/2015,1642511
27/02/2015,1645216
28/02/2015,1539725
,
01/03/2015,1394539
02/03/2015,1533351
03/03/2015,1565310
04/03/2015,1612753
05/03/2015,1636656
06/03/2015,1603874
07/03/2015,1429247
08/03/2015,1315290
09/03/2015,1453248
10/03/2015,1492616
11/03/2015,1462088
12/03/2015,1465213
13/03/2015,1493388
14/03/2015,1412938
15/03/2015,1387303
16/03/2015,1534494
17/03/2015,1496905
18/03/2015,1444165
19/03/2015,1485112
20/03/2015,1496459
21/03/2015,1385009
22/03/2015,1346487
23/03/2015,1492791
24/03/2015,1530080
25/03/2015,1581961
26/03/2015,1604227
27/03/2015,1513431
28/03/2015,1335293
29/03/2015,1204096
30/03/2015,1405184
31/03/2015,1413212
,
01/04/2015,1458586
02/04/2015,1482452
03/04/2015,1437919
04/04/2015,1313808
05/04/2015,1264888
06/04/2015,1275174
07/04/2015,1403200
08/04/2015,1377218
09/04/2015,1320153
10/04/2015,1270025
11/04/2015,1141598
12/04/2015,1065451
13/04/2015,1197431
14/04/2015,1192776
15/04/2015,1175070
16/04/2015,1175084
17/04/2015,1179774
18/04/2015,1070625
19/04/2015,1025338
20/04/2015,1187737
21/04/2015,1190940
22/04/2015,1181492
23/04/2015,1181271
24/04/2015,1167803
25/04/2015,1038983
26/04/2015,988459
27/04/2015,1195110
28/04/2015,1249530
29/04/2015,1263336
30/04/2015,1264969
,
01/05/2015,1077511
02/05/2015,1088830
03/05/2015,1017438
04/05/2015,1168364
05/05/2015,1169108
06/05/2015,1185222
07/05/2015,1188756
08/05/2015,1027441
09/05/2015,1001150
10/05/2015,944946
11/05/2015,1114852
12/05/2015,1138193
13/05/2015,1141528
14/05/2015,1000010
15/05/2015,1084045
16/05/2015,1028352
17/05/2015,957295
18/05/2015,1133718
19/05/2015,1182248
20/05/2015,1208261
21/05/2015,1211747
22/05/2015,1181517
23/05/2015,1032673
24/05/2015,940305
25/05/2015,980541
26/05/2015,1144670
27/05/2015,1160141
28/05/2015,1163968
29/05/2015,1151023
30/05/2015,1013460
31/05/2015,948906
,
01/06/2015,1132409
02/06/2015,1166463
03/06/2015,1169429
04/06/2015,1178365
05/06/2015,1171985
06/06/2015,1014821
07/06/2015,935897
08/06/2015,1119234
09/06/2015,1148835
10/06/2015,1153022
11/06/2015,1168518
12/06/2015,1144258
13/06/2015,996952
14/06/2015,927419
15/06/2015,1108301
16/06/2015,1135331
17/06/2015,1142095
18/06/2015,1154241
19/06/2015,1125097
20/06/2015,993670
21/06/2015,925928
22/06/2015,1124632
23/06/2015,1150395
24/06/2015,1153175
25/06/2015,1163786
26/06/2015,1161638
27/06/2015,1022599
28/06/2015,956214
29/06/2015,1154336
30/06/2015,1204537
,
01/07/2015,1222751
02/07/2015,1226756
03/07/2015,1220535
04/07/2015,1084298
05/07/2015,987341
06/07/2015,1182529
07/07/2015,1219910
08/07/2015,1186384
09/07/2015,1177456
10/07/2015,1172661
11/07/2015,1043797
12/07/2015,958991
13/07/2015,1073644
14/07/2015,1006950
15/07/2015,1179687
16/07/2015,1216942
17/07/2015,1205179
18/07/2015,1053225
19/07/2015,964700
20/07/2015,1165247
21/07/2015,1208353
22/07/2015,1193041
23/07/2015,1177003
24/07/2015,1158827
25/07/2015,1005788
26/07/2015,931454
