date,hour,value
20170101,1,25771.107
20170101,2,24228.682
20170101,3,22885.64
20170101,4,20737.556
20170101,5,20076.577
20170101,6,20165.024
20170101,7,20933.127
20170101,8,21298.251
20170101,9,21589.583
20170101,10,22925.136
20170101,11,24287.92
20170101,12,25373.501
20170101,13,25895.517
20170101,14,24501.698
20170101,15,23416.671
20170101,16,23824.972
20170101,17,25259.683
20170101,18,28837.396
20170101,19,30501.002
20170101,20,31844.607
20170101,21,31046.745
20170101,22,29828.079
20170101,23,28276.279
20170101,24,25799.02
20170102,1,23318.809
20170102,2,20909.765
20170102,3,20226.061
20170102,4,20115.51
20170102,5,20522.897
20170102,6,22029.319
20170102,7,26209.83
20170102,8,32589.192
20170102,9,35899.23
20170102,10,37217.005
20170102,11,37240.429
20170102,12,37057.932
20170102,13,36029.806
20170102,14,35463.858
20170102,15,36094.658
20170102,16,36223.261
20170102,17,37603.57
20170102,18,40297.346
20170102,19,40525.077
20170102,20,39997.12
20170102,21,37881.84
20170102,22,35669.808
20170102,23,32274.908
20170102,24,28721.766
20170103,1,25789.694
20170103,2,24231.485
20170103,3,23237.436
20170103,4,22703.452
20170103,5,22556.019
20170103,6,24077.485
20170103,7,28337.195
20170103,8,33568.864
20170103,9,36508.513
20170103,10,37694.86
20170103,11,37686.302
20170103,12,37507.079
20170103,13,36219.505
20170103,14,35456.949
20170103,15,36322.048
20170103,16,37078.832
20170103,17,38165.616
20170103,18,40906.037
20170103,19,40698.868
20170103,20,40159.178
20170103,21,37684.729
20170103,22,35345.323
20170103,23,31829.551
20170103,24,28772.195
20170104,1,26628.608
20170104,2,24648.038
20170104,3,23576.268
20170104,4,22676.17
20170104,5,22698.364
20170104,6,24756.855
20170104,7,28351.06
20170104,8,34272.227
20170104,9,37108.028
20170104,10,38391.133
20170104,11,38229.823
20170104,12,38079.103
20170104,13,36798.97
20170104,14,35931.94
20170104,15,36542.486
20170104,16,36881.836
20170104,17,38243.602
20170104,18,41575.278
20170104,19,41743.518
20170104,20,41330.593
20170104,21,38914.949
20170104,22,36406.033
20170104,23,32952.482
20170104,24,28706.136
20170105,1,25357.883
20170105,2,23578.915
20170105,3,22737.011
20170105,4,22462.762
20170105,5,22406.66
20170105,6,23867.426
20170105,7,27792.91
20170105,8,33923.114
20170105,9,36811.551
20170105,10,38121.161
20170105,11,37916.262
20170105,12,37639.891
20170105,13,36440.286
20170105,14,35682.855
20170105,15,36316.808
20170105,16,37195.394
20170105,17,38081.702
20170105,18,42147.095
20170105,19,42878.475
20170105,20,41043.371
20170105,21,38660.843
20170105,22,35825.658
20170105,23,32390.628
20170105,24,29117.35
20170106,1,27038.278
20170106,2,25402.514
20170106,3,24083.602
20170106,4,23216.117
20170106,5,22672.052
20170106,6,23155.427
20170106,7,24587.595
20170106,8,27029.021
20170106,9,27908.363
20170106,10,30015.478
