SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,FORECAST_ACTUAL_INDICATOR,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW
01-Mar-20,1,24299,A,19927,25812,21153,22508,3184,6465,0,13080,0,913,1164,1507,678,81,504,756,1483,677,81,500
01-Mar-20,2,24565,A,20203,26293,21462,22840,3190,6465,0,13080,0,1128,1463,1507,678,81,504,756,1483,677,81,500
01-Mar-20,3,24104,A,19840,26257,22003,22479,3183,6465,0,13080,0,1553,2042,1459,577,70,504,689,1434,572,67,500
01-Mar-20,4,23322,A,19110,25628,21285,21777,3176,6465,0,13080,0,1690,2155,1457,540,-16,504,686,1434,519,-16,500
01-Mar-20,5,22754,A,18596,25105,20932,21267,3197,6465,0,13080,0,1656,2041,1457,-95,63,504,686,1434,-103,68,500
01-Mar-20,6,22397,A,18314,24922,20811,20956,3217,6465,0,13080,0,1821,2271,1451,-104,67,504,686,1419,-105,66,500
01-Mar-20,7,21877,A,17892,24447,20446,20368,3242,6465,0,13080,0,1563,2023,884,-407,81,504,681,856,-420,81,500
01-Mar-20,8,21404,A,17519,24110,20107,19914,3267,6465,0,13080,0,1666,2154,836,-440,81,504,681,808,-443,81,500
01-Mar-20,9,20968,A,17191,23767,20083,19548,3249,6465,0,13080,0,1544,2005,2,-655,81,504,686,-17,-663,81,500
01-Mar-20,10,20838,A,17155,23851,20260,19422,3230,6465,0,13080,0,1696,2181,-52,-665,81,504,686,-51,-665,81,500
01-Mar-20,11,21012,A,17240,23918,20184,19545,3180,6465,0,13080,0,1504,1964,-165,-637,81,504,612,-165,-637,81,500
01-Mar-20,12,21235,A,17475,24082,20413,19717,3130,6465,0,13080,0,1456,1933,-156,-635,81,504,609,-142,-632,81,500
01-Mar-20,13,22284,A,18265,24631,20610,20677,3122,6465,0,13080,0,1406,1786,548,-341,81,504,678,556,-333,81,500
01-Mar-20,14,22772,A,18818,25132,21183,21151,3114,6465,2,13080,0,1431,1642,598,-329,81,504,681,600,-333,81,500
01-Mar-20,15,23612,A,19627,25498,21531,21926,3131,6465,263,13080,0,625,835,1273,-661,81,504,691,1267,-671,81,500
01-Mar-20,16,24152,A,20199,25652,21748,22364,3147,6465,1060,13080,0,274,481,1309,-626,81,497,692,1288,-603,81,491
01-Mar-20,17,25147,A,21204,25768,21828,23189,3193,6465,2060,13080,0,21,120,1308,94,81,391,707,1287,100,81,385
01-Mar-20,18,25515,A,21484,26129,22102,23426,3238,6465,3170,13080,0,14,17,1308,102,79,358,708,1289,101,78,350
01-Mar-20,19,26094,A,22014,26709,22633,23905,3316,6465,4130,13080,0,15,70,1499,657,20,214,754,1481,681,19,205
