date,DE,ES,FR,IT,AT,UK
2015-01,88.7,89.7,94.6,88.7,83.7,91.9
2015-02,94.5,96.1,96.1,98.8,91.3,93.6
2015-03,108.8,106.8,108.4,109.4,108,109.2
2015-04,99.5,97.9,102.4,101.9,99.7,98.3
2015-05,92.6,103.3,90.9,104.8,93.4,94.9
2015-06,106.3,107.9,111.8,106.8,106.9,104.8
2015-07,105.8,111,101.1,116.6,104.6,101.5
2015-08,89.2,73.8,76.1,58.9,89,90.4
2015-09,106.8,107.2,109.2,108.8,109.4,106.5
2015-10,106.5,106.8,107.8,109.5,105.3,105.9
2015-11,106.2,105.4,101.9,107.6,108.4,103.8
2015-12,95,94.1,99.9,88.3,100.2,99.3
2016-01,88.3,94.1,95.2,89.2,85.2,89
2016-02,100.4,104.4,99.6,104.7,97.7,95.6
2016-03,106.2,105.8,108.4,110,111.1,107.2
2016-04,104.5,109.3,103.5,102.8,102.4,100
2016-05,96.3,108.2,98.7,112,98.4,99.3
2016-06,110.7,109.5,110.4,106.2,111.4,105.5
2016-07,96.8,104,95.9,110.5,98.4,94.8
2016-08,98,79.2,79.9,64.8,94.5,95.8
2016-09,109.2,108.1,108.1,110.7,111.3,105.7
2016-10,100.4,103.2,103.6,107.7,103.9,102
2016-11,110.4,109.6,105,109.5,112.4,107.9
2016-12,96.9,92.4,99.7,90.4,105.7,100.3
2017-01,94.8,99,99.1,93.8,90.8,96.4
2017-02,97.9,102.9,97.3,102.7,97,97
2017-03,116.4,119.2,114.7,120.5,118.7,114.7
2017-04,95.8,96.5,98.3,95.3,100.3,94.5
2017-05,107.3,115.9,102.9,116.6,109.7,103.5
2017-06,106.4,113.4,111.5,112.6,110.7,107.7
2017-07,101.2,107.5,99.8,115.5,106.7,98.8
2017-08,102.9,82,81.7,69,100.7,99.8
2017-09,109.9,109.3,108.5,111.3,114.5,107.8
2017-10,102.8,112.1,113.7,116.2,113.3,107.8
2017-11,117.5,114.5,111.3,114.4,120.6,109.8
2017-12,100.5,93.9,99.6,90.2,106.7,97.5
2018-01,101.5,105.5,102.2,104.6,100.3,100.7
2018-02,100.2,105.2,98.9,105.8,103.9,98.4
2018-03,112.7,111.8,112.9,117.8,120.2,109.5
2018-04,105.4,108.5,103.2,102.4,108,100.3
2018-05,104.6,117.9,98.8,118.9,110.8,104.6
2018-06,113,112.7,112.8,114.6,119.2,106.4
2018-07,105.6,113.3,106.9,117.9,113.3,102.7
2018-08,101.9,82.8,82.7,68.4,102.1,100.7
2018-09,105.6,105.5,104.8,108.7,113.8,103.7
2018-10,110.9,117.7,116.3,121.5,123,109.7
2018-11,112.3,111.9,109.7,111.6,122.6,108.6
2018-12,93.8,92.2,97.5,88,108.8,95.1
2019-01,97.6,107.4,103.8,103.1,104.4,100.8
2019-02,100,107.1,101.8,107.5,108.8,99.7
2019-03,108.3,114.6,110.9,114.9,122.6,112.3
2019-04,100.9,106.6,107.3,102.3,112.8,98.9
2019-05,105.6,119.9,105.6,118.6,115,103.8
2019-06,96.5,109,105.9,109.1,108.6,101.3
2019-07,104.4,115.9,110.1,120.4,116.1,104.6
2019-08,94.2,81.4,78.8,64.6,96.9,95.9
2019-09,103.8,108.6,108.6,110.4,116.6,104.3
2019-10,104.4,119.6,116.8,118.5,123.5,108.5
2019-11,104.1,110.9,103.8,107.8,114.1,102.2
2019-12,89.3,94.3,97.7,87.6,106.3,94.6
2020-01,94.1,104,101.3,100.4,101.6,97
2020-02,96.5,107.5,99.9,105.5,105.8,96.5
