CountryName,CountryCode,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,M1_Wildcard,M1_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,LegacyStringencyIndex,LegacyStringencyIndexForDisplay
Aruba,ABW,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Afghanistan,AFG,20200101,0,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,0,,"Form January 1 to March 25th, there were no closure of workplace. The first cities in Afghanistan that went into daytime curfew were three provinces, bordering Iran: On Wednesday (March 25), authorities placed Herat, Zaranj (capital of Nimroz province) and Farah (capital of Farah province) under daytime curfews. https://www.aljazeera.com/news/2020/03/coronavirus-herat-emerges-afghanistan-epicentre-200325032420910.html",0,,,0,,,0,,"Prior to March 25, 2020, there were no restrictions in Afghanistan regarding public transportation.     Source: anecdotal information from conversations with people in Afghanistan.   And:  For weeks, the Ministry of Public Health had asked the Kabul government to order the complete shutdown of the city of Herat, a measure initially rejected by officials in Herat and Kabul, in spite of having gained public support online: https://www.aljazeera.com/news/2020/03/coronavirus-herat-emerges-afghanistan-epicentre-200325032420910.html ",0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Angola,AGO,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Albania,ALB,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Andorra,AND,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
United Arab Emirates,ARE,20200101,0,,,0,,,0,,,0,,[T]he UAE has been under an overnight curfew since March 26 - could not find evidence of restrictions prior to that;  https://web.archive.org/web/20200430174227/https://www.thesun.co.uk/news/11304061/uk-coronavirus-lockdown-month-lasted-start-end/,0,,,0,,,0,,,0,,0,,,0,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Argentina,ARG,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Australia,AUS,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,,,0,,,0,No cases reported/confirmed in Australia until 25 January 2020.,0,No cases reported/confirmed in Australia until 25 January 2020.,0,,0,,,,0,0,0,0,0,0
Austria,AUT,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,1,I couldn't find data on testing before Feb 28 but one could assume that the policy I found for Feb 28th been around earlier since it's standard medical practice: ie patients whose doctors say they should get tested will get tested https://web.archive.org/web/20200228165023/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Haeufig-gestellte-Fragen.html ,,,0,,0,,,,0,0,0,0,0,0
Azerbaijan,AZE,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,0,,"""On March 19 the President issued an order to allocate 1 billion manat ($5.88M) from the state budget to the Cabinet of Ministers for the implementation of measures to reduce the negative impact of the coronavirus pandemic on the economy, to ensure macroeconomic stability, to support employment and entrepreneurship. For the effective implementation of assigned measures the Cabinet of Ministers adopted an action plan which contains  theprogram of compensation for the damages to the entrepreneurs and their employees beginning April 8.""     https://web.archive.org/web/20200430221652/https://moderndiplomacy.eu/2020/04/23/azerbaijans-response-to-covid-19-related-economic-problems/    Also: https://web.archive.org/web/20200430221750/https://news.az/articles/politics/146772",0,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
