day,max_temp_f,maxT
2015-01-01,33.8,1.0
2015-01-02,36.5,2.5
2015-01-03,39.2,4.0
2015-01-04,38.3,3.5
2015-01-05,37.4,3.0
2015-01-06,37.4,3.0
2015-01-07,32.9,0.5
2015-01-08,32.0,0.0
2015-01-09,50.0,10.0
2015-01-10,62.6,17.0
2015-01-11,44.6,7.0
2015-01-12,44.6,7.0
2015-01-13,47.3,8.5
2015-01-14,43.7,6.5
2015-01-15,41.9,5.5
2015-01-16,48.2,9.0
2015-01-17,49.1,9.5
2015-01-18,39.2,4.0
2015-01-19,37.4,3.0
2015-01-20,36.5,2.5
2015-01-21,37.4,3.0
2015-01-22,41.9,5.5
2015-01-23,36.5,2.5
2015-01-24,37.4,3.0
2015-01-25,35.6,2.0
2015-01-26,37.4,3.0
2015-01-27,35.6,2.0
2015-01-28,39.2,4.0
2015-01-29,36.5,2.5
2015-01-30,36.5,2.5
2015-01-31,39.2,4.0
2015-02-01,35.6,2.0
2015-02-02,34.7,1.5
2015-02-03,34.7,1.5
2015-02-04,32.0,0.0
2015-02-05,31.1,-0.5
2015-02-06,32.0,0.0
2015-02-07,33.8,1.0
2015-02-08,33.8,1.0
2015-02-09,34.7,1.5
2015-02-10,41.0,5.0
2015-02-11,39.2,4.0
2015-02-12,36.5,2.5
2015-02-13,38.3,3.5
2015-02-14,41.9,5.5
2015-02-15,42.8,6.0
2015-02-16,44.6,7.0
2015-02-17,42.8,6.0
2015-02-18,38.3,3.5
2015-02-19,41.9,5.5
2015-02-20,46.4,8.0
2015-02-21,47.3,8.5
2015-02-22,39.2,4.0
2015-02-23,45.5,7.5
2015-02-24,41.0,5.0
2015-02-25,42.8,6.0
2015-02-26,45.5,7.5
2015-02-27,48.2,9.0
2015-02-28,44.6,7.0
2015-03-01,46.4,8.0
2015-03-02,49.1,9.5
2015-03-03,50.0,10.0
2015-03-04,45.5,7.5
2015-03-05,41.0,5.0
2015-03-06,44.6,7.0
2015-03-07,50.0,10.0
2015-03-08,52.7,11.5
2015-03-09,51.8,11.0
2015-03-10,57.2,14.0
2015-03-11,46.4,8.0
2015-03-12,45.5,7.5
2015-03-13,45.5,7.5
2015-03-14,47.3,8.5
2015-03-15,48.2,9.0
2015-03-16,53.6,12.0
2015-03-17,55.4,13.0
2015-03-18,56.3,13.5
2015-03-19,57.2,14.0
2015-03-20,55.4,13.0
2015-03-21,58.1,14.5
2015-03-22,49.1,9.5
2015-03-23,53.6,12.0
2015-03-24,59.9,15.5
2015-03-25,58.1,14.5
2015-03-26,51.8,11.0
2015-03-27,48.2,9.0
2015-03-28,52.7,11.5
2015-03-29,57.2,14.0
2015-03-30,54.5,12.5
2015-03-31,64.4,18.0
2015-04-01,45.5,7.5
2015-04-02,46.4,8.0
2015-04-03,50.0,10.0
2015-04-04,44.6,7.0
2015-04-05,45.5,7.5
2015-04-06,43.7,6.5
2015-04-07,47.3,8.5
2015-04-08,54.5,12.5
2015-04-09,63.5,17.5
