day,max_temp_f,maxT
2015-01-01,53.6,12.0
2015-01-02,53.69,12.05
2015-01-03,56.0,13.33
2015-01-04,58.0,14.44
2015-01-05,63.0,17.22
2015-01-06,68.0,20.0
2015-01-07,71.0,21.67
2015-01-08,67.0,19.44
2015-01-09,64.4,18.0
2015-01-10,62.6,17.0
2015-01-11,60.04,15.58
2015-01-12,62.6,17.0
2015-01-13,64.4,18.0
2015-01-14,62.0,16.67
2015-01-15,61.0,16.11
2015-01-16,62.0,16.67
2015-01-17,63.0,17.22
2015-01-18,66.0,18.89
2015-01-19,65.0,18.33
2015-01-20,60.08,15.6
2015-01-21,63.0,17.22
2015-01-22,60.8,16.0
2015-01-23,67.0,19.44
2015-01-24,69.98,21.1
2015-01-25,71.0,21.67
2015-01-26,66.2,19.0
2015-01-27,66.2,19.0
2015-01-28,67.05,19.47
2015-01-29,67.0,19.44
2015-01-30,64.4,18.0
2015-01-31,68.0,20.0
2015-02-01,68.0,20.0
2015-02-02,69.0,20.56
2015-02-03,69.4,20.78
2015-02-04,69.0,20.56
2015-02-05,68.0,20.0
2015-02-06,68.0,20.0
2015-02-07,66.56,19.2
2015-02-08,71.0,21.67
2015-02-09,68.0,20.0
2015-02-10,67.0,19.44
2015-02-11,71.0,21.67
2015-02-12,74.0,23.33
2015-02-13,76.14,24.52
2015-02-14,76.05,24.47
2015-02-15,75.0,23.89
2015-02-16,71.6,22.0
2015-02-17,68.0,20.0
2015-02-18,67.0,19.44
2015-02-19,66.6,19.22
2015-02-20,68.0,20.0
2015-02-21,66.2,19.0
2015-02-22,62.6,17.0
2015-02-23,62.6,17.0
2015-02-24,66.2,19.0
2015-02-25,68.0,20.0
2015-02-26,68.0,20.0
2015-02-27,64.97,18.32
2015-02-28,60.8,16.0
2015-03-01,60.99,16.11
2015-03-02,60.0,15.56
2015-03-03,64.0,17.78
2015-03-04,68.0,20.0
2015-03-05,71.6,22.0
2015-03-06,74.0,23.33
2015-03-07,77.0,25.0
2015-03-08,75.0,23.89
2015-03-09,73.4,23.0
2015-03-10,73.4,23.0
2015-03-11,69.4,20.78
2015-03-12,76.0,24.44
2015-03-13,80.06,26.7
2015-03-14,85.0,29.44
2015-03-15,82.94,28.3
2015-03-16,79.0,26.11
2015-03-17,75.0,23.89
2015-03-18,73.0,22.78
2015-03-19,76.0,24.44
2015-03-20,74.0,23.33
2015-03-21,73.76,23.2
2015-03-22,69.98,21.1
2015-03-23,69.0,20.56
2015-03-24,71.0,21.67
2015-03-25,77.0,25.0
2015-03-26,84.0,28.89
2015-03-27,83.42,28.57
2015-03-28,81.0,27.22
2015-03-29,82.2,27.89
2015-03-30,80.0,26.67
2015-03-31,71.6,22.0
2015-04-01,71.0,21.67
2015-04-02,71.6,22.0
2015-04-03,76.0,24.44
2015-04-04,75.0,23.89
2015-04-05,67.0,19.44
2015-04-06,64.4,18.0
2015-04-07,61.58,16.43
2015-04-08,65.0,18.33
2015-04-09,70.0,21.11
2015-04-10,71.6,22.0
2015-04-11,73.0,22.78
2015-04-12,77.5,25.28
2015-04-13,74.0,23.33
2015-04-14,69.0,20.56
2015-04-15,74.42,23.57
2015-04-16,80.0,26.67
2015-04-17,80.98,27.21
2015-04-18,80.6,27.0
2015-04-19,78.8,26.0
2015-04-20,73.4,23.0
2015-04-21,67.5,19.72
2015-04-22,69.0,20.56
2015-04-23,69.0,20.56
2015-04-24,66.2,19.0
2015-04-25,65.0,18.33
2015-04-26,73.0,22.78
2015-04-27,83.0,28.33
2015-04-28,83.0,28.33
2015-04-29,84.2,29.0
2015-04-30,89.33,31.85
2015-05-01,87.0,30.56
2015-05-02,82.4,28.0
2015-05-03,74.0,23.33
2015-05-04,71.3,21.83
2015-05-05,69.0,20.56
2015-05-06,68.0,20.0
2015-05-07,65.0,18.33
2015-05-08,64.22,17.9
2015-05-09,68.0,20.0
2015-05-10,75.2,24.0
2015-05-11,73.4,23.0
2015-05-12,70.0,21.11
2015-05-13,68.0,20.0
2015-05-14,66.0,18.89
2015-05-15,66.2,19.0
2015-05-16,69.8,21.0
2015-05-17,70.08,21.16
2015-05-18,69.0,20.56
2015-05-19,70.0,21.11
2015-05-20,70.0,21.11
2015-05-21,69.0,20.56
2015-05-22,68.0,20.0
2015-05-23,70.35,21.31
2015-05-24,71.06,21.7
2015-05-25,72.0,22.22
2015-05-26,71.96,22.2
2015-05-27,75.0,23.89
2015-05-28,79.8,26.56
2015-05-29,82.4,28.0
2015-05-30,84.2,29.0
2015-05-31,78.8,26.0
2015-06-01,77.0,25.0
2015-06-02,77.0,25.0
2015-06-03,75.0,23.89
2015-06-04,73.04,22.8
2015-06-05,75.2,24.0
2015-06-06,78.0,25.56
2015-06-07,88.0,31.11
2015-06-08,96.8,36.0
2015-06-09,86.0,30.0
2015-06-10,77.0,25.0
2015-06-11,81.0,27.22
2015-06-12,84.2,29.0
2015-06-13,82.4,28.0
2015-06-14,84.1,28.94
2015-06-15,86.0,30.0
2015-06-16,86.9,30.5
2015-06-17,89.6,32.0
