,temp,max_temp,min_temp
2015-01-01,3.22,11.7,-1.1
2015-01-02,4.02,12.0,-1.4
2015-01-03,4.91,13.3,0.0
2015-01-04,6.55,14.0,1.0
2015-01-05,10.09,17.0,3.0
2015-01-06,10.88,20.0,4.4
2015-01-07,10.73,21.7,4.7
2015-01-08,11.04,19.4,6.7
2015-01-09,11.23,18.0,8.0
2015-01-10,11.02,16.7,7.8
2015-01-11,10.52,15.6,8.0
2015-01-12,10.0,17.0,7.0
2015-01-13,9.86,17.8,6.4
2015-01-14,8.92,16.1,4.0
2015-01-15,9.7,15.8,4.4
2015-01-16,10.38,16.7,6.1
2015-01-17,11.18,17.0,7.8
2015-01-18,11.2,18.3,8.0
2015-01-19,10.55,17.8,7.2
2015-01-20,9.71,15.6,6.7
2015-01-21,9.74,17.0,5.6
2015-01-22,9.88,15.65,4.4
2015-01-23,10.0,19.4,3.9
2015-01-24,12.12,21.0,6.1
2015-01-25,12.24,21.7,6.0
2015-01-26,11.82,19.0,7.2
2015-01-27,12.14,18.9,9.0
2015-01-28,12.0,19.4,7.0
2015-01-29,12.26,19.1,8.0
2015-01-30,11.63,18.0,8.3
2015-01-31,11.22,20.0,7.2
2015-02-01,11.02,20.0,5.5
2015-02-02,11.76,20.0,6.7
2015-02-03,11.64,20.0,7.2
2015-02-04,11.87,20.0,7.0
2015-02-05,13.13,20.0,8.9
2015-02-06,14.28,20.0,10.0
2015-02-07,14.75,19.0,11.7
2015-02-08,15.15,21.1,12.0
2015-02-09,13.96,20.0,10.0
2015-02-10,11.83,19.4,7.0
2015-02-11,13.96,21.1,6.1
2015-02-12,14.39,23.0,7.8
2015-02-13,14.51,24.7,7.8
2015-02-14,14.16,24.3,8.0
2015-02-15,13.29,23.3,7.2
2015-02-16,12.67,22.0,8.0
2015-02-17,12.5,19.4,10.0
2015-02-18,12.32,19.4,8.9
2015-02-19,12.36,19.0,8.9
2015-02-20,12.38,19.4,10.0
2015-02-21,12.12,18.9,7.8
2015-02-22,11.32,17.0,7.9
2015-02-23,9.72,16.7,6.1
2015-02-24,10.07,18.9,3.3
2015-02-25,11.09,19.4,4.0
2015-02-26,12.13,20.0,6.0
2015-02-27,11.91,17.8,8.0
2015-02-28,10.11,15.6,7.0
2015-03-01,9.21,15.8,5.0
2015-03-02,9.05,15.0,6.15
2015-03-03,9.47,17.8,3.95
2015-03-04,10.18,19.4,3.9
2015-03-05,11.78,21.7,4.2
2015-03-06,13.59,23.15,5.0
2015-03-07,14.05,24.4,6.1
2015-03-08,13.53,23.3,7.0
2015-03-09,13.21,23.0,8.0
2015-03-10,15.06,23.0,8.0
2015-03-11,15.4,20.0,12.0
2015-03-12,16.17,24.0,9.4
2015-03-13,18.72,26.7,10.6
2015-03-14,19.6,29.2,12.2
2015-03-15,18.92,28.1,13.0
2015-03-16,17.54,25.6,12.0
2015-03-17,16.1,23.0,11.7
2015-03-18,14.95,22.2,10.6
2015-03-19,14.88,24.0,9.4
2015-03-20,15.34,23.0,9.4
2015-03-21,15.41,23.0,10.6
2015-03-22,14.94,20.6,12.0
