day,max_temp_f,maxT
2015-01-01,39.2,4.0
2015-01-02,42.8,6.0
2015-01-03,41.0,5.0
2015-01-04,41.0,5.0
2015-01-05,39.2,4.0
2015-01-06,39.2,4.0
2015-01-07,41.0,5.0
2015-01-08,44.6,7.0
2015-01-09,48.2,9.0
2015-01-10,55.4,13.0
2015-01-11,42.44,5.8
2015-01-12,45.68,7.6
2015-01-13,51.8,11.0
2015-01-14,44.6,7.0
2015-01-15,48.2,9.0
2015-01-16,44.6,7.0
2015-01-17,41.0,5.0
2015-01-18,37.4,3.0
2015-01-19,35.6,2.0
2015-01-20,33.8,1.0
2015-01-21,33.62,0.9
2015-01-22,33.8,1.0
2015-01-23,32.0,0.0
2015-01-24,33.8,1.0
2015-01-25,35.96,2.2
2015-01-26,37.4,3.0
2015-01-27,39.2,4.0
2015-01-28,41.0,5.0
2015-01-29,37.4,3.0
2015-01-30,35.6,2.0
2015-01-31,35.6,2.0
2015-02-01,35.6,2.0
2015-02-02,35.6,2.0
2015-02-03,33.8,1.0
2015-02-04,32.0,0.0
2015-02-05,32.0,0.0
2015-02-06,32.0,0.0
2015-02-07,37.4,3.0
2015-02-08,37.4,3.0
2015-02-09,41.0,5.0
2015-02-10,41.0,5.0
2015-02-11,39.2,4.0
2015-02-12,35.6,2.0
2015-02-13,38.3,3.5
2015-02-14,43.88,6.6
2015-02-15,39.2,4.0
2015-02-16,37.4,3.0
2015-02-17,37.4,3.0
2015-02-18,41.0,5.0
2015-02-19,41.0,5.0
2015-02-20,46.4,8.0
2015-02-21,44.6,7.0
2015-02-22,42.8,6.0
2015-02-23,39.2,4.0
2015-02-24,42.8,6.0
2015-02-25,44.6,7.0
2015-02-26,48.2,9.0
2015-02-27,42.8,6.0
2015-02-28,44.6,7.0
2015-03-01,46.4,8.0
2015-03-02,46.4,8.0
2015-03-03,46.04,7.8
2015-03-04,42.8,6.0
2015-03-05,44.6,7.0
2015-03-06,46.4,8.0
2015-03-07,51.8,11.0
2015-03-08,59.0,15.0
2015-03-09,53.6,12.0
2015-03-10,53.6,12.0
2015-03-11,48.2,9.0
2015-03-12,48.2,9.0
2015-03-13,42.8,6.0
2015-03-14,42.8,6.0
2015-03-15,44.6,7.0
2015-03-16,53.6,12.0
2015-03-17,60.8,16.0
2015-03-18,59.0,15.0
2015-03-19,55.4,13.0
2015-03-20,53.6,12.0
2015-03-21,46.4,8.0
2015-03-22,41.0,5.0
2015-03-23,50.0,10.0
2015-03-24,51.8,11.0
2015-03-25,59.0,15.0
2015-03-26,46.4,8.0
2015-03-27,47.12,8.4
2015-03-28,51.8,11.0
2015-03-29,51.8,11.0
2015-03-30,48.2,9.0
2015-03-31,51.8,11.0
2015-04-01,44.6,7.0
2015-04-02,44.6,7.0
2015-04-03,48.2,9.0
2015-04-04,46.4,8.0
2015-04-05,48.2,9.0
2015-04-06,48.2,9.0
2015-04-07,51.8,11.0
2015-04-08,55.4,13.0
2015-04-09,62.6,17.0
2015-04-10,68.0,20.0
2015-04-11,62.6,17.0
2015-04-12,60.8,16.0
2015-04-13,55.4,13.0
2015-04-14,64.4,18.0
2015-04-15,73.4,23.0
2015-04-16,62.6,17.0
2015-04-17,53.6,12.0
2015-04-18,53.6,12.0
2015-04-19,59.0,15.0
2015-04-20,64.4,18.0
2015-04-21,68.0,20.0
2015-04-22,59.0,15.0
2015-04-23,59.0,15.0
2015-04-24,66.2,19.0
2015-04-25,62.6,17.0
2015-04-26,64.4,18.0
2015-04-27,53.6,12.0
2015-04-28,53.6,12.0
2015-04-29,57.2,14.0
2015-04-30,57.2,14.0
2015-05-01,53.6,12.0
2015-05-02,57.2,14.0
2015-05-03,62.6,17.0
2015-05-04,68.0,20.0
2015-05-05,73.4,23.0
2015-05-06,63.32,17.4
2015-05-07,60.8,16.0
2015-05-08,66.2,19.0
2015-05-09,64.4,18.0
2015-05-10,62.6,17.0
2015-05-11,73.4,23.0
2015-05-12,78.8,26.0
2015-05-13,66.2,19.0
2015-05-14,59.9,15.5
2015-05-15,62.6,17.0
2015-05-16,59.0,15.0
2015-05-17,60.8,16.0
2015-05-18,69.8,21.0
2015-05-19,60.8,16.0
2015-05-20,57.2,14.0
2015-05-21,59.9,15.5
2015-05-22,66.11,18.95
2015-05-23,64.4,18.0
2015-05-24,66.2,19.0
2015-05-25,62.6,17.0
2015-05-26,57.2,14.0
2015-05-27,57.2,14.0
2015-05-28,66.2,19.0
2015-05-29,64.04,17.8
2015-05-30,59.0,15.0
2015-05-31,68.0,20.0
2015-06-01,62.6,17.0
2015-06-02,73.4,23.0
2015-06-03,68.0,20.0
2015-06-04,71.6,22.0
2015-06-05,86.0,30.0
2015-06-06,80.6,27.0
2015-06-07,71.6,22.0
2015-06-08,64.4,18.0
2015-06-09,61.34,16.3
2015-06-10,68.0,20.0
2015-06-11,73.4,23.0
2015-06-12,80.6,27.0
2015-06-13,77.0,25.0
2015-06-14,73.4,23.0
2015-06-15,64.4,18.0
2015-06-16,62.6,17.0
2015-06-17,68.0,20.0
2015-06-18,64.4,18.0
2015-06-19,59.0,15.0
2015-06-20,59.0,15.0
2015-06-21,64.4,18.0
2015-06-22,60.8,16.0
2015-06-23,59.9,15.5
2015-06-24,64.4,18.0
2015-06-25,73.4,23.0
2015-06-26,75.2,24.0
2015-06-27,71.6,22.0
2015-06-28,71.6,22.0
2015-06-29,77.0,25.0
2015-06-30,78.8,26.0
2015-07-01,84.2,29.0
2015-07-02,89.6,32.0
2015-07-03,89.6,32.0
2015-07-04,96.8,36.0
2015-07-05,93.2,34.0
2015-07-06,77.0,25.0
2015-07-07,87.8,31.0
2015-07-08,68.0,20.0
2015-07-09,64.4,18.0
2015-07-10,69.8,21.0
2015-07-11,82.4,28.0
2015-07-12,74.75,23.75
2015-07-13,68.0,20.0
2015-07-14,71.6,22.0
2015-07-15,75.2,24.0
2015-07-16,81.5,27.5
2015-07-17,90.5,32.5
2015-07-18,80.6,27.0
2015-07-19,73.4,23.0
2015-07-20,75.2,24.0
2015-07-21,82.4,28.0
2015-07-22,82.4,28.0
2015-07-23,73.4,23.0
2015-07-24,80.6,27.0
2015-07-25,73.4,23.0
2015-07-26,69.8,21.0
2015-07-27,68.0,20.0
2015-07-28,66.2,19.0
2015-07-29,64.4,18.0
2015-07-30,66.2,19.0
2015-07-31,66.2,19.0
2015-08-01,74.3,23.5
2015-08-02,78.8,26.0
2015-08-03,87.8,31.0
2015-08-04,84.2,29.0
2015-08-05,78.8,26.0
2015-08-06,91.4,33.0
2015-08-07,93.2,34.0
2015-08-08,80.24,26.8
2015-08-09,80.6,27.0
2015-08-10,82.4,28.0
2015-08-11,79.52,26.4
2015-08-12,80.6,27.0
2015-08-13,87.8,31.0
2015-08-14,82.4,28.0
2015-08-15,77.0,25.0
2015-08-16,64.4,18.0
2015-08-17,62.6,17.0
2015-08-18,66.2,19.0
2015-08-19,68.0,20.0
2015-08-20,71.6,22.0
2015-08-21,77.0,25.0
2015-08-22,77.0,25.0
2015-08-23,77.0,25.0
2015-08-24,75.2,24.0
2015-08-25,68.0,20.0
2015-08-26,78.8,26.0
2015-08-27,74.3,23.5
2015-08-28,68.0,20.0
2015-08-29,77.0,25.0
2015-08-30,88.7,31.5
2015-08-31,87.8,31.0
2015-09-01,73.4,23.0
2015-09-02,66.2,19.0
2015-09-03,64.4,18.0
2015-09-04,64.4,18.0
2015-09-05,60.8,16.0
2015-09-06,59.27,15.15
2015-09-07,62.6,17.0
2015-09-08,64.4,18.0
2015-09-09,64.4,18.0
2015-09-10,64.4,18.0
2015-09-11,66.2,19.0
2015-09-12,71.6,22.0
2015-09-13,69.8,21.0
2015-09-14,66.2,19.0
2015-09-15,62.6,17.0
2015-09-16,66.2,19.0
2015-09-17,64.4,18.0
2015-09-18,64.4,18.0
2015-09-19,62.6,17.0
2015-09-20,60.8,16.0
2015-09-21,62.69,17.05
2015-09-22,60.8,16.0
2015-09-23,59.0,15.0
2015-09-24,62.6,17.0
2015-09-25,62.6,17.0
2015-09-26,60.8,16.0
2015-09-27,60.8,16.0
2015-09-28,60.8,16.0
2015-09-29,60.8,16.0
2015-09-30,60.8,16.0
2015-10-01,60.8,16.0
2015-10-02,64.4,18.0
2015-10-03,66.2,19.0
2015-10-04,60.8,16.0
2015-10-05,64.4,18.0
2015-10-06,66.2,19.0
2015-10-07,60.8,16.0
2015-10-08,59.0,15.0
2015-10-09,57.2,14.0
2015-10-10,51.8,11.0
2015-10-11,50.0,10.0
2015-10-12,48.2,9.0
2015-10-13,46.4,8.0
2015-10-14,41.0,5.0
2015-10-15,42.8,6.0
2015-10-16,44.6,7.0
2015-10-17,46.4,8.0
2015-10-18,48.2,9.0
2015-10-19,50.0,10.0
2015-10-20,50.0,10.0
2015-10-21,51.8,11.0
2015-10-22,53.6,12.0
2015-10-23,57.2,14.0
2015-10-24,55.4,13.0
2015-10-25,55.4,13.0
2015-10-26,55.4,13.0
2015-10-27,53.6,12.0
2015-10-28,51.8,11.0
2015-10-29,53.6,12.0
2015-10-30,53.6,12.0
2015-10-31,55.4,13.0
2015-11-01,55.4,13.0
2015-11-02,52.7,11.5
2015-11-03,52.7,11.5
2015-11-04,59.0,15.0
2015-11-05,60.8,16.0
2015-11-06,60.8,16.0
2015-11-07,64.4,18.0
2015-11-08,62.6,17.0
2015-11-09,62.06,16.7
2015-11-10,59.0,15.0
2015-11-11,57.2,14.0
2015-11-12,57.2,14.0
2015-11-13,55.4,13.0
2015-11-14,48.2,9.0
2015-11-15,55.4,13.0
2015-11-16,55.4,13.0
2015-11-17,57.2,14.0
2015-11-18,57.2,14.0
2015-11-19,55.4,13.0
2015-11-20,48.2,9.0
2015-11-21,41.0,5.0
2015-11-22,37.4,3.0
2015-11-23,39.2,4.0
2015-11-24,37.4,3.0
2015-11-25,41.0,5.0
2015-11-26,42.8,6.0
2015-11-27,39.2,4.0
2015-11-28,42.8,6.0
2015-11-29,50.0,10.0
2015-11-30,48.2,9.0
2015-12-01,48.2,9.0
2015-12-02,50.0,10.0
2015-12-03,48.2,9.0
2015-12-04,48.2,9.0
2015-12-05,48.2,9.0
2015-12-06,51.8,11.0
2015-12-07,53.33,11.85
2015-12-08,51.8,11.0
2015-12-09,48.2,9.0
2015-12-10,42.8,6.0
2015-12-11,44.6,7.0
2015-12-12,46.4,8.0
