day,max_temp_f,maxT
2015-01-01,57.2,14.0
2015-01-02,59.0,15.0
2015-01-03,59.9,15.5
2015-01-04,61.7,16.5
2015-01-05,59.0,15.0
2015-01-06,53.6,12.0
2015-01-07,57.2,14.0
2015-01-08,57.2,14.0
2015-01-09,60.8,16.0
2015-01-10,60.8,16.0
2015-01-11,60.8,16.0
2015-01-12,62.6,17.0
2015-01-13,60.8,16.0
2015-01-14,59.0,15.0
2015-01-15,59.0,15.0
2015-01-16,51.8,11.0
2015-01-17,51.8,11.0
2015-01-18,48.2,9.0
2015-01-19,48.2,9.0
2015-01-20,46.4,8.0
2015-01-21,48.2,9.0
2015-01-22,50.0,10.0
2015-01-23,53.6,12.0
2015-01-24,55.4,13.0
2015-01-25,59.0,15.0
2015-01-26,55.4,13.0
2015-01-27,57.2,14.0
2015-01-28,55.4,13.0
2015-01-29,57.2,14.0
2015-01-30,59.0,15.0
2015-01-31,53.6,12.0
2015-02-01,50.0,10.0
2015-02-02,51.8,11.0
2015-02-03,48.2,9.0
2015-02-04,44.6,7.0
2015-02-05,48.2,9.0
2015-02-06,44.6,7.0
2015-02-07,46.4,8.0
2015-02-08,51.8,11.0
2015-02-09,55.4,13.0
2015-02-10,57.2,14.0
2015-02-11,57.2,14.0
2015-02-12,55.4,13.0
2015-02-13,55.4,13.0
2015-02-14,56.3,13.5
2015-02-15,57.2,14.0
2015-02-16,55.4,13.0
2015-02-17,53.6,12.0
2015-02-18,57.2,14.0
2015-02-19,57.2,14.0
2015-02-20,56.3,13.5
2015-02-21,53.6,12.0
2015-02-22,59.0,15.0
2015-02-23,57.2,14.0
2015-02-24,53.6,12.0
2015-02-25,59.0,15.0
2015-02-26,59.0,15.0
2015-02-27,59.0,15.0
2015-02-28,60.8,16.0
2015-03-01,66.2,19.0
2015-03-02,64.4,18.0
2015-03-03,62.6,17.0
2015-03-04,57.2,14.0
2015-03-05,61.7,16.5
2015-03-06,62.6,17.0
2015-03-07,69.8,21.0
2015-03-08,64.4,18.0
2015-03-09,66.2,19.0
2015-03-10,65.3,18.5
2015-03-11,68.0,20.0
2015-03-12,67.1,19.5
2015-03-13,60.8,16.0
2015-03-14,55.4,13.0
2015-03-15,52.7,11.5
2015-03-16,57.2,14.0
2015-03-17,59.0,15.0
2015-03-18,57.2,14.0
2015-03-19,59.0,15.0
2015-03-20,55.4,13.0
2015-03-21,57.2,14.0
2015-03-22,55.4,13.0
2015-03-23,55.4,13.0
2015-03-24,55.4,13.0
2015-03-25,55.4,13.0
2015-03-26,59.0,15.0
2015-03-27,66.2,19.0
2015-03-28,71.6,22.0
2015-03-29,71.6,22.0
2015-03-30,73.4,23.0
2015-03-31,73.4,23.0
2015-04-01,67.1,19.5
2015-04-02,68.0,20.0
2015-04-03,68.0,20.0
2015-04-04,64.4,18.0
2015-04-05,65.3,18.5
2015-04-06,66.2,19.0
2015-04-07,64.4,18.0
2015-04-08,64.4,18.0
2015-04-09,61.7,16.5
2015-04-10,64.4,18.0
2015-04-11,64.4,18.0
2015-04-12,69.8,21.0
2015-04-13,73.4,23.0
2015-04-14,75.2,24.0
2015-04-15,66.2,19.0
2015-04-16,66.2,19.0
2015-04-17,68.0,20.0
2015-04-18,66.2,19.0
2015-04-19,66.2,19.0
2015-04-20,68.0,20.0
2015-04-21,73.4,23.0
2015-04-22,69.8,21.0
2015-04-23,69.8,21.0
2015-04-24,69.8,21.0
2015-04-25,68.9,20.5
2015-04-26,62.6,17.0
2015-04-27,64.4,18.0
2015-04-28,68.0,20.0
2015-04-29,68.0,20.0
2015-04-30,72.5,22.5
2015-05-01,75.2,24.0
2015-05-02,78.8,26.0
2015-05-03,77.9,25.5
2015-05-04,78.8,26.0
2015-05-05,75.2,24.0
2015-05-06,73.4,23.0
2015-05-07,77.0,25.0
2015-05-08,75.2,24.0
2015-05-09,78.8,26.0
2015-05-10,83.3,28.5
2015-05-11,80.6,27.0
2015-05-12,80.6,27.0
2015-05-13,85.1,29.5
2015-05-14,86.0,30.0
2015-05-15,73.4,23.0
2015-05-16,75.2,24.0
2015-05-17,77.0,25.0
2015-05-18,77.9,25.5
2015-05-19,69.8,21.0
2015-05-20,67.1,19.5
2015-05-21,69.8,21.0
2015-05-22,71.6,22.0
2015-05-23,72.5,22.5
2015-05-24,72.5,22.5
2015-05-25,75.2,24.0
2015-05-26,75.2,24.0
2015-05-27,75.2,24.0
2015-05-28,77.9,25.5
2015-05-29,77.0,25.0
2015-05-30,75.2,24.0
2015-05-31,77.0,25.0
2015-06-01,78.8,26.0
2015-06-02,81.5,27.5
2015-06-03,85.1,29.5
2015-06-04,87.8,31.0
2015-06-05,84.2,29.0
2015-06-06,84.2,29.0
2015-06-07,87.8,31.0
2015-06-08,85.1,29.5
2015-06-09,82.4,28.0
2015-06-10,78.8,26.0
2015-06-11,71.6,22.0
2015-06-12,75.2,24.0
2015-06-13,71.6,22.0
2015-06-14,71.6,22.0
2015-06-15,71.6,22.0
2015-06-16,77.0,25.0
2015-06-17,78.8,26.0
2015-06-18,82.4,28.0
2015-06-19,80.6,27.0
2015-06-20,82.4,28.0
2015-06-21,84.2,29.0
2015-06-22,83.3,28.5
2015-06-23,84.2,29.0
2015-06-24,80.6,27.0
2015-06-25,84.2,29.0
2015-06-26,86.9,30.5
2015-06-27,87.8,31.0
2015-06-28,87.8,31.0
2015-06-29,91.4,33.0
2015-06-30,89.6,32.0
2015-07-01,86.0,30.0
2015-07-02,86.0,30.0
2015-07-03,89.6,32.0
2015-07-04,88.7,31.5
2015-07-05,89.6,32.0
2015-07-06,93.2,34.0
2015-07-07,91.4,33.0
2015-07-08,87.8,31.0
2015-07-09,87.8,31.0
2015-07-10,87.8,31.0
2015-07-11,86.0,30.0
2015-07-12,84.2,29.0
2015-07-13,87.8,31.0
2015-07-14,89.6,32.0
2015-07-15,90.5,32.5
2015-07-16,91.4,33.0
2015-07-17,89.6,32.0
2015-07-18,89.6,32.0
2015-07-19,89.6,32.0
2015-07-20,89.6,32.0
2015-07-21,89.6,32.0
2015-07-22,89.6,32.0
2015-07-23,89.6,32.0
2015-07-24,91.4,33.0
2015-07-25,86.0,30.0
2015-07-26,89.6,32.0
2015-07-27,86.9,30.5
2015-07-28,86.0,30.0
2015-07-29,87.8,31.0
2015-07-30,82.4,28.0
2015-07-31,80.6,27.0
2015-08-01,81.5,27.5
2015-08-02,91.4,33.0
2015-08-03,89.6,32.0
2015-08-04,87.8,31.0
2015-08-05,87.8,31.0
2015-08-06,87.8,31.0
2015-08-07,91.4,33.0
2015-08-08,87.8,31.0
2015-08-09,86.0,30.0
2015-08-10,86.9,30.5
2015-08-11,89.6,32.0
2015-08-12,87.8,31.0
2015-08-13,84.2,29.0
2015-08-14,80.6,27.0
2015-08-15,79.7,26.5
2015-08-16,82.4,28.0
2015-08-17,80.6,27.0
2015-08-18,79.7,26.5
2015-08-19,82.4,28.0
2015-08-20,87.8,31.0
2015-08-21,87.8,31.0
2015-08-22,84.2,29.0
2015-08-23,82.4,28.0
2015-08-24,78.8,26.0
2015-08-25,84.2,29.0
2015-08-26,86.0,30.0
2015-08-27,87.8,31.0
2015-08-28,87.8,31.0
2015-08-29,88.7,31.5
2015-08-30,88.7,31.5
2015-08-31,84.2,29.0
2015-09-01,82.4,28.0
2015-09-02,77.0,25.0
2015-09-03,76.1,24.5
2015-09-04,72.5,22.5
2015-09-05,75.2,24.0
2015-09-06,77.0,25.0
2015-09-07,77.0,25.0
2015-09-08,77.0,25.0
2015-09-09,78.8,26.0
2015-09-10,75.2,24.0
2015-09-11,80.6,27.0
2015-09-12,80.6,27.0
2015-09-13,77.9,25.5
2015-09-14,75.2,24.0
2015-09-15,75.2,24.0
2015-09-16,75.2,24.0
2015-09-17,72.5,22.5
2015-09-18,75.2,24.0
2015-09-19,77.0,25.0
2015-09-20,78.8,26.0
2015-09-21,79.7,26.5
2015-09-22,77.0,25.0
2015-09-23,75.2,24.0
2015-09-24,77.0,25.0
2015-09-25,78.8,26.0
2015-09-26,77.0,25.0
2015-09-27,77.0,25.0
2015-09-28,77.0,25.0
2015-09-29,73.4,23.0
2015-09-30,75.2,24.0
2015-10-01,74.3,23.5
2015-10-02,73.4,23.0
2015-10-03,73.4,23.0
2015-10-04,73.4,23.0
2015-10-05,77.9,25.5
2015-10-06,75.2,24.0
2015-10-07,71.6,22.0
2015-10-08,69.8,21.0
2015-10-09,72.5,22.5
