day,max_temp_f,maxT
2015-01-01,71.6,22.0
2015-01-02,75.2,24.0
2015-01-03,82.0,27.78
2015-01-04,82.4,28.0
2015-01-05,69.8,21.0
2015-01-06,75.2,24.0
2015-01-07,67.0,19.44
2015-01-08,57.1,13.94
2015-01-09,57.2,14.0
2015-01-10,64.4,18.0
2015-01-11,76.0,24.44
2015-01-12,75.2,24.0
2015-01-13,73.7,23.17
2015-01-14,66.2,19.0
2015-01-15,58.5,14.72
2015-01-16,62.6,17.0
2015-01-17,72.0,22.22
2015-01-18,70.0,21.11
2015-01-19,70.0,21.11
2015-01-20,71.03,21.68
2015-01-21,75.2,24.0
2015-01-22,77.0,25.0
2015-01-23,77.0,25.0
2015-01-24,69.8,21.0
2015-01-25,64.4,18.0
2015-01-26,64.4,18.0
2015-01-27,67.0,19.44
2015-01-28,61.0,16.11
2015-01-29,69.8,21.0
2015-01-30,71.42,21.9
2015-01-31,69.04,20.58
2015-02-01,73.4,23.0
2015-02-02,72.07,22.26
2015-02-03,64.4,18.0
2015-02-04,71.6,22.0
2015-02-05,66.2,19.0
2015-02-06,64.4,18.0
2015-02-07,71.0,21.67
2015-02-08,73.4,23.0
2015-02-09,71.6,22.0
2015-02-10,63.0,17.22
2015-02-11,66.2,19.0
2015-02-12,69.89,21.05
2015-02-13,58.0,14.44
2015-02-14,64.0,17.78
2015-02-15,70.5,21.39
2015-02-16,73.4,23.0
2015-02-17,74.2,23.44
2015-02-18,59.0,15.0
2015-02-19,51.0,10.56
2015-02-20,55.4,13.0
2015-02-21,71.6,22.0
2015-02-22,79.0,26.11
2015-02-23,79.49,26.38
2015-02-24,71.3,21.83
2015-02-25,71.6,22.0
2015-02-26,72.25,22.36
2015-02-27,60.0,15.56
2015-02-28,66.2,19.0
2015-03-01,78.8,26.0
2015-03-02,80.6,27.0
2015-03-03,82.0,27.78
2015-03-04,83.0,28.33
2015-03-05,84.0,28.89
2015-03-06,70.52,21.4
2015-03-07,69.8,21.0
2015-03-08,77.0,25.0
2015-03-09,80.6,27.0
2015-03-10,84.0,28.89
2015-03-11,85.0,29.44
2015-03-12,84.1,28.94
2015-03-13,82.0,27.78
2015-03-14,84.2,29.0
2015-03-15,83.0,28.33
2015-03-16,84.0,28.89
2015-03-17,86.0,30.0
2015-03-18,83.0,28.33
2015-03-19,82.0,27.78
2015-03-20,84.38,29.1
2015-03-21,84.0,28.89
2015-03-22,83.0,28.33
2015-03-23,79.0,26.11
2015-03-24,75.2,24.0
2015-03-25,80.6,27.0
2015-03-26,84.0,28.89
2015-03-27,78.8,26.0
2015-03-28,67.82,19.9
2015-03-29,69.8,21.0
2015-03-30,77.0,25.0
2015-03-31,80.6,27.0
2015-04-01,82.4,28.0
2015-04-02,82.0,27.78
2015-04-03,84.0,28.89
2015-04-04,83.48,28.6
2015-04-05,80.8,27.11
2015-04-06,83.0,28.33
2015-04-07,85.0,29.44
2015-04-08,85.14,29.52
2015-04-09,85.0,29.44
2015-04-10,86.0,30.0
2015-04-11,86.0,30.0
2015-04-12,85.0,29.44
2015-04-13,84.2,29.0
2015-04-14,86.0,30.0
2015-04-15,86.0,30.0
2015-04-16,84.2,29.0
2015-04-17,80.6,27.0
2015-04-18,87.0,30.56
2015-04-19,88.0,31.11
2015-04-20,84.0,28.89
2015-04-21,83.0,28.33
2015-04-22,84.2,29.0
2015-04-23,84.2,29.0
2015-04-24,85.82,29.9
2015-04-25,87.0,30.56
2015-04-26,88.94,31.63
2015-04-27,82.4,28.0
2015-04-28,79.0,26.11
2015-04-29,83.0,28.33
2015-04-30,80.0,26.67
2015-05-01,82.0,27.78
2015-05-02,80.6,27.0
2015-05-03,82.0,27.78
2015-05-04,81.86,27.7
2015-05-05,81.0,27.22
2015-05-06,84.0,28.89
2015-05-07,86.0,30.0
2015-05-08,87.8,31.0
2015-05-09,89.0,31.67
2015-05-10,90.0,32.22
2015-05-11,89.6,32.0
2015-05-12,89.6,32.0
2015-05-13,90.0,32.22
2015-05-14,89.0,31.67
2015-05-15,86.0,30.0
2015-05-16,87.0,30.56
2015-05-17,87.8,31.0
2015-05-18,88.0,31.11
2015-05-19,89.24,31.8
2015-05-20,90.68,32.6
2015-05-21,91.4,33.0
2015-05-22,89.0,31.67
2015-05-23,89.0,31.67
2015-05-24,89.0,31.67
2015-05-25,89.3,31.83
2015-05-26,89.0,31.67
2015-05-27,87.8,31.0
2015-05-28,87.0,30.56
2015-05-29,87.08,30.6
2015-05-30,88.0,31.11
2015-05-31,88.0,31.11
2015-06-01,87.8,31.0
2015-06-02,83.39,28.55
2015-06-03,86.0,30.0
2015-06-04,88.08,31.16
2015-06-05,89.0,31.67
2015-06-06,88.0,31.11
2015-06-07,89.0,31.67
2015-06-08,89.0,31.67
2015-06-09,89.6,32.0
2015-06-10,87.0,30.56
2015-06-11,88.0,31.11
2015-06-12,90.5,32.5
2015-06-13,91.4,33.0
2015-06-14,91.4,33.0
2015-06-15,91.7,33.17
2015-06-16,93.0,33.89
2015-06-17,93.2,34.0
2015-06-18,93.11,33.95
2015-06-19,93.2,34.0
2015-06-20,93.1,33.94
2015-06-21,94.0,34.44
