,temp,max_temp,min_temp
2015-01-01,16.83,22.0,15.0
2015-01-02,19.41,24.0,16.05
2015-01-03,22.03,27.8,19.0
2015-01-04,21.78,28.0,19.4
2015-01-05,16.65,21.0,13.3
2015-01-06,14.75,23.9,11.0
2015-01-07,13.08,19.4,8.0
2015-01-08,8.37,14.0,2.8
2015-01-09,10.43,14.0,6.85
2015-01-10,12.48,18.0,6.0
2015-01-11,18.33,24.0,11.7
2015-01-12,18.99,24.0,16.7
2015-01-13,18.1,23.15,16.0
2015-01-14,15.18,19.2,12.0
2015-01-15,12.63,15.0,11.0
2015-01-16,11.68,17.0,8.95
2015-01-17,13.95,22.2,7.2
2015-01-18,13.92,21.0,11.0
2015-01-19,11.57,21.0,6.1
2015-01-20,15.1,21.45,8.1
2015-01-21,16.42,24.0,11.05
2015-01-22,17.95,24.5,12.0
2015-01-23,19.93,25.0,17.2
2015-01-24,15.97,21.05,9.4
2015-01-25,12.24,17.9,4.7
2015-01-26,14.03,18.0,9.4
2015-01-27,12.53,19.0,6.0
2015-01-28,9.88,16.0,6.0
2015-01-29,13.37,20.6,5.6
2015-01-30,14.21,21.55,7.9
2015-01-31,13.31,20.6,7.0
2015-02-01,17.73,23.0,9.0
2015-02-02,17.53,22.0,10.0
2015-02-03,12.19,18.0,5.0
2015-02-04,15.94,22.0,11.5
2015-02-05,15.19,19.0,10.6
2015-02-06,11.76,18.0,8.9
2015-02-07,13.18,21.1,7.75
2015-02-08,15.13,23.0,8.3
2015-02-09,16.23,22.0,12.0
2015-02-10,13.78,17.1,11.0
2015-02-11,11.43,18.9,7.15
2015-02-12,12.82,21.0,6.0
2015-02-13,9.23,14.4,5.0
2015-02-14,11.23,17.2,3.0
2015-02-15,13.47,21.1,8.3
2015-02-16,17.96,22.8,10.0
2015-02-17,15.6,23.0,13.0
2015-02-18,10.95,15.0,6.7
2015-02-19,5.96,10.2,2.0
2015-02-20,7.67,13.0,0.0
2015-02-21,16.04,21.75,6.0
2015-02-22,18.97,26.0,13.0
2015-02-23,18.62,26.0,15.0
2015-02-24,15.98,21.1,15.0
2015-02-25,16.02,22.0,14.0
2015-02-26,16.02,22.2,12.8
2015-02-27,12.85,15.0,11.0
2015-02-28,16.24,19.0,12.9
2015-03-01,18.1,25.8,16.85
2015-03-02,19.06,26.8,16.1
2015-03-03,19.94,27.2,16.1
2015-03-04,21.31,27.8,17.1
2015-03-05,21.74,28.3,17.8
2015-03-06,15.31,21.2,10.8
2015-03-07,14.61,20.6,10.65
2015-03-08,17.94,24.4,12.0
2015-03-09,20.54,26.7,13.9
2015-03-10,22.37,28.3,17.8
2015-03-11,23.03,28.9,20.0
2015-03-12,22.6,28.3,20.0
2015-03-13,22.56,27.4,20.0
2015-03-14,22.5,28.3,19.0
2015-03-15,21.29,28.0,18.7
2015-03-16,21.13,28.3,16.7
2015-03-17,22.1,29.4,16.75
2015-03-18,21.44,27.8,17.2
2015-03-19,21.77,27.2,18.9
2015-03-20,21.07,28.8,17.9
2015-03-21,22.06,28.3,18.25
2015-03-22,21.87,28.0,19.0
2015-03-23,21.08,26.0,18.3
2015-03-24,19.35,24.0,17.0
2015-03-25,19.88,26.1,16.7
2015-03-26,21.79,28.5,18.0
2015-03-27,20.22,25.8,16.1
2015-03-28,14.54,19.4,10.0
2015-03-29,14.5,20.6,8.3
2015-03-30,18.73,25.0,9.4
2015-03-31,20.69,27.0,15.0
2015-04-01,21.18,28.0,17.2
2015-04-02,21.16,27.2,17.0
2015-04-03,21.77,28.3,17.0
2015-04-04,22.22,28.3,16.7
2015-04-05,21.81,26.7,18.0
2015-04-06,22.53,27.9,19.5
2015-04-07,23.07,29.0,19.4
2015-04-08,23.41,29.4,19.4
2015-04-09,23.51,29.0,19.0
2015-04-10,24.25,29.4,20.0
2015-04-11,23.51,29.4,20.55
2015-04-12,23.43,28.95,20.0
2015-04-13,23.65,29.0,21.0
2015-04-14,24.2,30.0,20.6
2015-04-15,24.19,29.4,21.1
2015-04-16,23.35,28.2,21.0
2015-04-17,23.17,27.0,20.7
2015-04-18,24.36,30.0,21.05
2015-04-19,24.06,31.0,21.05
2015-04-20,22.73,28.3,19.4
2015-04-21,22.56,28.0,19.4
2015-04-22,23.06,28.95,19.4
2015-04-23,23.72,29.0,19.7
2015-04-24,23.91,29.0,21.0
2015-04-25,25.4,30.0,20.75
2015-04-26,26.34,31.1,23.3
2015-04-27,24.28,28.0,21.8
2015-04-28,22.08,26.0,20.0
2015-04-29,22.39,28.3,21.0
2015-04-30,21.22,26.1,17.55
2015-05-01,21.12,27.2,16.0
2015-05-02,21.04,26.7,15.0
2015-05-03,21.98,27.2,15.0
2015-05-04,22.31,27.2,16.7
2015-05-05,22.72,27.0,19.0
2015-05-06,22.83,28.65,19.4
2015-05-07,23.22,29.4,18.0
2015-05-08,23.79,30.6,17.7
2015-05-09,25.2,31.1,19.0
2015-05-10,25.72,32.0,20.0
2015-05-11,25.57,31.8,20.8
2015-05-12,25.1,31.1,21.4
2015-05-13,25.39,31.75,21.2
2015-05-14,25.7,31.1,21.75
2015-05-15,25.06,30.0,22.0
2015-05-16,25.26,30.0,21.7
2015-05-17,25.57,30.8,22.65
2015-05-18,25.58,31.0,21.1
2015-05-19,25.67,31.35,21.1
2015-05-20,25.97,32.2,21.7
2015-05-21,26.89,32.8,22.0
2015-05-22,25.4,31.1,22.2
2015-05-23,26.06,31.1,22.0
2015-05-24,26.45,31.1,23.3
2015-05-25,26.58,31.7,23.0
2015-05-26,25.94,31.1,23.0
2015-05-27,25.86,30.7,22.2
2015-05-28,25.17,30.0,21.7
2015-05-29,25.54,30.0,20.0
2015-05-30,25.91,31.0,21.05
2015-05-31,25.44,31.0,21.7
2015-06-01,24.92,30.6,21.1
2015-06-02,23.46,28.3,21.0
2015-06-03,24.91,29.45,20.6
2015-06-04,26.14,31.0,21.1
2015-06-05,25.31,31.05,21.7
2015-06-06,25.68,30.8,21.7
2015-06-07,26.04,31.1,21.7
2015-06-08,26.39,31.1,22.0
2015-06-09,25.69,31.65,22.2
2015-06-10,24.21,30.0,21.7
2015-06-11,25.45,31.0,22.0
2015-06-12,26.61,32.2,22.8
2015-06-13,27.27,32.8,24.0
2015-06-14,27.42,33.0,23.9
2015-06-15,27.29,33.0,23.15
2015-06-16,27.83,33.4,23.0
2015-06-17,29.58,33.8,23.9
2015-06-18,28.01,33.8,24.0
2015-06-19,27.97,33.9,23.9
2015-06-20,28.27,33.3,23.95
2015-06-21,28.68,34.0,24.0
2015-06-22,28.31,34.4,24.4
2015-06-23,26.63,33.3,23.9
2015-06-24,27.09,32.8,23.0
2015-06-25,26.29,32.2,23.3
2015-06-26,27.14,32.2,23.3
2015-06-27,27.79,32.8,23.9
2015-06-28,27.46,32.2,24.0
2015-06-29,26.16,31.7,23.1
2015-06-30,27.33,33.0,22.9
2015-07-01,27.76,33.0,23.3
2015-07-02,26.43,32.2,23.0
2015-07-03,27.53,33.0,23.0
2015-07-04,26.51,32.2,22.8
2015-07-05,25.09,32.2,22.0
2015-07-06,25.87,32.2,21.9
2015-07-07,26.31,32.0,22.2
2015-07-08,26.8,32.8,22.8
2015-07-09,27.57,32.8,23.0
2015-07-10,28.11,33.2,23.3
2015-07-11,27.93,34.0,23.9
2015-07-12,27.21,33.3,24.2
2015-07-13,27.96,34.0,23.9
2015-07-14,27.93,33.0,25.0
2015-07-15,27.49,32.8,25.0
2015-07-16,26.86,31.7,24.0
2015-07-17,26.45,32.2,23.9
2015-07-18,27.03,32.0,24.0
2015-07-19,27.33,32.8,24.0
2015-07-20,27.47,32.8,24.0
2015-07-21,27.61,33.0,24.4
2015-07-22,27.78,33.3,25.0
2015-07-23,28.07,33.3,25.6
2015-07-24,26.48,32.2,24.0
2015-07-25,25.93,31.0,23.9
2015-07-26,26.34,31.1,23.9
2015-07-27,27.25,31.7,24.0
2015-07-28,27.81,32.2,24.4
2015-07-29,27.1,33.15,24.55
2015-07-30,26.65,32.8,24.2
2015-07-31,26.52,32.1,24.0
2015-08-01,25.97,31.1,23.25
2015-08-02,26.26,31.7,23.0
2015-08-03,26.25,30.0,23.3
2015-08-04,27.47,32.2,24.0
2015-08-05,27.7,32.8,24.4
2015-08-06,28.07,32.8,24.15
2015-08-07,27.73,32.8,25.0
2015-08-08,26.86,32.8,23.9
2015-08-09,27.1,32.8,23.9
2015-08-10,27.28,33.0,24.0
2015-08-11,27.72,33.0,23.9
2015-08-12,28.11,33.9,25.0
2015-08-13,26.65,32.2,23.3
2015-08-14,26.49,32.0,22.8
2015-08-15,25.87,31.7,23.0
2015-08-16,26.07,31.7,23.0
2015-08-17,26.34,32.15,23.9
2015-08-18,27.45,32.8,24.4
2015-08-19,27.55,33.0,25.0
2015-08-20,27.49,33.0,24.6
2015-08-21,28.03,33.0,24.4
2015-08-22,28.19,33.9,25.0
2015-08-23,28.4,33.9,25.0
2015-08-24,28.31,33.0,24.0
2015-08-25,28.36,33.3,25.0
2015-08-26,26.05,32.8,23.25
2015-08-27,25.41,31.0,22.8
2015-08-28,26.06,32.0,22.8
2015-08-29,25.74,31.45,23.0
