,temp,max_temp,min_temp
2015-01-01,1.54,6.0,-4.0
2015-01-02,4.87,9.0,-1.0
2015-01-03,8.31,13.0,3.0
2015-01-04,8.12,11.0,5.0
2015-01-05,3.4,8.0,0.0
2015-01-06,2.98,7.0,-1.0
2015-01-07,4.47,9.0,1.0
2015-01-08,7.92,11.0,4.0
2015-01-09,10.63,14.0,6.0
2015-01-10,11.69,13.0,8.0
2015-01-11,7.8,10.0,4.0
2015-01-12,6.16,12.0,2.0
2015-01-13,9.26,13.0,4.0
2015-01-14,8.12,11.0,5.0
2015-01-15,9.29,12.0,5.0
2015-01-16,6.86,9.0,3.0
2015-01-17,4.1,7.0,0.0
2015-01-18,2.92,6.0,0.0
2015-01-19,3.0,5.0,0.0
2015-01-20,1.78,4.0,-1.0
2015-01-21,2.43,5.0,-1.0
2015-01-22,2.29,5.0,0.0
2015-01-23,1.7,4.0,-1.0
2015-01-24,2.74,7.0,-1.0
2015-01-25,2.95,7.0,-1.0
2015-01-26,4.96,8.0,2.0
2015-01-27,5.3,8.0,2.0
2015-01-28,6.07,10.0,3.0
2015-01-29,6.37,8.0,4.0
2015-01-30,4.25,7.0,1.0
2015-01-31,3.41,6.0,1.0
2015-02-01,3.14,5.0,1.0
2015-02-02,2.22,5.0,-1.0
2015-02-03,0.66,3.0,-2.0
2015-02-04,0.95,4.0,-1.0
2015-02-05,0.8,3.0,-1.0
2015-02-06,0.4,2.0,-1.0
2015-02-07,1.29,5.0,-2.0
2015-02-08,3.3,7.0,0.0
2015-02-09,2.65,8.0,-2.0
2015-02-10,2.74,7.0,0.0
2015-02-11,2.9,10.0,-2.0
2015-02-12,3.87,12.0,-2.0
2015-02-13,7.62,12.0,2.0
2015-02-14,7.13,10.0,5.0
2015-02-15,5.57,9.0,3.0
2015-02-16,5.2,9.0,1.0
2015-02-17,5.63,8.0,3.0
2015-02-18,3.88,9.0,0.0
2015-02-19,4.4,10.0,-1.0
2015-02-20,7.52,11.0,2.0
2015-02-21,5.14,8.0,2.0
2015-02-22,4.67,9.0,-1.0
2015-02-23,6.88,11.0,3.0
2015-02-24,5.51,9.0,3.0
2015-02-25,7.15,10.0,3.0
2015-02-26,8.6,11.0,6.0
2015-02-27,6.1,9.0,3.0
2015-02-28,6.78,10.0,0.5
2015-03-01,9.98,12.0,7.0
2015-03-02,9.91,12.0,5.0
2015-03-03,7.86,12.0,4.0
2015-03-04,5.85,9.0,2.0
2015-03-05,5.04,11.0,0.0
2015-03-06,5.8,13.0,0.0
2015-03-07,7.18,16.0,0.0
2015-03-08,8.09,16.0,1.0
2015-03-09,8.27,15.0,4.0
2015-03-10,9.46,15.0,4.0
2015-03-11,9.86,15.0,6.0
2015-03-12,8.65,15.0,4.0
2015-03-13,7.74,11.0,4.0
2015-03-14,6.3,10.0,3.0
2015-03-15,6.01,9.0,3.0
2015-03-16,6.97,13.0,3.0
2015-03-17,9.55,16.0,2.0
2015-03-18,10.49,17.0,5.0
2015-03-19,8.81,13.0,5.0
2015-03-20,8.27,12.0,6.0
2015-03-21,7.89,11.0,5.0
2015-03-22,7.02,10.0,4.0
2015-03-23,7.86,15.0,1.0
2015-03-24,7.94,11.0,4.0
2015-03-25,5.81,10.0,3.0
2015-03-26,7.93,11.0,2.0
2015-03-27,8.94,12.0,4.0
2015-03-28,11.06,14.0,7.0
2015-03-29,11.75,13.0,10.0
2015-03-30,12.12,14.0,10.0
2015-03-31,12.34,14.0,8.0
2015-04-01,8.98,12.0,5.0
2015-04-02,9.57,13.0,6.0
2015-04-03,9.85,13.0,7.0
2015-04-04,9.33,11.0,6.0
2015-04-05,7.19,11.0,3.0
2015-04-06,8.56,14.0,1.0
2015-04-07,9.21,16.0,3.0
2015-04-08,10.63,18.0,2.0
2015-04-09,12.52,21.0,4.0
2015-04-10,13.15,20.0,6.0
2015-04-11,11.8,16.0,8.0
2015-04-12,12.57,20.0,5.0
2015-04-13,14.68,22.0,6.0
2015-04-14,16.51,25.0,7.0
2015-04-15,16.85,26.0,9.0
2015-04-16,15.27,21.0,11.0
2015-04-17,13.35,17.0,11.0
2015-04-18,12.11,17.0,8.0
2015-04-19,11.34,16.0,6.0
2015-04-20,13.03,20.0,6.0
2015-04-21,14.54,22.0,7.0
2015-04-22,14.53,22.0,8.0
2015-04-23,13.69,20.0,8.0
2015-04-24,14.54,21.0,8.0
2015-04-25,14.38,19.0,12.0
2015-04-26,13.84,18.0,10.0
2015-04-27,11.86,15.0,8.0
2015-04-28,9.88,14.0,5.0
2015-04-29,10.98,16.0,3.0
2015-04-30,12.23,15.0,7.0
2015-05-01,12.84,15.0,11.0
2015-05-02,14.51,16.0,12.0
2015-05-03,16.09,20.0,13.0
2015-05-04,17.39,22.0,13.0
2015-05-05,16.6,20.0,12.0
2015-05-06,13.59,17.0,8.0
2015-05-07,13.87,18.0,6.0
2015-05-08,15.2,20.0,9.0
2015-05-09,15.64,20.0,11.0
2015-05-10,17.11,24.0,9.0
2015-05-11,18.51,27.0,11.0
2015-05-12,17.23,23.0,12.0
2015-05-13,17.28,23.0,11.0
2015-05-14,14.81,18.0,10.0
2015-05-15,12.11,16.0,8.0
2015-05-16,13.93,18.0,8.0
2015-05-17,14.6,20.0,9.0
2015-05-18,14.92,21.0,7.0
2015-05-19,12.27,16.0,9.0
2015-05-20,11.08,15.0,7.0
2015-05-21,12.54,17.0,6.0
2015-05-22,14.42,19.0,6.0
2015-05-23,15.67,20.0,11.0
2015-05-24,16.49,21.0,11.0
2015-05-25,15.37,20.0,11.0
2015-05-26,14.66,19.0,11.0
2015-05-27,15.45,21.0,8.0
2015-05-28,15.95,22.0,9.0
2015-05-29,15.51,20.0,10.0
2015-05-30,15.55,20.0,10.0
2015-05-31,16.92,21.5,10.0
2015-06-01,15.73,19.0,11.0
2015-06-02,18.47,25.0,12.0
2015-06-03,18.55,23.0,13.0
2015-06-04,22.08,29.0,12.0
2015-06-05,22.23,32.0,15.0
2015-06-06,19.2,24.0,14.0
2015-06-07,19.3,25.0,14.0
2015-06-08,18.43,24.0,13.0
2015-06-09,17.19,22.0,12.0
2015-06-10,17.84,23.0,13.0
2015-06-11,21.27,28.0,15.0
2015-06-12,19.05,24.0,15.0
2015-06-13,18.36,25.0,14.0
2015-06-14,17.61,22.0,14.0
2015-06-15,17.41,21.0,14.0
2015-06-16,17.08,22.0,14.0
2015-06-17,18.2,24.0,11.0
2015-06-18,18.47,22.0,12.0
2015-06-19,17.68,23.0,12.0
2015-06-20,18.29,23.0,11.0
2015-06-21,18.91,24.0,13.0
2015-06-22,18.51,25.0,12.0
2015-06-23,17.26,21.0,11.0
2015-06-24,18.92,25.0,9.0
2015-06-25,21.46,27.0,12.0
2015-06-26,22.34,30.0,14.0
2015-06-27,20.61,26.0,16.0
2015-06-28,21.82,29.0,12.5
2015-06-29,22.59,29.5,15.0
2015-06-30,25.88,33.0,17.0
2015-07-01,25.65,33.5,18.0
2015-07-02,23.94,30.0,19.0
2015-07-03,26.3,34.5,18.0
2015-07-04,25.56,32.0,20.0
2015-07-05,22.82,29.0,18.0
2015-07-06,23.93,31.0,16.0
2015-07-07,23.08,28.0,18.0
2015-07-08,19.65,22.0,15.0
2015-07-09,19.2,24.0,13.0
2015-07-10,22.3,30.0,12.0
2015-07-11,22.19,28.0,15.0
2015-07-12,20.96,26.0,14.0
2015-07-13,21.38,27.0,16.0
