day,max_temp_f,maxT
2015-01-01,53.96,12.2
2015-01-02,51.8,11.0
2015-01-03,42.8,6.0
2015-01-04,41.0,5.0
2015-01-05,48.2,9.0
2015-01-06,48.2,9.0
2015-01-07,50.0,10.0
2015-01-08,50.0,10.0
2015-01-09,57.2,14.0
2015-01-10,55.4,13.0
2015-01-11,46.4,8.0
2015-01-12,51.8,11.0
2015-01-13,44.6,7.0
2015-01-14,46.4,8.0
2015-01-15,48.2,9.0
2015-01-16,42.8,6.0
2015-01-17,41.0,5.0
2015-01-18,39.2,4.0
2015-01-19,37.4,3.0
2015-01-20,37.4,3.0
2015-01-21,39.2,4.0
2015-01-22,39.2,4.0
2015-01-23,44.6,7.0
2015-01-24,44.6,7.0
2015-01-25,48.2,9.0
2015-01-26,48.2,9.0
2015-01-27,46.4,8.0
2015-01-28,48.2,9.0
2015-01-29,40.1,4.5
2015-01-30,42.8,6.0
2015-01-31,41.0,5.0
2015-02-01,39.2,4.0
2015-02-02,37.4,3.0
2015-02-03,39.2,4.0
2015-02-04,41.0,5.0
2015-02-05,42.8,6.0
2015-02-06,41.0,5.0
2015-02-07,42.8,6.0
2015-02-08,46.4,8.0
2015-02-09,48.2,9.0
2015-02-10,42.8,6.0
2015-02-11,41.0,5.0
2015-02-12,41.9,5.5
2015-02-13,46.4,8.0
2015-02-14,46.4,8.0
2015-02-15,46.4,8.0
2015-02-16,45.77,7.65
2015-02-17,46.4,8.0
2015-02-18,50.0,10.0
2015-02-19,46.4,8.0
2015-02-20,44.6,7.0
2015-02-21,44.6,7.0
2015-02-22,46.4,8.0
2015-02-23,44.6,7.0
2015-02-24,46.4,8.0
2015-02-25,50.0,10.0
2015-02-26,51.8,11.0
2015-02-27,46.4,8.0
2015-02-28,50.0,10.0
2015-03-01,48.2,9.0
2015-03-02,44.6,7.0
2015-03-03,44.6,7.0
2015-03-04,48.2,9.0
2015-03-05,50.0,10.0
2015-03-06,51.8,11.0
2015-03-07,57.2,14.0
2015-03-08,51.8,11.0
2015-03-09,50.9,10.5
2015-03-10,50.0,10.0
2015-03-11,50.0,10.0
2015-03-12,53.6,12.0
2015-03-13,48.2,9.0
2015-03-14,44.6,7.0
2015-03-15,44.6,7.0
2015-03-16,46.4,8.0
2015-03-17,48.2,9.0
2015-03-18,50.0,10.0
2015-03-19,46.4,8.0
2015-03-20,53.6,12.0
2015-03-21,48.2,9.0
2015-03-22,48.2,9.0
2015-03-23,50.0,10.0
2015-03-24,48.2,9.0
2015-03-25,48.2,9.0
2015-03-26,51.8,11.0
2015-03-27,51.8,11.0
2015-03-28,56.84,13.8
2015-03-29,50.0,10.0
2015-03-30,51.8,11.0
2015-03-31,51.8,11.0
2015-04-01,48.2,9.0
2015-04-02,50.0,10.0
2015-04-03,50.0,10.0
2015-04-04,50.0,10.0
2015-04-05,53.6,12.0
2015-04-06,59.0,15.0
2015-04-07,60.8,16.0
2015-04-08,59.0,15.0
2015-04-09,62.6,17.0
2015-04-10,64.4,18.0
2015-04-11,53.6,12.0
2015-04-12,55.4,13.0
2015-04-13,55.4,13.0
2015-04-14,62.6,17.0
2015-04-15,59.0,15.0
2015-04-16,55.4,13.0
2015-04-17,55.4,13.0
2015-04-18,57.2,14.0
2015-04-19,51.8,11.0
2015-04-20,59.0,15.0
2015-04-21,62.6,17.0
2015-04-22,60.8,16.0
2015-04-23,60.8,16.0
2015-04-24,59.0,15.0
2015-04-25,59.0,15.0
2015-04-26,51.8,11.0
2015-04-27,51.8,11.0
2015-04-28,51.8,11.0
2015-04-29,52.7,11.5
2015-04-30,53.6,12.0
2015-05-01,51.8,11.0
2015-05-02,51.8,11.0
2015-05-03,62.6,17.0
2015-05-04,60.8,16.0
2015-05-05,57.2,14.0
2015-05-06,53.6,12.0
2015-05-07,55.4,13.0
2015-05-08,57.2,14.0
2015-05-09,55.4,13.0
2015-05-10,60.8,16.0
2015-05-11,64.4,18.0
2015-05-12,59.0,15.0
2015-05-13,59.0,15.0
2015-05-14,51.8,11.0
2015-05-15,57.2,14.0
2015-05-16,57.2,14.0
2015-05-17,57.2,14.0
2015-05-18,53.6,12.0
2015-05-19,53.6,12.0
2015-05-20,57.2,14.0
2015-05-21,60.8,16.0
2015-05-22,64.4,18.0
2015-05-23,60.8,16.0
2015-05-24,60.8,16.0
2015-05-25,57.2,14.0
2015-05-26,60.8,16.0
2015-05-27,60.8,16.0
2015-05-28,57.2,14.0
2015-05-29,55.4,13.0
2015-05-30,59.0,15.0
2015-05-31,57.2,14.0
2015-06-01,55.4,13.0
2015-06-02,60.8,16.0
2015-06-03,60.8,16.0
2015-06-04,68.0,20.0
2015-06-05,68.0,20.0
2015-06-06,60.8,16.0
2015-06-07,62.6,17.0
2015-06-08,59.0,15.0
2015-06-09,59.0,15.0
2015-06-10,62.6,17.0
2015-06-11,69.8,21.0
2015-06-12,68.0,20.0
2015-06-13,59.0,15.0
2015-06-14,59.0,15.0
2015-06-15,62.6,17.0
2015-06-16,68.0,20.0
2015-06-17,66.2,19.0
2015-06-18,62.6,17.0
2015-06-19,60.8,16.0
2015-06-20,66.2,19.0
2015-06-21,62.6,17.0
2015-06-22,60.8,16.0
2015-06-23,62.6,17.0
2015-06-24,68.0,20.0
2015-06-25,71.6,22.0
2015-06-26,68.0,20.0
2015-06-27,69.8,21.0
2015-06-28,68.0,20.0
2015-06-29,69.8,21.0
2015-06-30,80.6,27.0
2015-07-01,84.2,29.0
2015-07-02,73.4,23.0
2015-07-03,75.2,24.0
2015-07-04,73.4,23.0
2015-07-05,68.0,20.0
2015-07-06,66.2,19.0
2015-07-07,68.0,20.0
2015-07-08,62.6,17.0
2015-07-09,66.2,19.0
2015-07-10,74.3,23.5
2015-07-11,69.8,21.0
2015-07-12,66.2,19.0
2015-07-13,64.4,18.0
2015-07-14,68.0,20.0
2015-07-15,66.2,19.0
2015-07-16,70.7,21.5
2015-07-17,68.0,20.0
2015-07-18,68.0,20.0
2015-07-19,66.2,19.0
2015-07-20,69.8,21.0
2015-07-21,68.0,20.0
2015-07-22,64.4,18.0
2015-07-23,64.4,18.0
2015-07-24,60.8,16.0
2015-07-25,64.4,18.0
2015-07-26,60.8,16.0
2015-07-27,62.6,17.0
2015-07-28,60.8,16.0
2015-07-29,62.6,17.0
2015-07-30,60.8,16.0
2015-07-31,66.2,19.0
2015-08-01,66.2,19.0
2015-08-02,71.6,22.0
2015-08-03,69.8,21.0
2015-08-04,66.2,19.0
2015-08-05,66.2,19.0
2015-08-06,69.8,21.0
2015-08-07,68.0,20.0
2015-08-08,73.4,23.0
2015-08-09,71.6,22.0
2015-08-10,69.8,21.0
2015-08-11,66.2,19.0
2015-08-12,69.8,21.0
2015-08-13,68.0,20.0
2015-08-14,62.6,17.0
2015-08-15,64.4,18.0
2015-08-16,66.2,19.0
2015-08-17,68.0,20.0
2015-08-18,62.6,17.0
2015-08-19,66.2,19.0
2015-08-20,69.8,21.0
2015-08-21,71.6,22.0
2015-08-22,75.2,24.0
2015-08-23,71.6,22.0
2015-08-24,62.6,17.0
2015-08-25,64.4,18.0
2015-08-26,66.2,19.0
2015-08-27,64.4,18.0
2015-08-28,66.2,19.0
2015-08-29,68.0,20.0
2015-08-30,64.4,18.0
2015-08-31,60.8,16.0
2015-09-01,62.6,17.0
2015-09-02,60.8,16.0
2015-09-03,59.0,15.0
2015-09-04,59.0,15.0
2015-09-05,59.0,15.0
2015-09-06,64.4,18.0
2015-09-07,62.6,17.0
