,temp,max_temp,min_temp,date,max_filled
2015-01-01 00:00:00,,,,101,8.26
2015-01-01 01:00:00,3.43,3.6,3.27,101,3.6
2015-01-01 02:00:00,3.0,3.15,2.85,101,3.15
2015-01-01 03:00:00,2.8,2.93,2.67,101,2.93
2015-01-01 04:00:00,2.63,2.8,2.47,101,2.8
2015-01-01 05:00:00,2.05,2.19,1.9,101,2.19
2015-01-01 06:00:00,1.25,1.45,1.05,101,1.45
2015-01-01 07:00:00,1.28,1.56,1.0,101,1.56
2015-01-01 08:00:00,1.23,1.54,0.93,101,1.54
2015-01-01 09:00:00,1.66,2.14,1.18,101,2.14
2015-01-01 10:00:00,3.86,4.5,3.21,101,4.5
2015-01-01 11:00:00,6.5,7.04,5.96,101,7.04
2015-01-01 12:00:00,9.3,9.86,8.75,101,9.86
2015-01-01 13:00:00,11.34,11.71,10.96,101,11.71
2015-01-01 14:00:00,12.73,12.96,12.5,101,12.96
2015-01-01 15:00:00,13.23,13.39,13.07,101,13.39
2015-01-01 16:00:00,13.48,13.61,13.36,101,13.61
2015-01-01 17:00:00,12.3,12.71,11.89,101,12.71
2015-01-01 18:00:00,9.54,10.22,8.85,101,10.22
2015-01-01 19:00:00,7.43,7.81,7.04,101,7.81
2015-01-01 20:00:00,6.04,6.41,5.67,101,6.41
2015-01-01 21:00:00,5.12,5.42,4.81,101,5.42
2015-01-01 22:00:00,4.34,4.52,4.16,101,4.52
2015-01-01 23:00:00,3.81,4.0,3.62,101,4.0
2015-01-02 00:00:00,3.09,3.19,3.0,102,3.19
2015-01-02 01:00:00,2.97,3.2,2.73,102,3.2
2015-01-02 02:00:00,2.27,2.38,2.15,102,2.38
2015-01-02 03:00:00,1.97,2.2,1.73,102,2.2
2015-01-02 04:00:00,1.83,2.0,1.67,102,2.0
2015-01-02 05:00:00,1.9,2.1,1.7,102,2.1
2015-01-02 06:00:00,1.17,1.35,1.0,102,1.35
2015-01-02 07:00:00,0.91,1.15,0.67,102,1.15
2015-01-02 08:00:00,0.89,1.11,0.68,102,1.11
2015-01-02 09:00:00,1.68,2.14,1.21,102,2.14
2015-01-02 10:00:00,3.86,4.46,3.25,102,4.46
2015-01-02 11:00:00,6.98,7.61,6.36,102,7.61
2015-01-02 12:00:00,9.64,10.21,9.07,102,10.21
2015-01-02 13:00:00,11.88,12.32,11.43,102,12.32
2015-01-02 14:00:00,13.41,13.75,13.07,102,13.75
2015-01-02 15:00:00,14.21,14.39,14.04,102,14.39
2015-01-02 16:00:00,14.07,14.32,13.82,102,14.32
2015-01-02 17:00:00,12.68,13.18,12.18,102,13.18
2015-01-02 18:00:00,10.43,10.96,9.89,102,10.96
2015-01-02 19:00:00,8.26,8.59,7.93,102,8.59
2015-01-02 20:00:00,6.8,7.19,6.41,102,7.19
2015-01-02 21:00:00,5.94,6.31,5.58,102,6.31
2015-01-02 22:00:00,5.58,5.79,5.38,102,5.79
2015-01-02 23:00:00,4.68,4.95,4.4,102,4.95
2015-01-03 00:00:00,4.22,4.38,4.06,103,4.38
2015-01-03 01:00:00,3.97,4.2,3.73,103,4.2
2015-01-03 02:00:00,3.12,3.31,2.92,103,3.31
2015-01-03 03:00:00,2.8,2.87,2.73,103,2.87
2015-01-03 04:00:00,2.63,2.8,2.47,103,2.8
2015-01-03 05:00:00,2.69,2.86,2.52,103,2.86
2015-01-03 06:00:00,2.37,2.61,2.13,103,2.61
2015-01-03 07:00:00,2.11,2.3,1.93,103,2.3
2015-01-03 08:00:00,2.02,2.14,1.89,103,2.14
2015-01-03 09:00:00,2.47,2.9,2.03,103,2.9
2015-01-03 10:00:00,5.52,6.14,4.89,103,6.14
2015-01-03 11:00:00,8.39,9.0,7.79,103,9.0
2015-01-03 12:00:00,11.12,11.68,10.54,103,11.68
2015-01-03 13:00:00,13.3,13.71,12.89,103,13.71
2015-01-03 14:00:00,14.8,15.0,14.61,103,15.0
2015-01-03 15:00:00,15.57,15.71,15.43,103,15.71
2015-01-03 16:00:00,15.7,15.82,15.57,103,15.82
2015-01-03 17:00:00,14.62,15.07,14.18,103,15.07
2015-01-03 18:00:00,12.04,12.67,11.41,103,12.67
2015-01-03 19:00:00,10.0,10.37,9.63,103,10.37
2015-01-03 20:00:00,8.72,9.11,8.33,103,9.11
2015-01-03 21:00:00,8.0,8.19,7.81,103,8.19
2015-01-03 22:00:00,7.73,8.0,7.46,103,8.0
2015-01-03 23:00:00,6.95,7.14,6.76,103,7.14
2015-01-04 00:00:00,6.56,6.69,6.44,104,6.69
2015-01-04 01:00:00,6.27,6.47,6.07,104,6.47
2015-01-04 02:00:00,5.65,5.85,5.46,104,5.85
2015-01-04 03:00:00,4.9,5.0,4.8,104,5.0
2015-01-04 04:00:00,4.53,4.73,4.33,104,4.73
2015-01-04 05:00:00,6.1,6.29,5.9,104,6.29
2015-01-04 06:00:00,5.43,5.61,5.22,104,5.61
2015-01-04 07:00:00,4.83,5.07,4.63,104,5.07
2015-01-04 08:00:00,4.1,4.21,4.0,104,4.21
2015-01-04 09:00:00,5.29,5.82,4.75,104,5.82
2015-01-04 10:00:00,7.57,7.93,7.18,104,7.93
2015-01-04 11:00:00,9.8,10.25,9.32,104,10.25
2015-01-04 12:00:00,12.27,12.64,11.89,104,12.64
2015-01-04 13:00:00,14.02,14.36,13.68,104,14.36
2015-01-04 14:00:00,14.96,15.25,14.68,104,15.25
2015-01-04 15:00:00,15.5,15.75,15.25,104,15.75
2015-01-04 16:00:00,15.46,15.68,15.25,104,15.68
2015-01-04 17:00:00,14.46,14.86,14.07,104,14.86
2015-01-04 18:00:00,12.48,12.96,12.0,104,12.96
2015-01-04 19:00:00,10.54,10.85,10.22,104,10.85
2015-01-04 20:00:00,9.06,9.41,8.7,104,9.41
2015-01-04 21:00:00,8.33,8.58,8.08,104,8.58
2015-01-04 22:00:00,7.67,8.0,7.33,104,8.0
2015-01-04 23:00:00,6.81,7.0,6.62,104,7.0
2015-01-05 00:00:00,5.47,5.81,5.12,105,5.81
2015-01-05 01:00:00,5.0,5.07,4.93,105,5.07
2015-01-05 02:00:00,4.58,4.69,4.46,105,4.69
2015-01-05 03:00:00,4.7,4.93,4.47,105,4.93
2015-01-05 04:00:00,4.07,4.2,3.93,105,4.2
2015-01-05 05:00:00,4.19,4.33,4.05,105,4.33
2015-01-05 06:00:00,3.85,4.04,3.65,105,4.04
2015-01-05 07:00:00,3.57,3.74,3.3,105,3.74
2015-01-05 08:00:00,3.3,3.46,3.11,105,3.46
2015-01-05 09:00:00,3.74,4.21,3.24,105,4.21
2015-01-05 10:00:00,5.8,6.3,5.3,105,6.3
2015-01-05 11:00:00,7.84,8.21,7.48,105,8.21
2015-01-05 12:00:00,10.02,10.36,9.68,105,10.36
2015-01-05 13:00:00,11.48,11.75,11.21,105,11.75
2015-01-05 14:00:00,12.52,12.79,12.25,105,12.79
2015-01-05 15:00:00,13.09,13.25,12.89,105,13.25
2015-01-05 16:00:00,13.07,13.29,12.89,105,13.29
2015-01-05 17:00:00,12.36,12.71,12.0,105,12.71
2015-01-05 18:00:00,10.43,10.78,10.07,105,10.78
2015-01-05 19:00:00,8.8,9.22,8.37,105,9.22
2015-01-05 20:00:00,7.69,7.96,7.41,105,7.96
2015-01-05 21:00:00,7.06,7.27,6.85,105,7.27
2015-01-05 22:00:00,6.9,7.0,6.79,105,7.0
2015-01-05 23:00:00,6.12,6.19,6.0,105,6.19
2015-01-06 00:00:00,5.33,5.44,5.22,106,5.44
2015-01-06 01:00:00,5.18,5.24,5.12,106,5.24
2015-01-06 02:00:00,4.82,4.93,4.71,106,4.93
2015-01-06 03:00:00,4.33,4.53,4.13,106,4.53
2015-01-06 04:00:00,4.1,4.13,4.0,106,4.13
2015-01-06 05:00:00,5.0,5.24,4.81,106,5.24
2015-01-06 06:00:00,4.46,4.57,4.35,106,4.57
2015-01-06 07:00:00,4.15,4.3,4.0,106,4.3
2015-01-06 08:00:00,4.12,4.32,4.0,106,4.32
2015-01-06 09:00:00,4.25,4.46,4.04,106,4.46
2015-01-06 10:00:00,5.86,6.21,5.5,106,6.21
2015-01-06 11:00:00,7.55,7.86,7.21,106,7.86
2015-01-06 12:00:00,9.11,9.46,8.75,106,9.46
2015-01-06 13:00:00,10.4,10.66,10.14,106,10.66
2015-01-06 14:00:00,10.95,11.17,10.69,106,11.17
2015-01-06 15:00:00,11.82,12.0,11.64,106,12.0
2015-01-06 16:00:00,11.96,12.14,11.79,106,12.14
2015-01-06 17:00:00,11.2,11.5,10.89,106,11.5
2015-01-06 18:00:00,9.54,9.86,9.21,106,9.86
2015-01-06 19:00:00,8.29,8.5,8.07,106,8.5
2015-01-06 20:00:00,7.43,7.56,7.3,106,7.56
2015-01-06 21:00:00,6.8,6.96,6.63,106,6.96
2015-01-06 22:00:00,6.56,6.67,6.46,106,6.67
2015-01-06 23:00:00,6.36,6.59,6.14,106,6.59
2015-01-07 00:00:00,5.5,5.71,5.35,107,5.71
2015-01-07 01:00:00,4.72,4.88,4.56,107,4.88
2015-01-07 02:00:00,4.12,4.38,3.85,107,4.38
2015-01-07 03:00:00,4.0,4.13,3.87,107,4.13
2015-01-07 04:00:00,3.43,3.67,3.2,107,3.67
2015-01-07 05:00:00,3.83,3.9,3.76,107,3.9
2015-01-07 06:00:00,3.48,3.7,3.22,107,3.7
2015-01-07 07:00:00,2.91,3.07,2.66,107,3.07
2015-01-07 08:00:00,2.98,3.32,2.68,107,3.32
2015-01-07 09:00:00,3.17,3.45,2.9,107,3.45
2015-01-07 10:00:00,4.91,5.45,4.45,107,5.45
2015-01-07 11:00:00,6.74,7.19,6.29,107,7.19
2015-01-07 12:00:00,8.61,9.0,8.23,107,9.0
2015-01-07 13:00:00,11.04,11.43,10.64,107,11.43
2015-01-07 14:00:00,12.04,12.36,11.71,107,12.36
2015-01-07 15:00:00,12.86,13.04,12.68,107,13.04
2015-01-07 16:00:00,12.98,13.18,12.79,107,13.18
2015-01-07 17:00:00,11.86,12.21,11.52,107,12.21
