,temp,max_temp,min_temp,date,max_filled
2015-01-01 00:00:00,,,,101,5.36
2015-01-01 01:00:00,0.71,0.85,0.56,101,0.85
2015-01-01 02:00:00,0.88,1.03,0.72,101,1.03
2015-01-01 03:00:00,0.91,1.11,0.71,101,1.11
2015-01-01 04:00:00,0.65,0.78,0.53,101,0.78
2015-01-01 05:00:00,0.56,0.65,0.48,101,0.65
2015-01-01 06:00:00,0.26,0.36,0.16,101,0.36
2015-01-01 07:00:00,0.49,0.62,0.36,101,0.62
2015-01-01 08:00:00,0.87,1.0,0.74,101,1.0
2015-01-01 09:00:00,2.69,2.93,2.45,101,2.93
2015-01-01 10:00:00,4.3,4.43,4.18,101,4.43
2015-01-01 11:00:00,5.66,5.77,5.54,101,5.77
2015-01-01 12:00:00,6.2,6.32,6.09,101,6.32
2015-01-01 13:00:00,7.11,7.19,7.02,101,7.19
2015-01-01 14:00:00,6.92,6.95,6.9,101,6.95
2015-01-01 15:00:00,6.86,6.91,6.81,101,6.91
2015-01-01 16:00:00,5.42,5.6,5.24,101,5.6
2015-01-01 17:00:00,4.38,4.47,4.29,101,4.47
2015-01-01 18:00:00,3.93,4.04,3.81,101,4.04
2015-01-01 19:00:00,3.6,3.71,3.48,101,3.71
2015-01-01 20:00:00,2.94,3.1,2.78,101,3.1
2015-01-01 21:00:00,2.69,2.78,2.6,101,2.78
2015-01-01 22:00:00,2.46,2.58,2.34,101,2.58
2015-01-01 23:00:00,2.63,2.74,2.51,101,2.74
2015-01-02 00:00:00,2.25,2.32,2.18,102,2.32
2015-01-02 01:00:00,2.07,2.26,1.88,102,2.26
2015-01-02 02:00:00,1.76,1.88,1.65,102,1.88
2015-01-02 03:00:00,1.49,1.63,1.34,102,1.63
2015-01-02 04:00:00,1.14,1.29,1.0,102,1.29
2015-01-02 05:00:00,0.5,0.57,0.43,102,0.57
2015-01-02 06:00:00,0.47,0.57,0.37,102,0.57
2015-01-02 07:00:00,0.39,0.47,0.31,102,0.47
2015-01-02 08:00:00,1.78,1.93,1.63,102,1.93
2015-01-02 09:00:00,4.27,4.54,4.0,102,4.54
2015-01-02 10:00:00,6.66,6.85,6.46,102,6.85
