,temp,max_temp,min_temp
2015-01-01,-1.56,1.0,-5.0
2015-01-02,-1.17,3.0,-7.0
2015-01-03,1.89,4.0,0.0
2015-01-04,1.89,4.0,0.0
2015-01-05,1.06,3.0,-1.0
2015-01-06,-0.94,3.0,-3.0
2015-01-07,-3.11,0.0,-7.0
2015-01-08,-2.11,0.0,-7.0
2015-01-09,3.94,10.0,-3.0
2015-01-10,11.06,17.0,4.0
2015-01-11,3.61,7.0,1.0
2015-01-12,2.61,7.0,-2.0
2015-01-13,-0.33,8.0,-4.0
2015-01-14,2.5,6.0,-3.0
2015-01-15,1.83,5.0,-1.0
2015-01-16,3.72,11.0,-1.0
2015-01-17,4.83,10.0,1.0
2015-01-18,2.33,4.0,1.0
2015-01-19,0.72,3.0,-2.0
2015-01-20,-0.22,2.0,-4.0
2015-01-21,0.28,3.0,-3.0
2015-01-22,2.61,6.0,-1.0
2015-01-23,2.44,3.0,0.0
2015-01-24,1.78,3.0,0.0
2015-01-25,0.94,2.0,-1.0
2015-01-26,-0.56,3.0,-4.0
2015-01-27,-0.33,2.0,-3.0
2015-01-28,-0.33,4.0,-4.0
2015-01-29,0.0,3.0,-2.0
2015-01-30,-0.06,2.0,-3.0
2015-01-31,-2.61,4.0,-7.0
2015-02-01,-2.39,2.0,-7.0
2015-02-02,-1.78,1.0,-4.0
2015-02-03,-2.56,2.0,-7.0
2015-02-04,-3.67,0.0,-6.0
2015-02-05,-2.39,-1.0,-5.0
2015-02-06,-2.06,-1.0,-5.0
2015-02-07,-3.22,1.0,-7.0
2015-02-08,-2.67,1.0,-8.0
2015-02-09,-1.39,1.0,-5.0
2015-02-10,2.0,5.0,-1.0
2015-02-11,0.44,4.0,-3.0
2015-02-12,0.94,3.0,-1.0
2015-02-13,0.22,4.0,-4.0
2015-02-14,1.33,6.0,-4.0
2015-02-15,1.44,6.0,-5.0
2015-02-16,1.28,7.0,-4.0
2015-02-17,1.33,6.0,-5.0
2015-02-18,0.67,4.0,-2.0
2015-02-19,0.33,6.0,-4.0
2015-02-20,1.17,8.0,-5.0
2015-02-21,3.94,9.0,-3.0
2015-02-22,2.5,4.0,-1.0
2015-02-23,4.06,8.0,0.0
2015-02-24,3.78,5.0,1.0
2015-02-25,3.56,6.0,2.0
2015-02-26,3.61,7.0,-1.0
2015-02-27,3.5,9.0,-3.0
2015-02-28,4.06,7.0,0.0
2015-03-01,4.0,8.0,-2.0
2015-03-02,4.5,9.0,2.0
2015-03-03,3.78,10.0,-2.0
2015-03-04,4.0,8.0,-2.0
2015-03-05,2.78,5.0,0.0
2015-03-06,2.94,7.0,-1.0
2015-03-07,3.22,10.0,-4.0
2015-03-08,4.33,11.0,-4.0
2015-03-09,4.56,11.0,-2.0
2015-03-10,5.94,14.0,-2.0
2015-03-11,4.22,8.0,1.0
2015-03-12,4.56,7.0,1.0
2015-03-13,4.06,7.0,-3.0
2015-03-14,4.39,9.0,-3.0
2015-03-15,5.94,9.0,1.0
2015-03-16,8.89,12.0,3.0
2015-03-17,8.06,13.0,3.0
2015-03-18,8.39,13.0,0.0
2015-03-19,7.44,14.0,-1.0
2015-03-20,6.22,13.0,-1.0
2015-03-21,8.78,15.0,-1.0
2015-03-22,6.61,9.0,2.0
2015-03-23,6.78,12.0,1.0
2015-03-24,9.67,16.0,0.0
2015-03-25,10.61,15.0,2.0
2015-03-26,9.28,11.0,6.0
2015-03-27,7.06,9.0,5.0
2015-03-28,7.5,11.0,2.0
2015-03-29,9.89,14.0,2.0
2015-03-30,8.39,12.0,5.0
2015-03-31,9.11,18.0,4.0
2015-04-01,4.06,7.0,1.0
2015-04-02,3.22,8.0,0.0
2015-04-03,4.72,10.0,0.0
2015-04-04,4.28,7.0,1.0
2015-04-05,3.56,7.0,0.0
2015-04-06,2.06,6.0,0.0
2015-04-07,4.83,8.0,-1.0
2015-04-08,7.5,12.0,2.0
2015-04-09,10.39,18.0,0.0
2015-04-10,12.78,21.0,2.0
2015-04-11,13.28,20.0,5.0
2015-04-12,13.78,19.0,7.0
2015-04-13,14.22,19.0,5.0
2015-04-14,12.83,17.0,7.0
2015-04-15,16.22,24.0,6.0
2015-04-16,17.5,25.0,6.0
2015-04-17,12.61,17.0,8.0
2015-04-18,7.28,10.0,4.0
2015-04-19,8.56,14.0,-1.0
2015-04-20,12.06,17.0,1.0
2015-04-21,14.39,20.0,4.0
2015-04-22,15.67,21.0,5.0
2015-04-23,10.44,17.0,6.0
2015-04-24,12.06,18.0,5.0
2015-04-25,16.0,22.0,4.0
2015-04-26,15.28,21.0,9.0
2015-04-27,17.44,23.0,10.0
2015-04-28,11.67,15.0,7.0
2015-04-29,10.83,15.0,4.0
2015-04-30,9.5,15.0,4.0
2015-05-01,11.78,15.0,6.0
2015-05-02,12.94,17.0,10.0
2015-05-03,14.06,17.0,10.0
2015-05-04,17.61,23.0,12.0
2015-05-05,21.56,26.0,12.0
2015-05-06,16.11,20.0,10.0
2015-05-07,16.0,21.0,9.0
2015-05-08,17.17,23.0,10.0
2015-05-09,15.44,20.0,12.0
2015-05-10,15.5,20.0,10.0
2015-05-11,16.67,23.0,8.0
2015-05-12,19.33,26.0,8.0
2015-05-13,18.5,26.0,12.0
2015-05-14,16.17,20.0,13.0
2015-05-15,12.94,15.0,11.0
2015-05-16,16.06,21.0,12.0
2015-05-17,16.11,20.0,10.0
2015-05-18,18.11,24.0,12.0
2015-05-19,16.33,21.0,11.0
2015-05-20,11.72,20.0,8.0
2015-05-21,10.11,12.0,7.0
2015-05-22,10.33,12.0,9.0
2015-05-23,9.67,11.0,8.0
2015-05-24,12.17,15.0,8.0
2015-05-25,14.78,19.0,9.0
2015-05-26,13.11,15.0,10.0
2015-05-27,11.17,14.0,8.0
2015-05-28,14.06,20.0,6.0
2015-05-29,18.33,24.0,7.0
2015-05-30,16.0,23.0,11.0
2015-05-31,17.89,23.0,12.0
2015-06-01,19.61,25.0,11.0
2015-06-02,21.5,27.0,15.0
2015-06-03,23.94,29.0,15.0
2015-06-04,23.89,29.0,16.0
2015-06-05,22.94,28.0,16.0
2015-06-06,24.17,31.0,15.0
2015-06-07,23.94,29.0,17.0
2015-06-08,22.17,27.0,16.0
2015-06-09,18.22,24.0,14.0
2015-06-10,19.83,25.0,13.0
2015-06-11,21.44,26.0,16.0
2015-06-12,24.89,30.0,16.0
2015-06-13,23.94,29.0,16.0
2015-06-14,20.67,27.0,15.0
2015-06-15,18.0,21.0,15.0
2015-06-16,16.0,17.0,14.0
2015-06-17,15.0,19.0,12.0
2015-06-18,17.11,20.0,10.0
2015-06-19,15.5,18.0,12.0
2015-06-20,12.39,15.0,9.0
2015-06-21,14.06,17.0,9.0
2015-06-22,17.39,23.0,11.0
2015-06-23,13.61,16.0,11.0
2015-06-24,14.78,19.0,10.0
2015-06-25,17.94,23.0,9.0
2015-06-26,20.83,25.0,11.0
2015-06-27,18.44,23.0,15.0
2015-06-28,19.0,24.0,14.0
2015-06-29,19.33,24.0,13.0
2015-06-30,22.17,28.0,13.0
2015-07-01,24.39,29.0,15.0
2015-07-02,25.61,30.0,17.0
2015-07-03,25.39,31.0,17.0
2015-07-04,26.22,32.0,18.0
2015-07-05,26.78,34.0,17.0
2015-07-06,26.22,32.0,18.0
2015-07-07,28.5,35.0,20.0
2015-07-08,21.33,28.0,16.0
2015-07-09,18.06,23.0,14.0
2015-07-10,19.06,24.0,11.0
