,temp,max_temp,min_temp
2015-01-01,1.34,5.0,0.0
2015-01-02,3.79,6.0,2.0
2015-01-03,2.6,5.0,1.0
2015-01-04,2.45,5.0,1.0
2015-01-05,1.53,4.0,-1.0
2015-01-06,0.61,4.0,-1.0
2015-01-07,2.4,5.0,0.0
2015-01-08,5.15,7.0,2.0
2015-01-09,7.28,9.0,5.0
2015-01-10,11.31,13.0,6.0
2015-01-11,3.61,5.8,2.0
2015-01-12,5.67,8.0,4.0
2015-01-13,8.0,11.0,5.0
2015-01-14,4.56,7.0,2.0
2015-01-15,6.11,9.0,2.0
2015-01-16,5.09,7.0,3.25
2015-01-17,2.6,5.0,0.0
2015-01-18,0.81,3.0,-1.0
2015-01-19,-0.13,2.0,-2.0
2015-01-20,-0.2,1.0,-1.0
2015-01-21,-0.6,0.9,-3.0
2015-01-22,-0.32,1.0,-1.4
2015-01-23,-0.78,0.0,-1.0
2015-01-24,-0.26,1.0,-2.0
2015-01-25,1.05,3.0,-1.0
2015-01-26,1.61,3.5,1.0
2015-01-27,2.39,4.0,1.0
2015-01-28,2.79,5.0,1.0
2015-01-29,1.66,3.0,0.0
2015-01-30,0.35,2.0,-1.0
2015-01-31,0.16,2.0,-1.0
2015-02-01,0.25,2.0,-2.0
2015-02-02,0.37,2.0,-1.0
2015-02-03,-1.37,1.0,-3.0
2015-02-04,-2.62,0.0,-5.0
2015-02-05,-1.99,0.0,-4.0
2015-02-06,-2.87,0.0,-5.0
2015-02-07,-0.86,3.0,-7.0
2015-02-08,1.01,3.0,-1.0
2015-02-09,2.95,5.0,0.0
2015-02-10,3.56,5.0,3.0
2015-02-11,2.16,4.7,-0.55
2015-02-12,0.02,2.0,-2.0
2015-02-13,0.05,3.0,-2.0
2015-02-14,1.13,7.0,-1.0
2015-02-15,0.87,4.0,-2.0
2015-02-16,0.73,3.1,-1.0
2015-02-17,0.51,3.0,-2.0
2015-02-18,1.73,5.0,0.0
2015-02-19,0.7,5.0,-2.0
2015-02-20,4.0,8.0,-1.0
2015-02-21,3.7,7.0,1.0
2015-02-22,2.03,6.0,0.0
2015-02-23,2.47,4.5,0.0
2015-02-24,3.65,6.0,1.0
2015-02-25,3.27,7.0,0.0
2015-02-26,3.98,9.0,1.0
2015-02-27,3.14,6.0,0.5
2015-02-28,2.97,7.0,-1.0
2015-03-01,5.55,8.0,2.0
2015-03-02,5.01,8.0,2.0
2015-03-03,4.06,7.7,1.0
2015-03-04,3.32,6.0,1.0
2015-03-05,3.67,7.0,1.0
2015-03-06,4.4,8.0,0.0
2015-03-07,6.28,11.0,1.0
2015-03-08,8.35,15.0,4.0
2015-03-09,7.35,12.0,3.5
2015-03-10,7.53,12.0,2.0
2015-03-11,4.81,9.0,0.1
2015-03-12,4.04,9.0,-1.4
2015-03-13,3.18,6.0,-1.0
2015-03-14,3.73,6.0,1.25
2015-03-15,4.57,7.0,3.0
2015-03-16,7.4,12.0,2.0
2015-03-17,9.73,16.0,3.0
2015-03-18,9.09,15.0,2.0
2015-03-19,7.11,13.0,2.0
2015-03-20,5.18,11.5,-1.0
2015-03-21,5.11,8.0,1.0
2015-03-22,3.15,5.5,0.0
2015-03-23,4.96,10.0,-1.0
2015-03-24,6.54,11.0,1.0
2015-03-25,9.02,14.5,3.0
2015-03-26,5.84,8.0,4.0
2015-03-27,6.16,8.0,4.0
2015-03-28,7.76,11.0,3.0
2015-03-29,9.47,11.0,7.0
2015-03-30,6.49,9.0,4.0
2015-03-31,8.05,11.0,3.0
2015-04-01,3.84,7.0,2.0
2015-04-02,3.92,7.0,1.0
2015-04-03,5.47,9.0,0.0
2015-04-04,4.36,8.0,0.9
2015-04-05,4.73,9.0,-1.0
2015-04-06,4.67,9.0,1.0
2015-04-07,6.6,11.0,-2.0
2015-04-08,8.37,13.0,3.0
2015-04-09,10.45,17.0,3.0
2015-04-10,13.2,20.0,4.0
2015-04-11,12.68,17.0,7.0
2015-04-12,11.78,15.9,5.0
2015-04-13,10.34,13.0,5.0
2015-04-14,12.69,18.0,3.0
2015-04-15,16.06,23.0,8.0
2015-04-16,12.74,17.0,7.0
2015-04-17,9.21,12.0,4.45
2015-04-18,7.83,12.0,2.0
2015-04-19,9.54,15.0,2.0
2015-04-20,12.3,18.0,2.0
2015-04-21,13.15,20.0,3.0
2015-04-22,9.96,15.0,4.45
2015-04-23,9.37,15.0,3.0
2015-04-24,12.55,19.0,3.0
2015-04-25,13.32,16.15,8.5
2015-04-26,13.16,18.0,10.0
2015-04-27,11.01,12.0,6.0
2015-04-28,7.26,12.0,3.0
2015-04-29,10.26,14.0,1.0
2015-04-30,9.6,14.0,6.0
2015-05-01,8.38,11.0,5.0
2015-05-02,10.22,14.0,4.0
2015-05-03,14.25,17.0,9.0
2015-05-04,16.44,20.0,13.0
2015-05-05,17.67,23.0,13.0
2015-05-06,13.46,17.15,9.0
2015-05-07,11.96,16.0,8.0
2015-05-08,14.37,19.0,7.0
2015-05-09,14.41,18.0,11.0
2015-05-10,13.03,17.0,8.0
2015-05-11,17.65,23.0,8.0
2015-05-12,18.14,25.0,10.0
2015-05-13,14.71,19.0,9.0
2015-05-14,12.43,16.0,8.0
2015-05-15,11.93,17.0,8.0
2015-05-16,12.31,15.5,5.35
2015-05-17,12.46,16.0,8.0
2015-05-18,14.88,21.0,6.95
2015-05-19,12.49,15.95,9.0
2015-05-20,10.35,14.0,6.0
2015-05-21,11.36,15.6,5.0
2015-05-22,13.97,18.9,6.0
2015-05-23,14.05,18.0,9.0
2015-05-24,14.31,19.0,9.0
2015-05-25,12.91,16.0,10.0
2015-05-26,11.19,14.0,8.7
2015-05-27,11.47,14.0,7.0
2015-05-28,14.04,19.0,7.0
2015-05-29,14.25,17.25,8.0
2015-05-30,11.7,15.0,8.0
2015-05-31,16.15,20.0,6.3
2015-06-01,14.39,17.0,10.0
2015-06-02,17.94,23.0,11.0
2015-06-03,18.56,20.0,13.0
2015-06-04,17.89,22.0,9.0
2015-06-05,23.31,30.0,13.0
2015-06-06,21.7,26.0,15.1
2015-06-07,18.12,22.0,13.0
2015-06-08,14.47,18.0,10.0
2015-06-09,13.28,16.0,10.0
2015-06-10,16.55,20.0,10.8
2015-06-11,18.69,23.0,12.0
2015-06-12,20.84,27.05,13.0
2015-06-13,19.88,25.0,15.0
