,temp,max_temp,min_temp
2015-01-01,6.11,14.0,0.5
2015-01-02,6.46,15.0,0.5
2015-01-03,7.83,15.0,2.0
2015-01-04,8.52,16.0,4.0
2015-01-05,6.82,15.0,3.0
2015-01-06,6.89,12.0,4.0
2015-01-07,6.08,14.0,2.0
2015-01-08,6.11,14.0,2.0
2015-01-09,6.88,16.0,2.0
2015-01-10,8.16,16.0,3.0
2015-01-11,8.63,16.0,5.0
2015-01-12,8.61,16.0,4.0
2015-01-13,9.56,16.0,6.0
2015-01-14,9.06,15.0,6.0
2015-01-15,9.73,15.0,5.0
2015-01-16,8.18,11.0,6.0
2015-01-17,6.29,11.0,2.0
2015-01-18,6.59,9.0,2.0
2015-01-19,6.44,9.0,4.0
2015-01-20,4.84,7.5,3.0
2015-01-21,5.86,9.0,2.0
2015-01-22,6.94,10.0,4.0
2015-01-23,6.92,12.0,3.0
2015-01-24,7.66,13.0,3.0
2015-01-25,8.64,15.0,4.0
2015-01-26,8.09,13.0,2.0
2015-01-27,8.91,14.0,4.0
2015-01-28,7.97,13.0,4.0
2015-01-29,10.34,14.0,6.0
2015-01-30,12.89,14.5,10.5
2015-01-31,8.82,12.0,5.0
2015-02-01,6.38,9.5,3.5
2015-02-02,6.77,11.0,3.0
2015-02-03,7.44,9.0,4.0
2015-02-04,4.14,7.0,1.0
2015-02-05,4.48,8.5,1.5
2015-02-06,3.6,7.0,0.0
2015-02-07,4.36,8.0,1.0
2015-02-08,5.24,11.0,1.0
2015-02-09,7.0,12.5,1.0
2015-02-10,7.83,14.0,1.0
2015-02-11,8.46,13.5,2.0
2015-02-12,8.48,13.0,5.0
2015-02-13,7.85,13.0,5.0
2015-02-14,10.44,13.0,8.0
2015-02-15,11.16,14.0,9.0
2015-02-16,10.35,13.0,6.0
2015-02-17,8.82,12.0,6.0
2015-02-18,9.09,14.0,4.5
2015-02-19,8.93,14.0,2.0
2015-02-20,8.63,13.0,3.0
2015-02-21,9.35,12.0,6.0
2015-02-22,10.07,15.0,5.0
2015-02-23,11.25,14.0,7.0
2015-02-24,9.27,12.0,6.0
2015-02-25,11.45,15.0,7.5
2015-02-26,12.33,14.0,8.0
2015-02-27,11.5,15.0,7.0
2015-02-28,11.62,16.0,5.0
2015-03-01,13.83,19.0,9.0
2015-03-02,13.89,18.0,10.0
2015-03-03,12.38,17.0,9.5
2015-03-04,10.48,14.0,7.0
2015-03-05,10.55,17.0,5.0
2015-03-06,10.95,17.0,3.0
2015-03-07,12.14,21.0,3.0
2015-03-08,12.29,18.0,4.0
