,temp,max_temp,min_temp
2015-01-01,3.7,8.0,-1.0
2015-01-02,5.85,11.0,-0.5
2015-01-03,7.97,13.0,1.0
2015-01-04,10.55,16.0,5.0
2015-01-05,6.4,11.0,2.0
2015-01-06,6.25,12.0,0.0
2015-01-07,6.45,9.5,2.0
2015-01-08,6.85,11.0,3.0
2015-01-09,7.54,12.0,4.0
2015-01-10,9.27,14.0,4.0
2015-01-11,9.83,15.0,5.0
2015-01-12,8.33,14.0,3.0
2015-01-13,6.8,13.0,1.0
2015-01-14,7.36,12.0,3.0
2015-01-15,7.65,14.0,2.5
2015-01-16,9.41,14.0,5.0
2015-01-17,10.54,14.0,7.0
2015-01-18,7.8,12.0,4.0
2015-01-19,6.58,11.0,2.0
2015-01-20,6.64,10.0,4.0
2015-01-21,6.93,9.0,5.0
2015-01-22,7.07,10.0,5.0
2015-01-23,7.76,12.0,6.0
2015-01-24,7.59,12.0,6.0
2015-01-25,6.49,11.0,4.0
2015-01-26,5.37,10.0,3.0
2015-01-27,4.39,9.0,0.0
2015-01-28,4.06,9.0,1.0
2015-01-29,5.34,9.0,0.0
2015-01-30,6.27,10.0,3.0
2015-01-31,5.81,10.0,2.0
2015-02-01,4.82,9.0,2.0
2015-02-02,3.94,10.0,1.0
2015-02-03,5.1,8.0,1.5
2015-02-04,6.79,9.0,4.0
2015-02-05,5.98,9.0,4.0
2015-02-06,5.24,8.0,4.0
2015-02-07,4.75,8.0,3.0
2015-02-08,4.63,9.0,0.0
2015-02-09,3.6,7.0,1.0
2015-02-10,6.94,12.0,1.0
2015-02-11,7.37,13.0,2.0
2015-02-12,7.12,11.0,2.0
2015-02-13,6.39,11.0,3.0
2015-02-14,6.52,10.5,4.0
2015-02-15,7.3,12.0,6.0
2015-02-16,8.55,13.0,6.0
2015-02-17,9.03,13.0,5.0
2015-02-18,7.25,11.0,4.0
2015-02-19,6.76,12.0,1.0
2015-02-20,6.74,12.0,0.0
2015-02-21,7.37,11.0,4.0
2015-02-22,8.09,12.0,7.0
2015-02-23,9.12,13.0,6.5
2015-02-24,8.48,11.0,7.0
2015-02-25,8.07,12.0,7.0
2015-02-26,8.71,13.0,7.0
2015-02-27,8.21,13.0,5.0
2015-02-28,8.21,13.0,4.0
2015-03-01,8.75,14.0,3.0
2015-03-02,10.34,14.0,7.0
2015-03-03,11.22,16.0,7.0
2015-03-04,10.18,14.0,6.0
2015-03-05,8.31,12.0,7.0
2015-03-06,8.36,13.0,6.0
2015-03-07,8.24,12.0,5.0
2015-03-08,8.89,13.0,5.0
2015-03-09,8.86,13.0,4.0
2015-03-10,9.47,14.0,3.0
2015-03-11,10.1,15.0,5.0
2015-03-12,9.09,14.0,6.0
2015-03-13,8.83,14.0,3.0
2015-03-14,8.66,14.0,4.0
2015-03-15,8.73,13.0,5.0
2015-03-16,9.09,11.0,8.0
2015-03-17,10.0,14.0,9.0
2015-03-18,10.7,15.0,6.0
2015-03-19,11.18,16.0,6.0
2015-03-20,10.63,15.0,7.0
2015-03-21,10.11,14.0,6.5
2015-03-22,9.11,13.0,8.0
2015-03-23,11.56,16.0,7.0
2015-03-24,11.82,15.5,8.5
2015-03-25,11.17,14.0,11.0
2015-03-26,12.41,16.0,11.0
2015-03-27,11.61,15.0,10.0
2015-03-28,12.11,17.0,8.0
2015-03-29,12.22,17.0,6.0
2015-03-30,13.74,18.0,9.0
2015-03-31,15.01,20.0,9.0
2015-04-01,13.84,19.0,9.0
2015-04-02,12.53,17.0,6.0
2015-04-03,11.73,16.0,8.0
2015-04-04,9.91,13.0,8.0
2015-04-05,8.98,12.0,7.0
2015-04-06,8.65,14.0,5.0
2015-04-07,8.52,13.0,4.0
2015-04-08,11.11,16.0,3.0
2015-04-09,12.73,17.0,5.0
2015-04-10,13.17,18.0,6.0
2015-04-11,12.92,18.0,7.0
2015-04-12,14.01,19.0,8.0
2015-04-13,15.95,20.0,8.0
2015-04-14,16.36,21.0,10.0
2015-04-15,16.57,21.0,10.0
2015-04-16,16.49,21.0,10.0
2015-04-17,14.66,19.0,12.0
2015-04-18,14.13,20.0,10.0
2015-04-19,12.28,16.0,10.0
2015-04-20,14.17,19.0,7.0
2015-04-21,16.24,21.0,8.5
2015-04-22,16.71,22.0,9.0
2015-04-23,16.25,21.0,10.0
2015-04-24,15.65,20.0,11.0
2015-04-25,14.8,19.0,11.0
2015-04-26,15.64,20.0,12.0
2015-04-27,14.29,18.0,12.0
2015-04-28,14.41,18.5,12.0
2015-04-29,14.37,19.0,11.0
2015-04-30,14.49,19.0,11.0
2015-05-01,14.83,19.0,11.0
2015-05-02,16.94,21.0,13.0
2015-05-03,17.58,21.5,14.0
2015-05-04,19.32,23.5,15.0
2015-05-05,20.65,25.0,15.0
2015-05-06,20.49,25.0,16.0
2015-05-07,20.17,25.0,15.0
2015-05-08,19.66,24.0,14.0
2015-05-09,19.19,25.0,15.0
2015-05-10,20.36,25.0,15.0
2015-05-11,21.0,25.0,14.0
2015-05-12,20.41,25.0,15.0
2015-05-13,20.49,25.5,14.0
2015-05-14,21.38,26.0,15.0
2015-05-15,18.71,22.0,16.0
2015-05-16,17.92,22.0,14.0
2015-05-17,20.42,26.0,15.0
2015-05-18,21.19,26.0,16.0
2015-05-19,20.24,26.0,15.0
2015-05-20,18.32,23.0,15.0
2015-05-21,15.23,20.0,13.0
2015-05-22,14.39,19.0,12.0
2015-05-23,14.38,18.0,12.0
2015-05-24,15.91,21.0,12.0
2015-05-25,17.85,23.0,13.0
2015-05-26,16.34,21.0,14.0
2015-05-27,17.05,22.0,14.0
2015-05-28,17.87,22.0,13.0
2015-05-29,18.99,23.0,13.0
