day,max_temp_f,maxT
2015-01-01,32.95,0.53
2015-01-02,33.0,0.56
2015-01-03,39.2,4.0
2015-01-04,53.0,11.67
2015-01-05,35.6,2.0
2015-01-06,18.0,-7.78
2015-01-07,17.0,-8.33
2015-01-08,18.0,-7.78
2015-01-09,24.0,-4.44
2015-01-10,18.0,-7.78
2015-01-11,32.9,0.5
2015-01-12,33.8,1.0
2015-01-13,18.5,-7.5
2015-01-14,24.0,-4.44
2015-01-15,29.0,-1.67
2015-01-16,30.6,-0.78
2015-01-17,28.4,-2.0
2015-01-18,41.0,5.0
2015-01-19,36.0,2.22
2015-01-20,26.3,-3.17
2015-01-21,27.0,-2.78
2015-01-22,29.0,-1.67
2015-01-23,32.0,0.0
2015-01-24,33.8,1.0
2015-01-25,34.0,1.11
2015-01-26,19.4,-7.0
2015-01-27,17.8,-7.89
2015-01-28,24.8,-4.0
2015-01-29,33.99,1.11
2015-01-30,30.0,-1.11
2015-01-31,21.2,-6.0
2015-02-01,27.0,-2.78
2015-02-02,18.5,-7.5
2015-02-03,23.0,-5.0
2015-02-04,33.0,0.56
2015-02-05,25.16,-3.8
2015-02-06,23.0,-5.0
2015-02-07,30.56,-0.8
2015-02-08,32.0,0.0
2015-02-09,22.5,-5.28
2015-02-10,23.0,-5.0
2015-02-11,30.2,-1.0
2015-02-12,30.2,-1.0
2015-02-13,12.2,-11.0
2015-02-14,23.0,-5.0
2015-02-15,10.0,-12.22
2015-02-16,8.6,-13.0
2015-02-17,19.0,-7.22
2015-02-18,24.0,-4.44
2015-02-19,16.0,-8.89
2015-02-20,10.4,-12.0
2015-02-21,23.0,-5.0
2015-02-22,32.0,0.0
2015-02-23,20.0,-6.67
2015-02-24,21.2,-6.0
2015-02-25,24.54,-4.14
2015-02-26,17.03,-8.32
2015-02-27,16.0,-8.89
2015-02-28,23.0,-5.0
2015-03-01,27.0,-2.78
2015-03-02,29.0,-1.67
2015-03-03,34.0,1.11
2015-03-04,38.0,3.33
2015-03-05,28.0,-2.22
2015-03-06,23.0,-5.0
2015-03-07,32.0,0.0
2015-03-08,38.0,3.33
2015-03-09,44.0,6.67
2015-03-10,48.2,9.0
2015-03-11,48.0,8.89
2015-03-12,39.0,3.89
2015-03-13,42.8,6.0
2015-03-14,43.5,6.39
2015-03-15,38.0,3.33
2015-03-16,48.0,8.89
2015-03-17,45.0,7.22
2015-03-18,33.0,0.56
2015-03-19,35.8,2.11
2015-03-20,35.0,1.67
2015-03-21,41.0,5.0
2015-03-22,28.2,-2.11
2015-03-23,26.0,-3.33
2015-03-24,38.5,3.61
2015-03-25,46.2,7.89
2015-03-26,43.0,6.11
2015-03-27,37.0,2.78
2015-03-28,28.0,-2.22
2015-03-29,41.0,5.0
2015-03-30,44.0,6.67
2015-03-31,42.0,5.56
2015-04-01,45.0,7.22
2015-04-02,63.0,17.22
2015-04-03,59.0,15.0
2015-04-04,43.0,6.11
2015-04-05,38.2,3.44
2015-04-06,59.0,15.0
2015-04-07,48.0,8.89
2015-04-08,44.0,6.67
2015-04-09,44.0,6.67
2015-04-10,55.4,13.0
2015-04-11,49.0,9.44
2015-04-12,64.4,18.0
2015-04-13,74.0,23.33
2015-04-14,62.6,17.0
2015-04-15,61.0,16.11
2015-04-16,67.0,19.44
2015-04-17,62.6,17.0
2015-04-18,72.0,22.22
2015-04-19,62.69,17.05
2015-04-20,58.0,14.44
2015-04-21,57.0,13.89
2015-04-22,53.0,11.67
2015-04-23,39.2,4.0
2015-04-24,42.0,5.56
2015-04-25,52.0,11.11
2015-04-26,54.0,12.22
2015-04-27,52.85,11.58
2015-04-28,64.0,17.78
2015-04-29,69.44,20.8
2015-04-30,66.0,18.89
2015-05-01,64.0,17.78
2015-05-02,70.88,21.6
2015-05-03,75.0,23.89
2015-05-04,81.0,27.22
2015-05-05,73.0,22.78
2015-05-06,71.0,21.67
2015-05-07,79.0,26.11
2015-05-08,86.0,30.0
2015-05-09,84.0,28.89
2015-05-10,82.4,28.0
2015-05-11,83.0,28.33
2015-05-12,75.0,23.89
2015-05-13,58.0,14.44
2015-05-14,66.0,18.89
2015-05-15,72.0,22.22
2015-05-16,74.0,23.33
2015-05-17,80.6,27.0
2015-05-18,78.08,25.6
2015-05-19,75.0,23.89
2015-05-20,57.2,14.0
2015-05-21,62.06,16.7
2015-05-22,62.0,16.67
2015-05-23,64.0,17.78
2015-05-24,77.0,25.0
2015-05-25,82.0,27.78
2015-05-26,82.4,28.0
2015-05-27,81.0,27.22
2015-05-28,75.0,23.89
2015-05-29,81.0,27.22
2015-05-30,83.84,28.8
2015-05-31,68.0,20.0
2015-06-01,55.0,12.78
2015-06-02,58.82,14.9
2015-06-03,70.0,21.11
2015-06-04,71.0,21.67
2015-06-05,75.0,23.89
2015-06-06,68.0,20.0
2015-06-07,75.2,24.0
2015-06-08,73.4,23.0
2015-06-09,72.0,22.22
2015-06-10,79.0,26.11
2015-06-11,79.0,26.11
2015-06-12,83.0,28.33
2015-06-13,78.0,25.56
2015-06-14,81.0,27.22
2015-06-15,77.0,25.0
2015-06-16,77.0,25.0
2015-06-17,75.0,23.89
2015-06-18,73.4,23.0
2015-06-19,72.0,22.22
2015-06-20,75.0,23.89
2015-06-21,81.0,27.22
2015-06-22,82.0,27.78
2015-06-23,83.3,28.5
2015-06-24,76.0,24.44
2015-06-25,78.0,25.56
2015-06-26,75.92,24.4
2015-06-27,68.0,20.0
2015-06-28,64.0,17.78
2015-06-29,73.4,23.0
2015-06-30,75.2,24.0
2015-07-01,74.0,23.33
2015-07-02,73.0,22.78
2015-07-03,76.0,24.44
2015-07-04,75.0,23.89
2015-07-05,80.0,26.67
2015-07-06,82.0,27.78
2015-07-07,85.0,29.44
2015-07-08,74.0,23.33
2015-07-09,72.0,22.22
2015-07-10,79.0,26.11
2015-07-11,83.0,28.33
2015-07-12,83.0,28.33
2015-07-13,85.0,29.44
2015-07-14,80.0,26.67
2015-07-15,71.0,21.67
2015-07-16,75.2,24.0
2015-07-17,77.0,25.0
2015-07-18,84.0,28.89
2015-07-19,88.88,31.6
2015-07-20,84.2,29.0
2015-07-21,80.0,26.67
2015-07-22,76.0,24.44
2015-07-23,78.0,25.56
2015-07-24,81.0,27.22
2015-07-25,81.0,27.22
2015-07-26,84.0,28.89
2015-07-27,85.0,29.44
2015-07-28,88.0,31.11
2015-07-29,90.43,32.46
2015-07-30,84.2,29.0
2015-07-31,84.0,28.89
2015-08-01,80.0,26.67
2015-08-02,84.0,28.89
2015-08-03,82.97,28.32
2015-08-04,79.5,26.39
2015-08-05,75.6,24.22
2015-08-06,77.0,25.0
2015-08-07,79.0,26.11
2015-08-08,78.0,25.56
2015-08-09,82.0,27.78
2015-08-10,81.0,27.22
2015-08-11,77.0,25.0
2015-08-12,75.6,24.22
2015-08-13,77.5,25.28
2015-08-14,83.42,28.57
2015-08-15,83.0,28.33
2015-08-16,86.45,30.25
2015-08-17,88.5,31.39
2015-08-18,87.4,30.78
2015-08-19,86.0,30.0
2015-08-20,85.0,29.44
2015-08-21,77.0,25.0
2015-08-22,77.0,25.0
2015-08-23,80.6,27.0
2015-08-24,80.6,27.0
2015-08-25,77.0,25.0
2015-08-26,72.5,22.5
2015-08-27,71.0,21.67
2015-08-28,75.0,23.89
2015-08-29,80.6,27.0
2015-08-30,81.0,27.22
2015-08-31,84.0,28.89
2015-09-01,83.84,28.8
2015-09-02,86.0,30.0
2015-09-03,86.0,30.0
2015-09-04,84.0,28.89
2015-09-05,84.0,28.89
2015-09-06,86.0,30.0
2015-09-07,89.6,32.0
2015-09-08,91.0,32.78
2015-09-09,87.0,30.56
2015-09-10,74.0,23.33
2015-09-11,78.0,25.56
2015-09-12,68.0,20.0
2015-09-13,68.0,20.0
2015-09-14,71.6,22.0
2015-09-15,80.0,26.67
2015-09-16,82.0,27.78
2015-09-17,83.0,28.33
2015-09-18,82.4,28.0
2015-09-19,80.0,26.67
2015-09-20,67.0,19.44
