,temp,max_temp,min_temp
2015-01-01,-2.27,0.25,-6.85
2015-01-02,-0.83,0.0,-5.0
2015-01-03,-1.1,4.0,-6.7
2015-01-04,5.84,11.7,0.6
2015-01-05,-4.99,1.1,-12.2
2015-01-06,-9.27,-7.8,-12.2
2015-01-07,-11.33,-8.3,-16.7
2015-01-08,-11.62,-7.8,-17.1
2015-01-09,-6.93,-4.7,-10.3
2015-01-10,-10.26,-7.9,-14.4
2015-01-11,-3.93,0.5,-11.7
2015-01-12,-0.11,1.0,-7.1
2015-01-13,-11.97,-7.9,-18.15
2015-01-14,-10.66,-4.4,-20.6
2015-01-15,-6.71,-1.7,-13.0
2015-01-16,-3.82,-1.0,-13.15
2015-01-17,-8.26,-2.0,-17.0
2015-01-18,1.52,4.7,-3.6
2015-01-19,0.53,2.2,-3.3
2015-01-20,-4.26,-3.15,-10.8
2015-01-21,-5.52,-2.8,-13.9
2015-01-22,-4.79,-1.7,-8.0
2015-01-23,-2.89,0.0,-7.8
2015-01-24,-1.15,1.0,-4.0
2015-01-25,-4.12,1.1,-10.6
2015-01-26,-8.47,-7.0,-11.7
2015-01-27,-9.25,-8.0,-12.9
2015-01-28,-9.92,-4.0,-16.1
2015-01-29,-2.58,0.85,-16.95
2015-01-30,-4.34,-1.1,-12.8
2015-01-31,-10.98,-6.0,-16.1
2015-02-01,-6.27,-2.8,-11.0
2015-02-02,-9.84,-7.4,-14.7
2015-02-03,-10.58,-5.0,-17.2
2015-02-04,-2.23,0.6,-8.9
2015-02-05,-7.71,-3.8,-16.1
2015-02-06,-10.27,-5.0,-18.0
2015-02-07,-3.79,-0.8,-8.1
2015-02-08,-4.39,0.0,-7.2
2015-02-09,-7.32,-5.8,-9.7
2015-02-10,-6.02,-5.0,-9.0
2015-02-11,-4.81,-1.1,-12.8
2015-02-12,-4.97,-1.0,-16.1
2015-02-13,-14.94,-11.0,-20.0
2015-02-14,-7.97,-5.5,-16.7
2015-02-15,-14.93,-12.2,-20.0
2015-02-16,-16.4,-13.3,-22.0
2015-02-17,-13.35,-7.8,-19.45
2015-02-18,-7.97,-4.7,-17.8
2015-02-19,-11.73,-8.9,-18.6
2015-02-20,-16.46,-12.0,-21.7
2015-02-21,-5.99,-5.0,-18.85
2015-02-22,-3.8,0.0,-7.9
2015-02-23,-12.94,-6.7,-20.0
2015-02-24,-10.11,-6.1,-22.2
2015-02-25,-6.72,-4.05,-14.0
2015-02-26,-10.69,-8.3,-13.9
2015-02-27,-11.39,-8.9,-18.3
2015-02-28,-11.43,-5.0,-19.2
2015-03-01,-4.61,-2.8,-16.1
2015-03-02,-4.02,-1.85,-8.3
2015-03-03,-4.38,1.0,-14.4
2015-03-04,1.19,3.3,-2.2
2015-03-05,-8.25,-2.5,-14.4
2015-03-06,-9.67,-5.0,-18.65
2015-03-07,-2.73,0.0,-11.05
2015-03-08,-0.25,3.3,-3.3
2015-03-09,1.4,6.1,-3.9
2015-03-10,4.42,8.9,-3.9
2015-03-11,5.06,8.3,2.0
2015-03-12,1.12,3.3,-4.0
2015-03-13,1.84,5.6,-6.7
2015-03-14,3.9,6.1,1.7
2015-03-15,2.02,3.3,-0.6
2015-03-16,3.17,8.3,-3.3
2015-03-17,3.12,6.1,-2.2
2015-03-18,-3.12,0.0,-5.6
2015-03-19,-3.25,1.85,-8.9
2015-03-20,-0.79,1.7,-5.0
2015-03-21,0.28,5.0,-2.8
2015-03-22,-4.09,-2.1,-8.15
2015-03-23,-6.21,-3.3,-10.0
2015-03-24,-3.15,3.6,-10.6
2015-03-25,3.21,7.8,-6.4
2015-03-26,3.81,5.6,1.0
2015-03-27,1.78,2.6,-3.0
2015-03-28,-3.96,-2.2,-8.0
2015-03-29,-0.29,5.0,-9.15
2015-03-30,2.67,6.1,0.5
2015-03-31,1.37,5.0,-2.8
2015-04-01,0.88,7.2,-4.4
2015-04-02,10.61,16.7,-2.2
2015-04-03,10.01,14.4,6.1
2015-04-04,4.06,6.1,0.0
2015-04-05,2.49,3.15,-1.85
2015-04-06,5.49,14.7,-0.85
2015-04-07,5.21,8.3,3.0
2015-04-08,3.55,6.7,1.7
2015-04-09,4.1,6.2,2.1
2015-04-10,7.89,12.8,3.9
2015-04-11,6.29,8.9,2.2
2015-04-12,9.52,17.8,0.8
2015-04-13,14.82,23.3,4.0
2015-04-14,11.19,16.7,5.6
2015-04-15,10.21,16.1,2.8
2015-04-16,12.13,19.2,1.7
2015-04-17,12.09,16.7,9.4
2015-04-18,12.56,21.7,5.8
2015-04-19,11.12,17.0,3.05
2015-04-20,10.89,14.3,6.7
2015-04-21,10.08,13.3,6.7
2015-04-22,7.52,10.6,2.2
2015-04-23,2.79,4.0,0.6
2015-04-24,2.47,5.0,0.6
2015-04-25,5.48,10.6,-2.2
2015-04-26,8.0,11.5,0.6
2015-04-27,8.31,11.05,5.6
2015-04-28,10.68,17.0,5.6
2015-04-29,12.55,20.8,6.7
2015-04-30,12.0,18.3,5.6
2015-05-01,11.48,17.2,6.7
2015-05-02,12.82,20.6,5.6
2015-05-03,15.73,23.0,7.2
2015-05-04,19.18,27.0,10.0
2015-05-05,16.87,21.7,13.0
2015-05-06,15.68,21.6,10.0
2015-05-07,16.56,26.1,8.8
2015-05-08,19.6,30.0,11.6
2015-05-09,19.98,28.3,14.4
2015-05-10,20.01,28.0,16.0
2015-05-11,19.69,27.2,16.7
2015-05-12,18.58,23.3,11.7
2015-05-13,11.37,14.4,6.1
2015-05-14,11.61,18.3,2.4
2015-05-15,15.81,21.7,7.0
2015-05-16,17.33,22.8,13.3
2015-05-17,18.69,26.1,15.6
2015-05-18,18.64,25.4,13.9
2015-05-19,17.08,23.9,11.1
2015-05-20,10.18,13.9,5.6
2015-05-21,11.71,16.1,6.7
2015-05-22,13.04,15.7,5.6
2015-05-23,11.18,17.2,1.0
2015-05-24,18.09,24.4,8.9
2015-05-25,21.1,27.8,14.4
2015-05-26,22.1,27.8,18.3
2015-05-27,21.4,26.7,17.8
2015-05-28,19.03,23.3,15.0
2015-05-29,20.16,26.7,12.2
2015-05-30,21.88,28.3,17.2
2015-05-31,13.77,20.0,10.0
2015-06-01,11.14,12.8,9.0
2015-06-02,10.93,14.6,8.9
2015-06-03,12.32,21.0,7.0
2015-06-04,16.43,21.1,10.0
2015-06-05,17.31,23.3,13.9
2015-06-06,16.14,19.4,9.4
2015-06-07,17.8,24.0,5.6
2015-06-08,19.09,22.8,16.7
2015-06-09,18.24,21.7,15.0
2015-06-10,20.72,26.0,13.3
2015-06-11,21.17,25.6,16.1
2015-06-12,20.73,28.0,15.6
2015-06-13,19.47,25.0,15.0
2015-06-14,21.24,26.8,15.4
2015-06-15,19.76,25.0,17.8
2015-06-16,20.27,24.4,16.7
2015-06-17,20.12,23.3,15.0
2015-06-18,19.76,22.8,15.6
2015-06-19,19.74,22.2,13.3
2015-06-20,18.72,23.3,11.1
2015-06-21,21.35,27.0,18.3
2015-06-22,22.33,27.2,16.7
2015-06-23,22.8,28.1,17.2
2015-06-24,19.6,24.4,14.4
2015-06-25,19.76,25.6,12.8
2015-06-26,18.71,23.9,14.0
2015-06-27,16.22,20.0,13.0
2015-06-28,15.29,17.8,12.8
2015-06-29,17.18,22.2,13.9
2015-06-30,19.0,23.9,15.0
2015-07-01,19.59,23.0,16.7
