,temp,max_temp
2015-01-01,1.1,3.9
2015-01-02,1.55,5.2
2015-01-03,4.25,7.2
2015-01-04,4.1,7.5
2015-01-05,3.5,5.6
2015-01-06,1.65,5.7
2015-01-07,-0.5,3.4
2015-01-08,0.55,3.9
2015-01-09,6.05,10.5
2015-01-10,12.45,17.8
2015-01-11,5.75,11.4
2015-01-12,4.85,9.5
2015-01-13,2.1,8.9
2015-01-14,4.75,8.7
2015-01-15,4.15,7.3
2015-01-16,6.05,11.2
2015-01-17,6.9,11.4
2015-01-18,4.7,7.1
2015-01-19,3.2,6.3
2015-01-20,2.4,5.4
2015-01-21,2.85,5.9
2015-01-22,4.85,8.2
2015-01-23,4.7,6.3
2015-01-24,4.05,6.0
2015-01-25,3.35,5.4
2015-01-26,2.05,5.9
2015-01-27,2.2,5.2
2015-01-28,2.2,6.8
2015-01-29,2.65,5.0
2015-01-30,2.45,4.7
2015-01-31,0.15,5.8
2015-02-01,0.35,3.4
2015-02-02,0.9,4.5
2015-02-03,0.2,4.1
2015-02-04,-0.65,2.7
2015-02-05,0.35,2.5
2015-02-06,0.65,3.0
2015-02-07,-0.35,3.7
2015-02-08,0.1,4.0
2015-02-09,1.25,4.5
2015-02-10,4.35,8.3
2015-02-11,3.0,7.6
2015-02-12,3.45,7.0
2015-02-13,2.85,7.1
2015-02-14,3.8,8.0
2015-02-15,3.7,9.1
2015-02-16,3.7,9.7
2015-02-17,3.75,9.2
2015-02-18,3.2,6.2
2015-02-19,2.95,8.6
2015-02-20,3.55,10.8
2015-02-21,6.05,11.8
2015-02-22,4.9,7.2
2015-02-23,6.3,10.4
2015-02-24,5.9,7.5
2015-02-25,5.75,8.6
2015-02-26,5.8,10.3
2015-02-27,5.65,10.8
2015-02-28,6.25,9.6
2015-03-01,6.1,9.8
2015-03-02,6.55,11.4
2015-03-03,5.8,11.7
2015-03-04,6.2,10.0
2015-03-05,5.1,7.7
2015-03-06,5.2,9.1
