,temp,max_temp
2015-01-01,3.22,11.3
2015-01-02,4.02,12.11
2015-01-03,4.91,13.42
2015-01-04,6.55,15.29
2015-01-05,10.09,19.12
2015-01-06,10.88,21.73
2015-01-07,10.73,21.83
2015-01-08,11.04,18.94
2015-01-09,11.23,17.45
2015-01-10,11.02,16.61
2015-01-11,10.52,14.93
2015-01-12,10.0,16.04
2015-01-13,9.86,16.91
2015-01-14,8.92,16.82
2015-01-15,9.7,16.91
2015-01-16,10.38,16.82
2015-01-17,11.18,18.14
2015-01-18,11.2,18.07
2015-01-19,10.55,17.59
2015-01-20,9.71,15.1
2015-01-21,9.74,16.82
2015-01-22,9.88,17.04
2015-01-23,10.0,18.67
2015-01-24,12.12,20.04
2015-01-25,12.24,20.9
2015-01-26,11.82,19.17
2015-01-27,12.14,17.91
2015-01-28,12.0,18.84
2015-01-29,12.26,19.23
2015-01-30,11.63,17.6
2015-01-31,11.22,19.6
2015-02-01,11.02,20.0
2015-02-02,11.76,20.41
2015-02-03,11.64,20.48
2015-02-04,11.87,20.44
2015-02-05,13.13,20.43
2015-02-06,14.28,20.51
2015-02-07,14.75,19.25
2015-02-08,15.15,20.58
2015-02-09,13.96,19.62
2015-02-10,11.83,19.78
2015-02-11,13.96,22.26
2015-02-12,14.39,24.08
2015-02-13,14.51,24.49
2015-02-14,14.16,24.49
2015-02-15,13.29,23.13
2015-02-16,12.67,21.5
2015-02-17,12.5,19.36
2015-02-18,12.32,20.03
2015-02-19,12.36,19.68
2015-02-20,12.38,19.53
2015-02-21,12.12,18.1
2015-02-22,11.32,15.93
2015-02-23,9.72,15.44
2015-02-24,10.07,18.58
2015-02-25,11.09,19.49
2015-02-26,12.13,19.5
2015-02-27,11.91,17.17
2015-02-28,10.11,14.68
2015-03-01,9.21,14.7
2015-03-02,9.05,14.29
2015-03-03,9.47,16.33
2015-03-04,10.18,18.68
2015-03-05,11.78,21.14
2015-03-06,13.59,23.72
2015-03-07,14.05,24.55
2015-03-08,13.53,22.69
2015-03-09,13.21,22.43
2015-03-10,15.06,22.89
2015-03-11,15.4,20.16
2015-03-12,16.17,24.32
2015-03-13,18.72,26.67
2015-03-14,19.6,28.44
2015-03-15,18.92,26.8
2015-03-16,17.54,24.83
2015-03-17,16.1,23.01
2015-03-18,14.95,21.99
2015-03-19,14.88,23.48
2015-03-20,15.34,23.37
2015-03-21,15.41,23.02
2015-03-22,14.94,20.87
2015-03-23,13.88,19.56
2015-03-24,14.97,20.75
2015-03-25,16.37,24.61
2015-03-26,18.48,28.33
2015-03-27,18.16,27.11
2015-03-28,16.85,26.29
2015-03-29,16.94,26.48
2015-03-30,16.81,25.6
2015-03-31,15.49,22.15
2015-04-01,13.88,20.92
2015-04-02,13.9,20.99
2015-04-03,15.28,23.99
2015-04-04,14.79,22.73
2015-04-05,12.38,18.0
2015-04-06,11.77,16.93
2015-04-07,10.74,15.48
2015-04-08,11.1,17.34
2015-04-09,12.89,20.56
2015-04-10,13.86,21.12
2015-04-11,14.87,21.93
2015-04-12,15.79,24.4
2015-04-13,15.71,23.54
2015-04-14,13.91,20.34
2015-04-15,15.21,22.64
2015-04-16,16.98,25.06
2015-04-17,17.2,25.96
2015-04-18,16.97,25.65
2015-04-19,16.79,25.11
2015-04-20,15.81,23.32
2015-04-21,14.85,20.1
2015-04-22,14.7,20.58
2015-04-23,14.62,20.65
2015-04-24,13.88,18.72
2015-04-25,13.24,17.8
2015-04-26,15.34,21.98
2015-04-27,18.79,27.41
2015-04-28,19.06,27.46
2015-04-29,19.35,27.78
2015-04-30,20.85,29.83
2015-05-01,20.19,28.72
2015-05-02,18.51,26.3
2015-05-03,16.68,23.74
2015-05-04,15.48,22.32
2015-05-05,15.15,21.52
2015-05-06,14.69,20.9
2015-05-07,13.16,18.17
2015-05-08,13.12,18.03
2015-05-09,14.85,20.92
2015-05-10,16.48,23.55
2015-05-11,16.47,22.98
2015-05-12,14.73,20.79
2015-05-13,14.38,19.79
2015-05-14,12.9,18.09
2015-05-15,12.97,18.1
2015-05-16,14.81,20.44
2015-05-17,15.05,20.76
2015-05-18,14.89,20.39
2015-05-19,15.46,21.4
2015-05-20,15.6,21.59
2015-05-21,15.11,20.17
2015-05-22,15.01,20.08
2015-05-23,15.72,21.18
2015-05-24,16.64,22.95
2015-05-25,16.85,23.36
2015-05-26,17.02,23.41
2015-05-27,17.49,24.58
2015-05-28,18.48,26.13
2015-05-29,19.28,27.23
2015-05-30,19.68,28.16
2015-05-31,18.81,26.0
2015-06-01,18.54,25.13
2015-06-02,18.55,25.35
2015-06-03,17.89,24.36
2015-06-04,17.51,23.51
2015-06-05,18.45,25.21
2015-06-06,19.38,26.2
2015-06-07,21.48,29.39
2015-06-08,24.33,33.21
2015-06-09,22.36,29.5
2015-06-10,20.47,25.44
2015-06-11,20.93,28.11
2015-06-12,22.22,29.66
2015-06-13,21.73,29.02
2015-06-14,21.12,28.75
2015-06-15,20.91,28.84
2015-06-16,21.94,29.56
2015-06-17,22.93,30.57
2015-06-18,22.26,30.39
2015-06-19,22.36,30.93
2015-06-20,22.76,31.54
2015-06-21,21.59,28.71
2015-06-22,21.51,29.26
2015-06-23,22.39,30.47
2015-06-24,23.02,30.94
2015-06-25,24.06,32.39
2015-06-26,24.04,32.18
2015-06-27,23.38,30.05
2015-06-28,23.61,30.64
2015-06-29,24.06,31.79
2015-06-30,25.85,34.34
2015-07-01,24.97,31.6
2015-07-02,24.56,31.33
2015-07-03,23.4,30.94
2015-07-04,22.97,30.46
2015-07-05,21.85,29.01
2015-07-06,21.71,28.58
2015-07-07,21.44,28.29
2015-07-08,19.82,26.26
2015-07-09,18.82,24.03
2015-07-10,19.58,25.12
2015-07-11,20.75,27.2
2015-07-12,21.62,28.47
2015-07-13,22.38,29.63
2015-07-14,21.58,28.64
2015-07-15,21.91,29.51
2015-07-16,22.57,30.32
2015-07-17,22.97,31.01
2015-07-18,21.6,28.77
2015-07-19,23.7,31.1
2015-07-20,24.3,30.38
2015-07-21,22.72,29.42
2015-07-22,21.71,28.16
2015-07-23,21.28,27.97
2015-07-24,22.18,29.81
2015-07-25,22.75,30.42
2015-07-26,22.12,29.43
2015-07-27,22.56,30.14
2015-07-28,24.29,32.57
2015-07-29,24.85,33.14
2015-07-30,24.69,32.21
2015-07-31,24.13,31.53
2015-08-01,23.67,31.07
2015-08-02,23.25,30.44
2015-08-03,22.79,30.25
2015-08-04,22.74,29.28
2015-08-05,23.43,31.13
2015-08-06,23.12,29.57
2015-08-07,21.82,28.71
2015-08-08,21.15,28.44
2015-08-09,21.8,29.67
2015-08-10,21.66,28.89
2015-08-11,21.63,28.99
2015-08-12,23.29,30.95
2015-08-13,24.53,32.11
2015-08-14,24.64,32.19
2015-08-15,26.29,35.43
2015-08-16,26.78,36.28
2015-08-17,25.02,33.57
2015-08-18,23.49,31.66
2015-08-19,22.6,30.31
2015-08-20,22.13,29.45
2015-08-21,21.69,29.19
2015-08-22,21.92,29.95
2015-08-23,21.92,30.34
2015-08-24,23.05,30.92
2015-08-25,23.83,30.9
2015-08-26,24.59,32.87
2015-08-27,26.05,34.59
2015-08-28,26.52,35.46
2015-08-29,24.67,31.49
2015-08-30,22.56,29.69
2015-08-31,22.02,29.85
2015-09-01,21.7,29.09
2015-09-02,20.99,27.65
2015-09-03,19.89,26.4
2015-09-04,18.97,25.73
2015-09-05,19.64,27.41
2015-09-06,21.89,30.51
2015-09-07,23.87,32.92
2015-09-08,25.44,34.91
2015-09-09,26.55,35.63
2015-09-10,26.32,35.09
2015-09-11,25.4,34.24
2015-09-12,24.51,31.26
2015-09-13,23.51,30.88
2015-09-14,21.11,26.02
2015-09-15,19.23,24.0
2015-09-16,18.18,22.96
2015-09-17,18.74,25.58
2015-09-18,20.43,29.1
2015-09-19,22.69,32.03
2015-09-20,24.97,35.04
2015-09-21,23.71,32.2
2015-09-22,21.52,28.41
2015-09-23,20.98,29.83
2015-09-24,22.92,32.65
2015-09-25,23.41,32.05
2015-09-26,23.28,31.62
2015-09-27,22.1,30.49
2015-09-28,20.92,29.2
2015-09-29,20.56,27.94
2015-09-30,20.39,26.81
2015-10-01,19.4,25.78
2015-10-02,19.69,27.33
2015-10-03,19.05,26.39
2015-10-04,17.7,22.98
2015-10-05,17.46,23.36
2015-10-06,18.33,25.09
2015-10-07,19.7,27.26
2015-10-08,21.64,30.71
2015-10-09,23.1,32.99
2015-10-10,22.9,31.77
2015-10-11,22.0,31.37
2015-10-12,22.98,32.22
2015-10-13,23.46,32.08
2015-10-14,22.48,30.07
2015-10-15,20.8,26.99
2015-10-16,19.86,25.65
2015-10-17,19.24,23.96
2015-10-18,17.96,23.26
2015-10-19,16.91,22.26
2015-10-20,17.72,24.97
2015-10-21,17.65,26.02
2015-10-22,17.17,25.26
2015-10-23,17.28,25.79
2015-10-24,18.15,27.58
2015-10-25,17.46,25.51
2015-10-26,16.67,26.96
2015-10-27,18.01,24.46
2015-10-28,17.77,23.5
2015-10-29,16.95,23.85
2015-10-30,17.53,26.13
2015-10-31,16.51,27.9
2015-11-01,17.34,24.65
2015-11-02,14.03,19.31
2015-11-03,11.8,17.08
2015-11-04,10.85,16.87
2015-11-05,10.48,17.75
2015-11-06,11.7,20.16
2015-11-07,11.86,21.45
2015-11-08,12.42,19.03
2015-11-09,11.29,15.7
2015-11-10,9.68,15.23
2015-11-11,8.91,17.82
2015-11-12,9.93,19.22
2015-11-13,10.84,21.36
2015-11-14,11.18,20.9
2015-11-15,11.0,16.29
2015-11-16,9.44,14.18
2015-11-17,10.22,18.1
2015-11-18,11.52,20.02
2015-11-19,12.8,22.07
2015-11-20,14.2,23.31
2015-11-21,14.04,23.71
2015-11-22,12.91,23.32
2015-11-23,12.42,20.79
2015-11-24,11.43,16.77
2015-11-25,8.04,12.48
2015-11-26,6.84,12.46
2015-11-27,6.71,12.92
2015-11-28,6.09,13.37
2015-11-29,5.57,14.22
2015-11-30,6.86,13.69
2015-12-01,8.01,16.4
2015-12-02,10.28,18.31
2015-12-03,11.1,18.45
2015-12-04,8.88,15.85
2015-12-05,9.6,17.27
2015-12-06,11.29,19.0
2015-12-07,12.22,19.55
2015-12-08,12.64,19.91
2015-12-09,12.89,19.45
2015-12-10,12.56,17.22
2015-12-11,10.03,13.42
2015-12-12,8.77,14.04
2015-12-13,9.75,14.59
2015-12-14,6.89,11.4
2015-12-15,5.28,11.85
2015-12-16,5.49,12.25
2015-12-17,7.15,13.84
2015-12-18,8.11,15.52
2015-12-19,8.79,13.42
2015-12-20,7.75,11.54
2015-12-21,10.71,13.57
2015-12-22,12.79,15.62
2015-12-23,9.89,13.93
2015-12-24,7.79,12.12
2015-12-25,5.64,10.57
2015-12-26,5.08,11.35
2015-12-27,4.62,10.37
2015-12-28,5.28,9.99
2015-12-29,4.51,11.43
2015-12-30,5.06,11.93
2015-12-31,4.67,12.16
2016-01-01,4.7,11.56
2016-01-02,7.07,12.72
2016-01-03,8.85,13.9
2016-01-04,10.19,14.2
2016-01-05,10.1,12.03
2016-01-06,8.49,11.29
2016-01-07,7.59,11.31
2016-01-08,6.83,11.81
2016-01-09,8.9,12.09
2016-01-10,8.99,13.08
2016-01-11,8.6,14.44
2016-01-12,8.39,15.67
2016-01-13,9.88,15.35
2016-01-14,8.72,13.36
2016-01-15,9.97,14.31
2016-01-16,10.71,15.58
2016-01-17,11.18,16.3
2016-01-18,11.61,15.73
2016-01-19,11.93,15.54
2016-01-20,11.09,16.33
2016-01-21,11.51,18.1
2016-01-22,11.56,16.47
2016-01-23,10.78,14.86
2016-01-24,9.13,14.53
2016-01-25,9.94,16.23
2016-01-26,9.79,17.25
2016-01-27,9.69,18.02
