,temp,max_temp
2015-01-01,6.11,13.89
2015-01-02,6.46,14.75
2015-01-03,7.83,15.55
2015-01-04,8.52,15.55
2015-01-05,6.82,12.68
2015-01-06,6.89,11.81
2015-01-07,6.08,12.3
2015-01-08,6.11,11.51
2015-01-09,6.88,14.19
2015-01-10,8.16,14.74
2015-01-11,8.63,14.61
2015-01-12,8.61,14.13
2015-01-13,9.56,14.32
2015-01-14,9.06,13.28
2015-01-15,9.73,13.33
2015-01-16,8.18,11.0
2015-01-17,6.29,10.59
2015-01-18,6.59,8.5
2015-01-19,6.44,8.94
2015-01-20,4.84,7.65
2015-01-21,5.86,8.48
2015-01-22,6.94,10.22
2015-01-23,6.92,11.23
2015-01-24,7.66,12.79
2015-01-25,8.64,13.96
2015-01-26,8.09,12.75
2015-01-27,8.91,13.72
2015-01-28,7.97,12.19
2015-01-29,10.34,13.62
2015-01-30,12.89,15.08
2015-01-31,8.82,11.61
2015-02-01,6.38,9.7
2015-02-02,6.77,9.26
2015-02-03,7.44,9.47
2015-02-04,4.14,6.34
2015-02-05,4.48,8.03
2015-02-06,3.6,6.97
2015-02-07,4.36,7.38
2015-02-08,5.24,9.9
2015-02-09,7.0,11.7
2015-02-10,7.83,12.76
2015-02-11,8.46,13.11
2015-02-12,8.48,12.26
2015-02-13,7.85,12.0
2015-02-14,10.44,13.06
2015-02-15,11.16,13.87
2015-02-16,10.35,13.4
2015-02-17,8.82,11.77
2015-02-18,9.09,13.32
2015-02-19,8.93,14.25
2015-02-20,8.63,12.61
2015-02-21,9.35,12.71
2015-02-22,10.07,14.11
2015-02-23,11.25,14.5
2015-02-24,9.27,12.35
2015-02-25,11.45,14.63
2015-02-26,12.33,15.9
2015-02-27,11.5,14.9
2015-02-28,11.62,15.72
2015-03-01,13.83,18.23
2015-03-02,13.89,18.19
2015-03-03,12.38,16.31
2015-03-04,10.48,14.75
2015-03-05,10.55,15.55
2015-03-06,10.95,17.38
2015-03-07,12.14,20.21
2015-03-08,12.29,19.03
2015-03-09,12.38,19.18
2015-03-10,12.5,19.36
2015-03-11,13.36,19.79
2015-03-12,13.05,19.21
2015-03-13,11.42,15.3
2015-03-14,9.28,13.24
2015-03-15,8.64,12.17
2015-03-16,9.88,14.38
2015-03-17,11.75,15.4
2015-03-18,10.66,12.84
2015-03-19,11.62,14.42
2015-03-20,10.94,13.24
2015-03-21,10.82,13.06
2015-03-22,10.78,13.22
2015-03-23,9.43,11.64
2015-03-24,10.23,12.72
2015-03-25,9.31,12.44
2015-03-26,11.84,15.07
2015-03-27,14.82,18.77
2015-03-28,15.91,21.21
2015-03-29,16.14,21.86
2015-03-30,16.95,22.93
2015-03-31,17.04,22.46
2015-04-01,15.09,20.14
2015-04-02,14.96,20.96
2015-04-03,14.86,20.21
2015-04-04,13.95,18.72
2015-04-05,14.21,19.0
2015-04-06,13.98,18.69
2015-04-07,13.8,18.17
2015-04-08,13.75,18.09
2015-04-09,12.27,15.94
2015-04-10,13.39,17.33
2015-04-11,13.61,17.06
2015-04-12,15.65,20.35
2015-04-13,18.19,23.38
2015-04-14,19.26,24.14
2015-04-15,16.13,19.45
2015-04-16,14.7,18.16
2015-04-17,14.9,19.38
2015-04-18,14.7,19.07
2015-04-19,14.05,18.27
2015-04-20,15.64,20.5
2015-04-21,17.34,22.61
2015-04-22,15.44,19.56
2015-04-23,16.45,21.43
2015-04-24,16.53,20.59
2015-04-25,16.92,20.32
2015-04-26,14.75,17.89
2015-04-27,14.65,18.16
2015-04-28,15.23,19.5
2015-04-29,15.86,19.96
2015-04-30,18.0,22.0
2015-05-01,19.21,23.71
2015-05-02,20.9,25.31
2015-05-03,20.14,25.31
2015-05-04,20.45,24.82
2015-05-05,17.25,21.89
2015-05-06,17.23,22.39
2015-05-07,19.46,25.86
2015-05-08,19.5,23.83
2015-05-09,20.14,25.32
2015-05-10,21.79,27.93
2015-05-11,21.25,27.18
2015-05-12,22.18,28.04
2015-05-13,22.83,29.31
2015-05-14,22.65,28.26
2015-05-15,17.53,22.0
2015-05-16,19.18,24.14
2015-05-17,20.27,25.21
2015-05-18,20.22,25.55
2015-05-19,16.86,20.25
2015-05-20,15.57,19.45
2015-05-21,16.55,21.0
2015-05-22,16.98,21.29
2015-05-23,17.86,22.34
2015-05-24,18.57,22.21
2015-05-25,18.98,23.36
2015-05-26,19.18,24.04
2015-05-27,20.3,25.25
2015-05-28,21.47,26.41
2015-05-29,20.22,24.5
2015-05-30,20.23,24.42
2015-05-31,21.31,25.52
2015-06-01,21.09,25.46
2015-06-02,22.31,27.21
2015-06-03,24.09,28.76
2015-06-04,24.87,30.03
2015-06-05,23.29,28.45
2015-06-06,23.12,27.67
2015-06-07,24.36,29.14
2015-06-08,24.23,29.03
2015-06-09,21.73,27.23
2015-06-10,19.7,23.11
2015-06-11,19.08,22.39
2015-06-12,19.52,23.03
2015-06-13,18.73,22.0
2015-06-14,18.66,22.16
2015-06-15,18.15,22.0
2015-06-16,19.5,24.14
2015-06-17,21.43,26.18
2015-06-18,22.84,27.71
2015-06-19,22.69,27.31
2015-06-20,24.16,29.14
2015-06-21,25.0,29.97
2015-06-22,24.03,28.42
2015-06-23,23.19,27.0
2015-06-24,22.64,26.72
2015-06-25,24.53,29.2
2015-06-26,25.67,30.66
2015-06-27,26.52,31.75
2015-06-28,26.81,31.66
2015-06-29,27.83,33.38
2015-06-30,27.12,32.48
2015-07-01,25.17,30.03
2015-07-02,25.07,29.3
2015-07-03,26.9,32.1
2015-07-04,26.98,31.86
2015-07-05,26.14,31.28
2015-07-06,28.5,34.17
2015-07-07,27.95,33.34
2015-07-08,25.43,30.14
2015-07-09,25.45,31.07
2015-07-10,25.62,31.24
2015-07-11,25.14,29.61
2015-07-12,25.79,30.39
2015-07-13,26.27,31.39
2015-07-14,26.84,32.32
2015-07-15,27.52,33.14
2015-07-16,27.55,32.75
2015-07-17,27.27,32.73
2015-07-18,26.19,30.62
2015-07-19,26.82,31.54
2015-07-20,28.29,32.48
2015-07-21,27.09,31.86
2015-07-22,26.73,31.13
2015-07-23,27.2,31.6
2015-07-24,25.9,31.03
2015-07-25,25.07,29.07
2015-07-26,26.78,31.77
2015-07-27,25.91,30.52
2015-07-28,26.64,31.32
2015-07-29,25.83,30.37
2015-07-30,24.02,27.69
2015-07-31,22.58,26.79
2015-08-01,23.98,28.14
2015-08-02,26.77,32.0
2015-08-03,26.29,31.34
2015-08-04,24.95,29.68
2015-08-05,26.26,31.59
2015-08-06,27.32,31.7
2015-08-07,26.43,30.5
2015-08-08,24.19,28.55
2015-08-09,25.35,29.8
2015-08-10,25.52,30.74
2015-08-11,25.75,30.64
2015-08-12,25.84,30.17
2015-08-13,24.38,28.72
2015-08-14,22.2,25.93
2015-08-15,21.76,25.76
2015-08-16,22.91,27.14
2015-08-17,23.42,27.27
2015-08-18,22.07,26.34
2015-08-19,23.64,28.5
2015-08-20,25.54,31.11
2015-08-21,25.61,30.38
2015-08-22,23.63,27.74
2015-08-23,23.12,27.1
2015-08-24,22.43,26.31
2015-08-25,23.43,28.32
2015-08-26,24.8,29.5
2015-08-27,25.59,30.57
2015-08-28,25.86,30.9
2015-08-29,26.69,32.14
2015-08-30,26.03,31.22
2015-08-31,23.43,28.15
