,temp,max_temp
2015-01-01,16.83,21.17
2015-01-02,19.41,23.68
2015-01-03,22.03,26.97
2015-01-04,21.78,26.69
2015-01-05,16.65,20.71
2015-01-06,14.75,23.25
2015-01-07,13.08,19.78
2015-01-08,8.37,12.67
2015-01-09,10.43,15.46
2015-01-10,12.48,17.87
2015-01-11,18.33,22.44
2015-01-12,18.99,23.32
2015-01-13,18.1,22.22
2015-01-14,15.18,18.55
2015-01-15,12.63,15.79
2015-01-16,11.68,18.0
2015-01-17,13.95,21.2
2015-01-18,13.92,21.52
2015-01-19,11.57,20.76
2015-01-20,15.1,21.55
2015-01-21,16.42,24.04
2015-01-22,17.95,24.08
2015-01-23,19.93,23.2
2015-01-24,15.97,20.55
2015-01-25,12.24,17.88
2015-01-26,14.03,18.43
2015-01-27,12.53,19.75
2015-01-28,9.88,16.11
2015-01-29,13.37,20.48
2015-01-30,14.21,20.73
2015-01-31,13.31,19.94
2015-02-01,17.73,22.88
2015-02-02,17.53,22.69
2015-02-03,12.19,17.13
2015-02-04,15.94,19.02
2015-02-05,15.19,19.66
2015-02-06,11.76,18.53
2015-02-07,13.18,20.72
2015-02-08,15.13,23.17
2015-02-09,16.23,22.05
2015-02-10,13.78,18.06
2015-02-11,11.43,18.7
2015-02-12,12.82,20.19
2015-02-13,9.23,15.21
2015-02-14,11.23,17.59
2015-02-15,13.47,20.67
2015-02-16,17.96,22.55
2015-02-17,15.6,22.66
2015-02-18,10.95,15.65
2015-02-19,5.96,10.59
2015-02-20,7.67,13.2
2015-02-21,16.04,21.72
2015-02-22,18.97,25.61
2015-02-23,18.62,24.86
2015-02-24,15.98,20.24
2015-02-25,16.02,21.25
2015-02-26,16.02,20.75
2015-02-27,12.85,16.55
2015-02-28,16.24,18.96
2015-03-01,18.1,23.26
2015-03-02,19.06,25.62
2015-03-03,19.94,26.58
2015-03-04,21.31,27.5
2015-03-05,21.74,27.6
2015-03-06,15.31,20.7
2015-03-07,14.61,21.1
2015-03-08,17.94,24.01
2015-03-09,20.54,25.97
2015-03-10,22.37,28.34
2015-03-11,23.03,28.46
2015-03-12,22.6,27.85
2015-03-13,22.56,27.02
2015-03-14,22.5,28.13
2015-03-15,21.29,27.76
2015-03-16,21.13,28.22
2015-03-17,22.1,29.15
2015-03-18,21.44,27.73
2015-03-19,21.77,27.3
2015-03-20,21.07,28.31
2015-03-21,22.06,28.4
2015-03-22,21.87,27.53
2015-03-23,21.08,25.61
2015-03-24,19.35,24.07
2015-03-25,19.88,26.41
2015-03-26,21.79,27.31
2015-03-27,20.22,25.59
2015-03-28,14.54,19.54
2015-03-29,14.5,20.63
2015-03-30,18.73,24.7
2015-03-31,20.69,26.67
2015-04-01,21.18,27.54
2015-04-02,21.16,27.22
2015-04-03,21.77,28.05
2015-04-04,22.22,28.0
2015-04-05,21.81,26.83
2015-04-06,22.53,27.86
2015-04-07,23.07,28.97
2015-04-08,23.41,29.23
2015-04-09,23.51,29.19
2015-04-10,24.25,29.54
2015-04-11,23.51,29.1
2015-04-12,23.43,28.55
2015-04-13,23.65,28.15
2015-04-14,24.2,29.47
2015-04-15,24.19,29.16
2015-04-16,23.35,27.88
2015-04-17,23.17,27.17
2015-04-18,24.36,29.52
2015-04-19,24.06,29.93
2015-04-20,22.73,27.96
2015-04-21,22.56,28.0
2015-04-22,23.06,28.64
2015-04-23,23.72,28.93
2015-04-24,23.91,28.85
2015-04-25,25.4,29.9
2015-04-26,26.34,31.5
2015-04-27,24.28,28.05
2015-04-28,22.08,26.25
2015-04-29,22.39,27.44
2015-04-30,21.22,26.04
2015-05-01,21.12,27.24
2015-05-02,21.04,26.39
2015-05-03,21.98,27.31
2015-05-04,22.31,27.54
2015-05-05,22.72,27.14
2015-05-06,22.83,28.22
2015-05-07,23.22,29.55
2015-05-08,23.79,30.4
2015-05-09,25.2,31.25
2015-05-10,25.72,31.9
2015-05-11,25.57,31.63
2015-05-12,25.1,31.6
2015-05-13,25.39,31.68
2015-05-14,25.7,31.34
2015-05-15,25.06,29.9
2015-05-16,25.26,30.05
2015-05-17,25.57,30.74
2015-05-18,25.58,30.72
2015-05-19,25.67,31.41
2015-05-20,25.97,32.15
2015-05-21,26.89,32.6
2015-05-22,25.4,31.26
2015-05-23,26.06,31.42
2015-05-24,26.45,31.25
2015-05-25,26.58,31.66
2015-05-26,25.94,31.42
2015-05-27,25.86,30.75
2015-05-28,25.17,30.24
2015-05-29,25.54,30.45
2015-05-30,25.91,30.95
2015-05-31,25.44,31.35
2015-06-01,24.92,30.67
2015-06-02,23.46,28.13
2015-06-03,24.91,29.77
2015-06-04,26.14,31.04
2015-06-05,25.31,31.13
2015-06-06,25.68,30.92
2015-06-07,26.04,31.41
2015-06-08,26.39,31.52
2015-06-09,25.69,31.35
2015-06-10,24.21,30.3
2015-06-11,25.45,30.6
2015-06-12,26.61,32.27
2015-06-13,27.27,32.49
2015-06-14,27.42,32.81
2015-06-15,27.29,33.1
2015-06-16,27.83,33.45
2015-06-17,29.58,33.77
2015-06-18,28.01,33.83
2015-06-19,27.97,33.74
2015-06-20,28.27,33.82
2015-06-21,28.68,34.1
2015-06-22,28.31,34.3
2015-06-23,26.63,33.55
2015-06-24,27.09,32.78
2015-06-25,26.29,32.5
2015-06-26,27.14,32.19
2015-06-27,27.79,32.76
2015-06-28,27.46,32.08
2015-06-29,26.16,31.52
2015-06-30,27.33,32.84
2015-07-01,27.76,32.9
2015-07-02,26.43,32.01
2015-07-03,27.53,33.13
2015-07-04,26.51,32.38
2015-07-05,25.09,31.71
2015-07-06,25.87,31.92
2015-07-07,26.31,31.93
2015-07-08,26.8,32.62
2015-07-09,27.57,32.75
2015-07-10,28.11,33.33
2015-07-11,27.93,34.02
2015-07-12,27.21,33.78
2015-07-13,27.96,33.83
2015-07-14,27.93,32.93
2015-07-15,27.49,32.55
2015-07-16,26.86,31.85
2015-07-17,26.45,32.12
2015-07-18,27.03,32.43
2015-07-19,27.33,32.9
2015-07-20,27.47,32.67
2015-07-21,27.61,33.04
2015-07-22,27.78,33.26
2015-07-23,28.07,33.31
2015-07-24,26.48,32.0
2015-07-25,25.93,31.09
2015-07-26,26.34,31.39
2015-07-27,27.25,31.71
2015-07-28,27.81,32.54
2015-07-29,27.1,33.17
2015-07-30,26.65,32.83
2015-07-31,26.52,32.12
2015-08-01,25.97,31.09
2015-08-02,26.26,31.05
2015-08-03,26.25,30.92
2015-08-04,27.47,32.4
2015-08-05,27.7,32.38
2015-08-06,28.07,32.73
2015-08-07,27.73,32.73
2015-08-08,26.86,32.18
2015-08-09,27.1,32.72
2015-08-10,27.28,32.89
2015-08-11,27.72,33.2
2015-08-12,28.11,33.51
2015-08-13,26.65,32.29
2015-08-14,26.49,32.09
2015-08-15,25.87,31.65
2015-08-16,26.07,31.39
2015-08-17,26.34,31.85
2015-08-18,27.45,32.62
2015-08-19,27.55,32.78
2015-08-20,27.49,32.81
2015-08-21,28.03,33.19
2015-08-22,28.19,33.74
2015-08-23,28.4,33.8
2015-08-24,28.31,33.06
2015-08-25,28.36,33.6
2015-08-26,26.05,32.64
2015-08-27,25.41,30.72
2015-08-28,26.06,31.93
2015-08-29,25.74,31.35
2015-08-30,25.49,30.41
2015-08-31,26.72,31.75
2015-09-01,27.58,32.39
2015-09-02,27.9,33.15
2015-09-03,27.69,32.86
2015-09-04,26.68,32.6
2015-09-05,25.93,32.16
2015-09-06,25.87,31.5
2015-09-07,25.43,30.44
2015-09-08,26.62,31.67
2015-09-09,27.83,32.28
2015-09-10,27.77,32.2
2015-09-11,27.41,31.95
2015-09-12,25.3,29.74
2015-09-13,24.28,29.06
2015-09-14,24.95,30.61
2015-09-15,25.51,30.57
2015-09-16,24.81,29.16
2015-09-17,24.25,28.77
2015-09-18,24.96,30.07
2015-09-19,25.88,31.25
2015-09-20,26.15,32.21
2015-09-21,25.71,31.37
2015-09-22,25.19,30.86
2015-09-23,25.21,30.09
2015-09-24,24.87,29.34
2015-09-25,24.59,29.99
2015-09-26,25.61,30.66
2015-09-27,25.44,28.93
2015-09-28,25.39,28.9
2015-09-29,25.31,29.53
2015-09-30,26.37,31.46
2015-10-01,25.75,30.04
2015-10-02,24.41,27.84
2015-10-03,22.43,26.21
2015-10-04,20.92,24.9
2015-10-05,21.98,26.68
2015-10-06,22.28,27.53
2015-10-07,23.02,28.99
2015-10-08,24.33,29.77
2015-10-09,25.15,30.33
2015-10-10,24.16,30.17
2015-10-11,22.46,27.75
2015-10-12,21.44,27.95
2015-10-13,23.76,29.31
2015-10-14,23.4,30.42
2015-10-15,22.7,29.99
2015-10-16,22.34,29.13
2015-10-17,21.93,28.35
2015-10-18,20.93,26.19
2015-10-19,20.69,25.96
2015-10-20,22.02,27.55
2015-10-21,22.92,28.18
2015-10-22,23.09,29.17
2015-10-23,22.97,29.03
2015-10-24,23.41,28.93
2015-10-25,24.03,28.63
2015-10-26,24.0,27.52
2015-10-27,23.8,26.26
2015-10-28,23.96,28.36
2015-10-29,22.52,28.92
2015-10-30,21.39,28.02
2015-10-31,23.78,28.83
2015-11-01,25.14,29.7
2015-11-02,25.29,30.36
2015-11-03,24.67,30.1
2015-11-04,25.26,30.24
2015-11-05,25.24,30.02
2015-11-06,24.62,30.0
2015-11-07,24.31,29.81
2015-11-08,23.8,27.75
2015-11-09,23.25,27.08
2015-11-10,21.86,26.52
2015-11-11,20.65,26.93
2015-11-12,21.48,29.23
2015-11-13,20.37,26.67
2015-11-14,18.56,23.9
2015-11-15,20.24,24.81
2015-11-16,21.79,27.28
2015-11-17,23.66,28.08
2015-11-18,24.39,28.5
2015-11-19,23.53,26.98
2015-11-20,21.62,26.73
2015-11-21,21.81,25.82
2015-11-22,19.23,22.86
2015-11-23,13.09,19.14
2015-11-24,16.7,21.52
2015-11-25,19.93,24.96
2015-11-26,20.51,25.94
2015-11-27,20.23,26.12
2015-11-28,19.43,25.86
2015-11-29,19.02,25.76
2015-11-30,20.1,26.16
2015-12-01,21.28,26.73
2015-12-02,21.86,26.96
2015-12-03,18.19,20.81
2015-12-04,17.84,21.94
2015-12-05,19.34,23.76
2015-12-06,19.1,24.39
2015-12-07,16.73,22.45
2015-12-08,16.05,22.68
2015-12-09,17.9,24.33
2015-12-10,17.96,24.78
2015-12-11,17.99,25.95
2015-12-12,19.95,26.67
2015-12-13,21.82,26.8
2015-12-14,22.09,26.74
2015-12-15,20.35,25.79
2015-12-16,21.88,27.04
2015-12-17,23.1,27.5
2015-12-18,19.26,22.82
2015-12-19,12.35,18.29
2015-12-20,17.09,22.16
2015-12-21,21.78,25.78
2015-12-22,22.27,26.13
2015-12-23,23.46,26.76
2015-12-24,23.65,27.78
2015-12-25,23.13,28.01
2015-12-26,22.8,27.93
2015-12-27,23.47,27.7
2015-12-28,23.7,28.04
2015-12-29,23.13,27.43
2015-12-30,22.91,28.0
2015-12-31,22.19,26.68
2016-01-01,19.77,24.48
2016-01-02,16.28,19.11
2016-01-03,13.64,16.26
2016-01-04,12.14,17.91
2016-01-05,13.0,17.34
2016-01-06,14.11,18.71
2016-01-07,15.01,20.07
2016-01-08,17.46,21.44
2016-01-09,18.06,22.24
2016-01-10,17.44,21.1
2016-01-11,9.14,15.02
2016-01-12,9.87,17.83
2016-01-13,10.67,16.48
2016-01-14,14.84,18.76
2016-01-15,17.96,22.47
2016-01-16,16.09,23.23
2016-01-17,15.75,19.86
2016-01-18,9.79,15.47
2016-01-19,7.66,13.66
2016-01-20,10.87,18.48
2016-01-21,15.65,20.8
2016-01-22,16.94,20.85
2016-01-23,8.72,12.66
2016-01-24,5.78,12.93
2016-01-25,12.42,19.3
2016-01-26,17.93,23.06
2016-01-27,17.93,20.82
2016-01-28,16.02,18.09
2016-01-29,13.22,18.78
2016-01-30,12.94,20.87
2016-01-31,16.95,21.44
2016-02-01,19.05,25.44
2016-02-02,20.45,26.22
2016-02-03,21.87,26.67
2016-02-04,19.02,23.43
2016-02-05,11.45,16.48
