,temp,max_temp
2015-01-01,1.54,5.98
2015-01-02,4.87,9.05
2015-01-03,8.31,12.66
2015-01-04,8.12,11.25
2015-01-05,3.4,7.67
2015-01-06,2.98,7.49
2015-01-07,4.47,8.91
2015-01-08,7.92,11.54
2015-01-09,10.63,13.67
2015-01-10,11.69,14.41
2015-01-11,7.8,10.75
2015-01-12,6.16,11.47
2015-01-13,9.26,13.25
2015-01-14,8.12,11.52
2015-01-15,9.29,12.31
2015-01-16,6.86,9.76
2015-01-17,4.1,7.31
2015-01-18,2.92,6.71
2015-01-19,3.0,5.33
2015-01-20,1.78,4.54
2015-01-21,2.43,5.2
2015-01-22,2.29,5.16
2015-01-23,1.7,4.59
2015-01-24,2.74,6.42
2015-01-25,2.95,6.76
2015-01-26,4.96,7.62
2015-01-27,5.3,7.78
2015-01-28,6.07,9.23
2015-01-29,6.37,8.29
2015-01-30,4.25,7.32
2015-01-31,3.41,6.52
2015-02-01,3.14,5.52
2015-02-02,2.22,5.68
2015-02-03,0.66,3.7
2015-02-04,0.95,3.79
2015-02-05,0.8,3.3
2015-02-06,0.4,2.48
2015-02-07,1.29,5.24
2015-02-08,3.3,6.89
2015-02-09,2.65,7.82
2015-02-10,2.74,8.03
2015-02-11,2.9,10.36
2015-02-12,3.87,10.77
2015-02-13,7.62,12.22
2015-02-14,7.13,9.73
2015-02-15,5.57,9.12
2015-02-16,5.2,8.73
2015-02-17,5.63,8.49
2015-02-18,3.88,8.44
2015-02-19,4.4,10.15
2015-02-20,7.52,11.38
2015-02-21,5.14,8.06
2015-02-22,4.67,8.69
2015-02-23,6.88,11.12
2015-02-24,5.51,9.35
2015-02-25,7.15,10.16
2015-02-26,8.6,11.23
2015-02-27,6.1,9.22
2015-02-28,6.78,10.36
2015-03-01,9.98,12.29
2015-03-02,9.91,12.77
2015-03-03,7.86,12.22
2015-03-04,5.85,9.62
2015-03-05,5.04,10.68
2015-03-06,5.8,13.38
2015-03-07,7.18,16.07
2015-03-08,8.09,16.43
2015-03-09,8.27,14.27
2015-03-10,9.46,14.38
2015-03-11,9.86,15.63
2015-03-12,8.65,15.18
2015-03-13,7.74,11.79
2015-03-14,6.3,10.0
2015-03-15,6.01,9.2
2015-03-16,6.97,12.43
2015-03-17,9.55,15.96
2015-03-18,10.49,16.33
2015-03-19,8.81,13.27
2015-03-20,8.27,12.38
2015-03-21,7.89,11.56
2015-03-22,7.02,9.86
2015-03-23,7.86,14.18
2015-03-24,7.94,11.98
2015-03-25,5.81,10.01
2015-03-26,7.93,11.43
2015-03-27,8.94,13.01
2015-03-28,11.06,14.68
2015-03-29,11.75,13.87
2015-03-30,12.12,14.64
2015-03-31,12.34,15.14
2015-04-01,8.98,12.36
2015-04-02,9.57,13.08
2015-04-03,9.85,13.26
2015-04-04,9.33,12.12
2015-04-05,7.19,12.08
2015-04-06,8.56,14.03
2015-04-07,9.21,15.82
2015-04-08,10.63,18.2
2015-04-09,12.52,20.59
2015-04-10,13.15,19.84
2015-04-11,11.8,16.17
