,temp,max_temp
2015-01-01,10.1,12.29
2015-01-02,6.61,10.11
2015-01-03,4.45,6.93
2015-01-04,2.81,5.34
2015-01-05,7.99,9.27
2015-01-06,6.74,9.01
2015-01-07,8.02,10.36
2015-01-08,7.03,9.29
2015-01-09,9.46,13.03
2015-01-10,6.52,12.14
2015-01-11,6.46,8.14
2015-01-12,8.04,10.27
2015-01-13,4.63,7.0
2015-01-14,4.33,8.12
2015-01-15,6.31,9.03
2015-01-16,3.32,5.6
2015-01-17,2.47,4.89
2015-01-18,2.16,4.21
2015-01-19,0.9,3.09
2015-01-20,1.83,3.53
2015-01-21,2.63,3.85
2015-01-22,1.92,4.29
2015-01-23,4.05,7.31
2015-01-24,4.36,6.83
2015-01-25,7.32,9.02
2015-01-26,6.92,8.66
2015-01-27,6.67,8.28
2015-01-28,4.87,8.78
2015-01-29,2.2,4.34
2015-01-30,2.96,5.48
2015-01-31,3.19,4.82
2015-02-01,2.76,4.25
2015-02-02,0.72,3.25
2015-02-03,1.27,4.06
2015-02-04,2.38,4.73
2015-02-05,3.31,5.57
2015-02-06,2.54,5.38
2015-02-07,3.74,6.07
2015-02-08,3.96,7.65
2015-02-09,4.8,8.41
2015-02-10,4.19,5.96
2015-02-11,4.22,5.29
2015-02-12,4.27,5.82
2015-02-13,6.36,7.91
2015-02-14,6.33,8.13
2015-02-15,6.07,8.37
2015-02-16,5.57,7.48
2015-02-17,5.29,8.39
2015-02-18,7.68,10.41
2015-02-19,6.87,8.46
2015-02-20,4.4,6.66
2015-02-21,3.09,6.38
2015-02-22,4.24,7.94
2015-02-23,4.56,6.76
2015-02-24,5.34,7.7
2015-02-25,8.03,10.22
2015-02-26,7.57,10.18
2015-02-27,5.4,7.89
2015-02-28,8.21,9.95
2015-03-01,6.55,9.03
2015-03-02,3.69,6.52
2015-03-03,4.25,7.09
2015-03-04,5.69,9.04
2015-03-05,7.73,10.06
2015-03-06,8.23,11.26
2015-03-07,9.74,13.75
2015-03-08,8.02,11.04
2015-03-09,7.26,10.3
2015-03-10,6.46,10.26
2015-03-11,7.35,10.28
2015-03-12,8.34,11.65
2015-03-13,6.18,9.38
2015-03-14,4.84,7.26
2015-03-15,5.49,7.58
2015-03-16,5.73,7.57
2015-03-17,6.1,9.29
2015-03-18,5.93,9.76
2015-03-19,6.61,8.96
2015-03-20,7.62,11.35
2015-03-21,6.52,8.78
2015-03-22,6.23,9.54
2015-03-23,7.35,10.16
2015-03-24,5.09,8.65
2015-03-25,5.25,9.06
2015-03-26,6.99,10.37
2015-03-27,7.08,10.51
2015-03-28,9.67,12.88
2015-03-29,8.13,10.7
2015-03-30,7.16,10.71
2015-03-31,7.49,9.71
2015-04-01,6.59,9.18
2015-04-02,6.95,9.97
2015-04-03,7.94,10.58
2015-04-04,8.09,10.75
2015-04-05,8.35,12.94
2015-04-06,8.93,14.59
2015-04-07,9.82,14.7
2015-04-08,10.29,14.94
2015-04-09,10.44,16.12
2015-04-10,12.13,17.24
2015-04-11,9.03,11.32
2015-04-12,8.11,12.96
2015-04-13,9.98,13.42
2015-04-14,11.81,16.36
2015-04-15,11.41,15.98
2015-04-16,9.82,13.97
2015-04-17,9.38,13.14
2015-04-18,8.69,13.28
2015-04-19,7.94,11.28
2015-04-20,9.69,14.8
2015-04-21,11.15,16.14
2015-04-22,10.67,15.58
2015-04-23,10.06,15.42
2015-04-24,11.35,14.85
2015-04-25,9.93,13.72
2015-04-26,7.05,10.64
2015-04-27,6.57,10.44
2015-04-28,7.4,10.9
2015-04-29,7.69,11.18
2015-04-30,8.47,11.78
2015-05-01,7.48,10.55
2015-05-02,8.4,10.86
2015-05-03,11.21,15.1
2015-05-04,11.77,15.24
2015-05-05,11.32,13.41
2015-05-06,9.83,11.99
2015-05-07,9.59,12.65
2015-05-08,10.44,13.57
2015-05-09,10.87,13.78
2015-05-10,12.86,15.91
2015-05-11,13.91,17.54
2015-05-12,11.36,14.65
2015-05-13,11.02,14.66
2015-05-14,9.2,11.16
2015-05-15,11.22,13.8
2015-05-16,11.71,14.25
2015-05-17,10.87,13.69
2015-05-18,9.38,12.38
2015-05-19,8.94,12.15
2015-05-20,10.7,13.9
2015-05-21,12.56,15.86
2015-05-22,13.69,16.75
2015-05-23,12.86,16.06
2015-05-24,12.56,15.62
2015-05-25,11.8,14.3
2015-05-26,12.27,15.51
2015-05-27,11.6,15.0
2015-05-28,11.12,14.15
2015-05-29,9.62,12.66
2015-05-30,11.43,14.54
2015-05-31,11.11,13.42
2015-06-01,10.32,13.17
2015-06-02,12.67,15.87
2015-06-03,12.83,16.04
2015-06-04,14.69,18.2
2015-06-05,14.63,19.39
2015-06-06,12.63,15.81
2015-06-07,12.9,16.44
2015-06-08,12.04,15.55
2015-06-09,12.08,14.92
2015-06-10,13.01,16.86
2015-06-11,15.59,19.9
2015-06-12,15.27,19.45
2015-06-13,12.98,15.05
2015-06-14,12.18,14.87
2015-06-15,13.15,16.33
2015-06-16,15.66,19.2
2015-06-17,16.03,19.2
2015-06-18,13.73,16.54
2015-06-19,13.61,16.33
2015-06-20,14.87,18.19
2015-06-21,13.84,16.71
2015-06-22,12.35,15.73
2015-06-23,13.53,16.91
2015-06-24,15.62,18.85
2015-06-25,16.65,20.08
2015-06-26,16.34,20.27
2015-06-27,17.13,20.59
2015-06-28,15.8,19.67
2015-06-29,17.24,20.83
2015-06-30,21.21,25.68
2015-07-01,23.32,27.59
2015-07-02,17.98,22.07
2015-07-03,18.09,23.01
2015-07-04,17.96,22.44
2015-07-05,15.4,19.73
2015-07-06,16.15,19.01
2015-07-07,16.08,19.48
2015-07-08,14.28,17.17
2015-07-09,14.52,18.16
2015-07-10,17.7,22.35
2015-07-11,17.4,20.76
2015-07-12,16.19,19.09
2015-07-13,15.95,18.07
2015-07-14,15.67,18.8
2015-07-15,15.57,18.8
2015-07-16,16.79,20.65
2015-07-17,16.68,20.05
2015-07-18,15.98,19.38
2015-07-19,15.4,19.2
2015-07-20,16.74,20.22
2015-07-21,17.13,20.32
2015-07-22,15.37,18.44
2015-07-23,15.09,18.09
2015-07-24,13.44,15.86
2015-07-25,14.06,17.67
2015-07-26,13.21,16.06
2015-07-27,14.38,16.7
2015-07-28,13.54,16.28
2015-07-29,13.36,16.64
2015-07-30,13.25,16.52
2015-07-31,14.72,18.43
2015-08-01,14.83,18.4
2015-08-02,16.98,20.87
2015-08-03,17.84,21.02
2015-08-04,16.0,18.96
2015-08-05,16.01,19.14
2015-08-06,16.42,20.09
2015-08-07,15.98,19.74
2015-08-08,17.3,21.59
2015-08-09,17.63,21.57
2015-08-10,17.32,20.63
2015-08-11,15.3,18.59
2015-08-12,16.6,20.52
2015-08-13,16.7,19.39
2015-08-14,15.33,17.21
