,temp,max_temp,min_temp
2015-01-01,10.1,12.0,7.0
2015-01-02,6.61,11.0,3.0
2015-01-03,4.45,6.0,1.0
2015-01-04,2.81,5.0,-1.0
2015-01-05,7.99,9.0,4.0
2015-01-06,6.73,9.0,3.0
2015-01-07,8.05,10.0,2.5
2015-01-08,7.02,10.0,5.0
2015-01-09,9.44,14.0,7.0
2015-01-10,6.52,13.0,3.0
2015-01-11,6.45,8.0,3.0
2015-01-12,8.03,11.0,5.0
2015-01-13,4.61,7.0,2.0
2015-01-14,4.32,8.0,1.0
2015-01-15,6.3,9.0,4.0
2015-01-16,3.31,6.0,0.0
2015-01-17,2.46,5.0,-1.0
2015-01-18,2.15,4.0,-1.0
2015-01-19,0.9,3.0,-2.0
2015-01-20,1.83,3.0,-2.0
2015-01-21,2.64,4.0,1.0
2015-01-22,1.92,4.0,-1.0
2015-01-23,4.08,7.0,-1.0
2015-01-24,4.36,7.0,2.0
2015-01-25,7.32,9.0,2.0
2015-01-26,6.9,9.0,4.0
2015-01-27,6.66,8.0,4.0
2015-01-28,4.84,9.0,2.0
2015-01-29,2.19,4.0,0.0
2015-01-30,2.95,6.0,0.0
2015-01-31,3.19,5.0,1.0
2015-02-01,2.76,4.0,-1.0
2015-02-02,0.72,3.0,-2.0
2015-02-03,1.27,4.0,-1.0
2015-02-04,2.38,5.0,0.0
2015-02-05,3.31,6.0,0.5
2015-02-06,2.54,5.0,-1.0
2015-02-07,3.74,6.0,1.0
2015-02-08,3.96,8.0,0.0
2015-02-09,4.8,9.0,1.0
2015-02-10,4.19,6.0,1.0
2015-02-11,4.22,5.0,3.0
2015-02-12,4.27,6.0,2.0
2015-02-13,6.36,8.0,3.0
2015-02-14,6.33,8.0,4.0
2015-02-15,6.07,8.0,3.5
2015-02-16,5.57,7.05,3.0
2015-02-17,5.29,8.0,1.0
2015-02-18,7.68,10.0,4.0
2015-02-19,6.87,8.0,4.0
2015-02-20,4.4,7.0,2.0
2015-02-21,3.09,6.35,0.0
2015-02-22,4.24,8.0,0.0
