"","country","date","dif","school","workplace","events","transport","movement","travel","index"
"1","AT",2020-03-01,0.533554895835805,"0","0","0","0","0","0",11.11
"2","AT",2020-03-02,2.00464945975246,"0","0","0","0","0","0",11.11
"3","AT",2020-03-03,1.81787931819591,"0","0","0","0","0","0",11.11
"4","AT",2020-03-04,0.674338017208239,"0","0","0","0","0","0",11.11
"5","AT",2020-03-05,2.10260591304609,"0","0","0","0","0","0",11.11
"6","AT",2020-03-06,3.02613686368296,"0","0","0","0","0","0",11.11
"7","AT",2020-03-07,0.144942245435567,"0","0","0","0","0","0",11.11
"8","AT",2020-03-08,-1.32663536723935,"0","0","0","0","0","0",11.11
"9","AT",2020-03-09,3.3615829792706,"0","0","0","0","0","0",19.44
"10","AT",2020-03-10,3.05160260402946,"0","0","0","0","0","0",19.44
"11","AT",2020-03-11,3.79166208276867,"0","0","1","0","0","0",30.56
"12","AT",2020-03-12,1.45400347926588,"0","0","1","0","0","0",34.26
"13","AT",2020-03-13,0.34478567115049,"0","0","1","0","0","0",48.15
"14","AT",2020-03-14,-3.15190734215881,"0","0","1","0","0","0",48.15
"15","AT",2020-03-15,-5.06554067112746,"0","0","1","0","0","0",48.15
"16","AT",2020-03-16,-5.2723090961301,"1","1","1","0","0","0",85.19
"17","AT",2020-03-17,-6.12093628573321,"1","1","1","0","0","0",85.19
"18","AT",2020-03-18,-9.87503069831509,"1","1","1","0","0","0",85.19
"19","AT",2020-03-19,-10.8915675060031,"1","1","1","0","0","0",85.19
"20","AT",2020-03-20,-12.4167933139211,"1","1","1","0","0","0",85.19
"21","AT",2020-03-21,-6.6239456483094,"1","1","1","0","0","0",85.19
"22","AT",2020-03-22,-9.2537203532942,"1","1","1","0","0","0",85.19
"23","AT",2020-03-23,-11.0489639800775,"1","1","1","0","0","0",85.19
"24","AT",2020-03-24,-9.65675068338202,"1","1","1","0","0","0",85.19
"25","AT",2020-03-25,-10.2785468861902,"1","1","1","0","0","0",85.19
"26","AT",2020-03-26,-5.93454568890066,"1","1","1","0","0","0",85.19
"27","AT",2020-03-27,-7.52810291726089,"1","1","1","0","0","0",85.19
"28","AT",2020-03-28,-6.38008551801411,"1","1","1","0","0","0",85.19
"29","AT",2020-03-29,-6.27552774553469,"1","1","1","0","0","0",85.19
"30","AT",2020-03-30,-8.35912824636427,"1","1","1","0","0","0",85.19
"31","AT",2020-03-31,-8.62409456553075,"1","1","1","0","0","0",85.19
"32","AT",2020-04-01,-9.59462299293236,"1","1","1","0","0","0",85.19
"33","AT",2020-04-02,-8.18420195146058,"1","1","1","0","0","0",85.19
"34","AT",2020-04-03,-7.78571790755238,"1","1","1","0","0","0",85.19
"35","AT",2020-04-04,-6.50050655148625,"1","1","1","0","0","0",85.19
"36","AT",2020-04-05,-2.28089000234533,"1","1","1","0","0","0",85.19
"37","AT",2020-04-06,-8.91436845874366,"1","1","1","0","0","0",85.19
"38","AT",2020-04-07,-11.2470665803393,"1","1","1","0","0","0",85.19
"39","AT",2020-04-08,-12.563965267277,"1","1","1","0","0","0",85.19
"40","AT",2020-04-09,-12.6070533771657,"1","1","1","0","0","0",85.19
"41","AT",2020-04-10,-3.55270041899895,"1","1","1","0","0","0",85.19
